Team,FO_win_pctg,,,,,
Lehigh (Patriot),0.634,,,,,
Saint Joseph's (Atlantic 10),0.62,,,,,
Mount St. Mary's (MAAC),0.614,,,,,
Army West Point (Patriot),0.61,,,,,
Vermont (America East),0.609,,,,,
Denver (Big East),0.604,,,,,
Duke (ACC),0.602,,,,,
Michigan (Big Ten),0.599,,,,,
Maryland (Big Ten),0.596,,,,,
Mercer (ASUN),0.593,,,,,
Brown (Ivy League),0.588,,,,,
Navy (Patriot),0.577,,,,,
Hofstra (CAA),0.572,,,,,
Bryant (America East),0.566,,,,,
Binghamton (America East),0.557,,,,,
Massachusetts (Atlantic 10),0.556,,,,,
Monmouth (CAA),0.556,,,,,
Drexel (CAA),0.555,,,,,
Dartmouth (Ivy League),0.552,,,,,
Georgetown (Big East),0.551,,,,,
Towson (CAA),0.546,,,,,
High Point (Atlantic 10),0.545,,,,,
Utah (ASUN),0.543,,,,,
Virginia (ACC),0.542,,,,,
Quinnipiac (MAAC),0.538,,,,,
Jacksonville (ASUN),0.536,,,,,
Villanova (Big East),0.536,,,,,
Robert Morris (ASUN),0.534,,,,,
Rutgers (Big Ten),0.527,,,,,
Manhattan (MAAC),0.526,,,,,
Yale (Ivy League),0.525,,,,,
Marquette (Big East),0.517,,,,,
Colgate (Patriot),0.509,,,,,
Hobart (Atlantic 10),0.505,,,,,
North Carolina (ACC),0.5,,,,,
NJIT (America East),0.499,,,,,
Boston U. (Patriot),0.497,,,,,
Johns Hopkins (Big Ten),0.496,,,,,
Cornell (Ivy League),0.494,,,,,
VMI (MAAC),0.493,,,,,
Richmond (Atlantic 10),0.484,,,,,
Bellarmine (ASUN),0.483,,,,,
Marist (MAAC),0.482,,,,,
Delaware (CAA),0.481,,,,,
Canisius (MAAC),0.476,,,,,
Stony Brook (CAA),0.471,,,,,
UAlbany (America East),0.47,,,,,
St. Bonaventure (Atlantic 10),0.469,,,,,
Notre Dame (ACC),0.469,,,,,
Cleveland St. (ASUN),0.468,,,,,
Princeton (Ivy League),0.466,,,,,
Fairfield (CAA),0.46,,,,,
UMBC (America East),0.459,,,,,
LIU (MAAC),0.456,,,,,
Hampton (CAA),0.456,,,,,
Penn St. (Big Ten),0.455,,,,,
Ohio St. (Big Ten),0.454,,,,,
Penn (Ivy League),0.452,,,,,
Sacred Heart (MAAC),0.452,,,,,
Lafayette (Patriot),0.443,,,,,
Harvard (Ivy League),0.44,,,,,
Siena (MAAC),0.44,,,,,
Holy Cross (Patriot),0.421,,,,,
Syracuse (ACC),0.419,,,,,
Loyola Maryland (Patriot),0.401,,,,,
Wagner (MAAC),0.401,,,,,
Providence (Big East),0.4,,,,,
Bucknell (Patriot),0.399,,,,,
Air Force (ASUN),0.388,,,,,
Detroit Mercy (ASUN),0.361,,,,,
UMass Lowell (America East),0.347,,,,,
St. John's (NY) (Big East),0.265,,,,,
