Team,Draw Controls,Opp DC,draw_pctg,win_pctg,turnovers_per_game,sog_per_game
Loyola Maryland (Patriot),382,172,0.69,0.864,12.77,23.09
Notre Dame (ACC),367,222,0.623,0.714,11.95,25.76
Richmond (Atlantic 10),393,244,0.617,0.81,13.86,25.1
Maryland (Big Ten),353,220,0.616,0.682,12.82,22.82
Denver (Big East),308,192,0.616,0.957,14.17,21.96
UMBC (America East),240,165,0.593,0.571,13.07,23.57
Duke (ACC),306,214,0.588,0.444,15.06,21.67
Mercer (Big South),338,239,0.586,0.85,13.55,26.75
Stony Brook (CAA),283,202,0.584,0.789,10.42,24.79
Jacksonville (ASUN),311,223,0.582,0.6,14.4,24.65
Delaware (CAA),240,177,0.576,0.5,19.19,19.12
Massachusetts (Atlantic 10),303,225,0.574,0.842,12.42,24.63
Northwestern (Big Ten),359,269,0.572,0.955,13.14,26
Fairfield (MAAC),269,203,0.57,0.737,17.05,23.26
Boston U. (Patriot),288,218,0.569,0.5,14.44,21.28
Marquette (Big East),338,258,0.567,0.789,15.63,26.26
Army West Point (Patriot),304,233,0.566,0.789,13,23.11
Yale (Ivy League),256,198,0.564,0.647,13.12,22.29
Clemson (ACC),278,216,0.563,0.667,13.17,23.39
North Carolina (ACC),307,239,0.562,0.762,10.14,22.33
Liberty (ASUN),296,232,0.561,0.632,17.89,23.89
James Madison (AAC),303,239,0.559,0.864,12.5,22.32
Virginia Tech (ACC),279,221,0.558,0.526,14.16,21
Syracuse (ACC),335,269,0.555,0.857,12.71,23.95
Florida (AAC),318,256,0.554,0.81,11.86,23.62
Temple (AAC),214,175,0.55,0.438,13.5,20.75
Stanford (Pac-12),297,248,0.545,0.556,13.44,23.28
Dartmouth (Ivy League),221,185,0.544,0.4,15.2,19.27
Saint Francis (PA) (NEC),244,205,0.543,0.625,15.5,23.75
Villanova (Big East),240,204,0.541,0.647,17.94,19.53
Davidson (Atlantic 10),265,230,0.535,0.667,16.22,22.44
Penn (Ivy League),282,245,0.535,0.737,12.68,24.74
Boston College (ACC),327,285,0.534,0.826,13.7,21.91
Campbell (Big South),292,255,0.534,0.632,17.05,23.26
UAlbany (America East),338,296,0.533,0.65,15.15,22.35
Arizona St. (Pac-12),263,231,0.532,0.316,13.74,18.95
Colgate (Patriot),223,199,0.528,0.267,15.27,20.4
Saint Joseph's (Atlantic 10),273,248,0.524,0.526,13.42,21.37
Penn St. (Big Ten),237,217,0.522,0.611,13.44,22.44
Navy (Patriot),290,266,0.522,0.684,14.16,24.16
Virginia (ACC),299,275,0.521,0.611,11.22,23.78
Johns Hopkins (Big Ten),263,242,0.521,0.5,17.28,21.56
Binghamton (America East),243,227,0.517,0.647,12.18,22.29
Harvard (Ivy League),208,195,0.516,0.533,15.33,22.2
Mount St. Mary's (MAAC),215,202,0.516,0.235,18.65,17.53
Canisius (MAAC),203,191,0.515,0.5,15.44,19.38
Brown (Ivy League),199,188,0.514,0.429,15.07,18.29
Kennesaw St. (ASUN),238,225,0.514,0.235,19.53,18.18
George Mason (Atlantic 10),209,198,0.514,0.133,15.4,16.2
Furman (Big South),270,256,0.513,0.556,15.78,20.61
Michigan (Big Ten),251,238,0.513,0.6,14.3,20.2
Towson (CAA),245,233,0.513,0.611,14.17,21.72
Kent St. (MAC),264,255,0.509,0.556,17.78,20.33
Central Mich. (MAC),274,266,0.507,0.526,13.32,22.26
Wofford (Big South),261,257,0.504,0.412,18.65,19.35
Sacred Heart (NEC),229,227,0.502,0.579,13.84,20.84
Coastal Carolina (ASUN),277,275,0.502,0.632,12.95,25.16
Cornell (Ivy League),220,221,0.499,0.467,14.53,21.67
Drexel (CAA),218,219,0.499,0.667,14.28,20.94
UConn (Big East),277,280,0.497,0.632,14.68,23.89
Lehigh (Patriot),243,247,0.496,0.667,13.39,21.44
Butler (Big East),221,225,0.496,0.333,18.93,18.67
Eastern Mich. (MAC),221,225,0.496,0.125,17.19,17.88
Colorado (Pac-12),259,264,0.495,0.579,12.53,23.47
Iona (MAAC),232,238,0.494,0.562,17.88,21.75
Manhattan (MAAC),204,210,0.493,0.353,17.24,17.47
Cincinnati (AAC),242,250,0.492,0.611,16.11,21.72
California (Pac-12),234,243,0.491,0.278,14.06,18.83
Monmouth (CAA),239,250,0.489,0.529,17.65,20.76
Southern California (Pac-12),234,245,0.489,0.8,13.8,20.75
