Team,turnovers_per_game,,,
Rutgers (Big Ten),13.32,,,
Manhattan (MAAC),13.47,,,
Delaware (CAA),13.63,,,
Denver (Big East),13.67,,,
Notre Dame (ACC),14.08,,,
Lafayette (Patriot),14.20,,,
Syracuse (ACC),14.43,,,
Maryland (Big Ten),14.56,,,
Hobart (NEC),14.69,,,
Cornell (Ivy League),14.84,,,
Virginia (ACC),14.88,,,
Villanova (Big East),14.93,,,
Ohio St. (Big Ten),14.94,,,
Army West Point (Patriot),15.00,,,
Georgetown (Big East),15.00,,,
North Carolina (ACC),15.00,,,
High Point (SoCon),15.07,,,
Massachusetts (CAA),15.14,,,
Duke (ACC),15.29,,,
Richmond (SoCon),15.31,,,
Michigan (Big Ten),15.40,,,
Utah (ASUN),15.43,,,
Loyola Maryland (Patriot),15.50,,,
Marist (MAAC),15.60,,,
Princeton (Ivy League),15.62,,,
Vermont (America East),15.79,,,
Towson (CAA),15.81,,,
Siena (MAAC),15.93,,,
Brown (Ivy League),16.00,,,
Saint Joseph's (NEC),16.06,,,
Bucknell (Patriot),16.13,,,
Drexel (CAA),16.14,,,
Sacred Heart (NEC),16.23,,,
Providence (Big East),16.29,,,
Air Force (ASUN),16.33,,,
Fairfield (CAA),16.57,,,
Stony Brook (America East),16.64,,,
Johns Hopkins (Big Ten),16.69,,,
St. Bonaventure (MAAC),16.80,,,
Jacksonville (SoCon),16.82,,,
UMass Lowell (America East),16.92,,,
St. John's (NY) (Big East),17.00,,,
VMI (SoCon),17.07,,,
Cleveland St. (ASUN),17.08,,,
Yale (Ivy League),17.12,,,
Monmouth (MAAC),17.17,,,
Colgate (Patriot),17.23,,,
Wagner (NEC),17.25,,,
Lehigh (Patriot),17.40,,,
Penn St. (Big Ten),17.43,,,
Hofstra (CAA),17.47,,,
Quinnipiac (MAAC),17.54,,,
Navy (Patriot),17.60,,,
Mercer (SoCon),17.80,,,
Robert Morris (ASUN),17.81,,,
UMBC (America East),18.08,,,
Harvard (Ivy League),18.15,,,
Penn (Ivy League),18.19,,,
Marquette (Big East),18.20,,,
Canisius (MAAC),18.43,,,
Bellarmine (ASUN),18.59,,,
Dartmouth (Ivy League),18.69,,,
Binghamton (America East),18.71,,,
UAlbany (America East),18.73,,,
Boston U. (Patriot),18.76,,,
LIU (NEC),18.93,,,
Bryant (NEC),19.00,,,
Mount St. Mary's (NEC),19.53,,,
Holy Cross (Patriot),20.00,,,
Detroit Mercy (ASUN),20.55,,,
NJIT (America East),21.08,,,
Hampton (SoCon),25.50,,,
