Event,Layout,Hole #,Length,CiRDS,Avg,Hole Par,Avg to Par,uP %,Par %,oP %,Times Played,# uPar,# Pars,# oPar
OTB Open,2023 OTB Open - Blue Layout,16,846,406.5,4.61,4,0.61,9.12,47.11,43.77,329,30,155,144
The Open at Austin,The Open Course at Harvey Penick - MPO,18,800,383.5,4.57,4,0.57,14.96,34.6,50.44,341,51,118,172
Jonesboro Open,MPO,18,818,392.5,4.49,4,0.49,7.16,52.84,40,335,24,177,134
Waco Annual Charity Open,Championship Layout MPO,12,609,288,4.48,4,0.48,8.33,51.44,40.23,348,29,179,140
Waco Annual Charity Open,Championship Layout MPO,18,468,435,3.47,3,0.47,11.21,50.86,37.93,348,39,177,132
Waco Annual Charity Open,Championship Layout MPO,15,558,525,3.45,3,0.45,0.57,63.22,36.21,348,2,220,126
NA,Glendoveer West MPO - 2023 PDXO,13,930,448.5,4.45,4,0.45,3.69,56.22,40.09,217,8,122,87
Waco Annual Charity Open,Championship Layout MPO,9,519,243,4.41,4,0.41,13.51,47.7,38.79,348,47,166,135
Music City Open,2023 MCO MPO,2,723,345,4.39,4,0.39,8.85,56.34,34.81,339,30,191,118
The Open at Austin,The Open Course at Harvey Penick - MPO,4,1028,331.7,5.36,5,0.36,19.88,40.35,39.77,342,68,138,136
Las Vegas Challenge,2023 LVC Course Millennium Men,5,470,437,3.33,3,0.33,5.93,63.98,30.08,236,14,151,71
OTB Open,2023 OTB Open - Blue Layout,17,737,352,4.32,4,0.32,15.2,51.06,33.74,329,50,168,111
NA,Glendoveer West MPO - 2023 PDXO,15,879,423,4.32,4,0.32,14.29,50.23,35.48,217,31,109,77
Las Vegas Challenge,2023 LVC Course Millennium Men,9,417,384,3.31,3,0.31,5.08,68.22,26.69,236,12,161,63
The Open at Austin,The Open Course at Harvey Penick - MPO,1,462,429,3.3,3,0.3,6.14,64.62,29.24,342,21,221,100
Music City Open,2023 MCO MPO,15,777,372,4.28,4,0.28,20.47,44.21,35.31,337,69,149,119
Champions Cup,2023 PDGA Champions Cup MPO,18,734,350.5,4.26,4,0.26,10.17,59.1,30.73,423,43,250,130
OTB Open,2023 OTB Open - Blue Layout,18,686,326.5,4.26,4,0.26,21.88,44.68,33.43,329,72,147,110
The Open at Austin,The Open Course at Harvey Penick - MPO,17,436,201.5,4.25,4,0.25,12.02,58.65,29.33,341,41,200,100
Las Vegas Challenge,2023 LVC Course Innova Champion Men,13,375,342,3.24,3,0.24,9.58,63.47,26.95,167,16,106,45
The Open at Austin,The Open Course at Harvey Penick - MPO,5,482,449,3.23,3,0.23,9.36,64.04,26.61,342,32,219,91
Music City Open,2023 MCO MPO,3,277,244,3.23,3,0.23,13.57,59.29,27.14,339,46,201,92
Las Vegas Challenge,2023 LVC Course Millennium Men,14,465,432,3.21,3,0.21,2.54,76.27,21.19,236,6,180,50
OTB Open,2023 OTB Open - Blue Layout,10,435,402,3.19,3,0.19,17.12,58.26,24.62,333,57,194,82
NA,Glendoveer West MPO - 2023 PDXO,1,741,354,4.19,4,0.19,24.42,41.01,34.56,217,53,89,75
OTB Open,2023 OTB Open - Blue Layout,2,744,355.5,4.18,4,0.18,15.62,57.36,27.03,333,52,191,90
Las Vegas Challenge,2023 LVC Course Innova Champion Men,16,888,427.5,4.17,4,0.17,10.18,68.86,20.96,167,17,115,35
Music City Open,2023 MCO MPO,1,668,317.5,4.16,4,0.16,19.47,50.44,30.09,339,66,171,102
Las Vegas Challenge,2023 LVC Course Millennium Men,10,388,355,3.15,3,0.15,18.22,55.51,26.27,236,43,131,62
Jonesboro Open,MPO,5,495,462,3.15,3,0.15,8.96,71.64,19.4,335,30,240,65
NA,Glendoveer West MPO - 2023 PDXO,17,430,397,3.15,3,0.15,21.2,47,31.8,217,46,102,69
OTB Open,2023 OTB Open - Blue Layout,11,834,400.5,4.14,4,0.14,24.02,51.05,24.92,333,80,170,83
NA,Glendoveer West MPO - 2023 PDXO,2,460,427,3.14,3,0.14,14.75,60.83,24.42,217,32,132,53
NA,Glendoveer East MPO - 2023 PDXO,1,670,318.5,4.14,4,0.14,31.58,36.18,32.24,152,48,55,49
NA,Glendoveer East MPO - 2023 PDXO,14,845,406,4.14,4,0.14,26.49,43.71,29.8,151,40,66,45
NA,Glendoveer East MPO - 2023 PDXO,2,390,357,3.12,3,0.12,19.74,52.63,27.63,152,30,80,42
Waco Annual Charity Open,Championship Layout MPO,17,610,288.5,4.11,4,0.11,30.46,39.66,29.89,348,106,138,104
Music City Open,2023 MCO MPO,17,355,322,3.11,3,0.11,31.75,34.72,33.53,337,107,117,113
NA,Glendoveer East MPO - 2023 PDXO,5,910,438.5,4.11,4,0.11,20.39,51.32,28.29,152,31,78,43
