X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15
,,,,,,,,,,,,,,
Event,Layout,Hole #,Length,CiRDS,Avg,Hole Par,Avg to Par,uP %,Par %,oP %,Times Played,# uPar,# Pars,# oPar
Discraft Ledgestone Open,Northwood Black,12,1050,339.0,6.27,5,1.27,1.03,24.05,74.91,291,3,70,218
Dynamic Discs Open,Supreme 18 - 2022 MPO,16,827,397.0,4.88,4,0.88,5.80,38.39,55.80,224,13,86,125
Discraft Ledgestone Open,Northwood Black,14,893,286.7,5.84,5,0.84,5.15,36.08,58.76,291,15,105,171
Waco Annual Charity Open,Championship Layout MPO,15,558,525.0,3.83,3,0.83,1.12,46.78,52.10,357,4,167,186
Waco Annual Charity Open,Championship Layout MPO,18,468,435.0,3.81,3,0.81,7.28,39.22,53.50,357,26,140,191
Dynamic Discs Open,Supreme 18 - 2022 MPO,10,833,400.0,4.74,4,0.74,2.22,49.78,48.00,225,5,112,108
Discraft Ledgestone Open,Eureka Temp,6,885,426.0,4.73,4,0.73,8.13,48.80,43.06,209,17,102,90
Dynamic Discs Open,ECC - 2022 MPO,9,719,343.0,4.69,4,0.69,5.16,38.71,56.13,155,8,60,87
Texas State Disc Golf Championship,Thorn Long,4,880,423.5,4.67,4,0.67,0.52,44.59,54.90,388,2,173,213
Discraft Ledgestone Open,Eureka Temp,5,476,443.0,3.65,3,0.65,2.87,53.59,43.54,209,6,112,91
Dynamic Discs Open,ECC - 2022 MPO,18,691,329.0,4.62,4,0.62,13.55,41.29,45.16,155,21,64,70
MVP Open at Maple Hill,DGPT Playoffs - 2022 MVP Open Golds,6,397,364.0,3.62,3,0.62,6.94,46.94,46.12,245,17,115,113
The Preserve Championship,Airborn Disc Golf Preserve - DGPT Black Bear MPO,5,695,331.0,4.59,4,0.59,5.94,42.81,51.25,320,19,137,164
Portland Open,2022 DGPT Portland Open - MPO,11,670,318.5,4.58,4,0.58,13.18,42.27,44.55,220,29,93,98
