Player,Year,Starts,Wins,Podiums,Top 10s,Top 20s,Avg Place,DNFs,Win %,Podium %,Top 10 %,Top 20 %,Total $,Avg $,$ as Winner,Total Strokes
Paul McBeth,2019,14,9,10,13,13,6.79,0,64.29,71.43,92.86,92.86,48106,3436,42426,2774
Ricky Wysocki,2017,18,8,15,18,18,2.33,0,44.44,83.33,100,100,55697,3094,33490,3431
Ricky Wysocki,2016,14,8,11,13,14,2.64,0,57.14,78.57,92.86,100,44119,3151,32756,2762
Paul McBeth,2015,12,8,12,12,12,1.42,0,66.67,100,100,100,53846,4487,42146,2635
Paul McBeth,2018,18,6,12,14,18,4.56,0,33.33,66.67,77.78,100,47445,2636,25310,3465
Paul McBeth,2017,16,6,15,15,15,1.63,1,37.5,93.75,93.75,93.75,49350,3084,23600,2858
Paul McBeth,2014,11,6,9,11,11,2.36,0,54.55,81.82,100,100,28154,2559,19837,2598
Paul McBeth,2013,11,6,8,10,11,3.45,0,54.55,72.73,90.91,100,25481,2316,18696,2473
Barry Schultz,2003,9,6,7,9,9,2,0,66.67,77.78,100,100,25618,2846,22625,2066
Dave Feldberg,2010,12,5,9,12,12,3.08,0,41.67,75,100,100,23042,1920,11255,2744
Barry Schultz,2006,11,5,8,11,11,2.36,0,45.45,72.73,100,100,26293,2390,19145,2440
Ricky Wysocki,2021,18,4,11,16,18,4.17,0,22.22,61.11,88.89,100,66759,3709,26500,3459
Ricky Wysocki,2022,17,4,7,12,16,9.06,0,23.53,41.18,70.59,94.12,69316,4077,38600,3481
Simon Lizotte,2022,16,4,6,8,9,19.81,0,25,37.5,50,56.25,58967,3685,42500,3371
Dave Feldberg,2007,15,4,9,14,15,3.27,0,26.67,60,93.33,100,28845,1923,15305,3223
Eagle McMahon,2021,15,4,9,13,14,7.13,0,26.67,60,86.67,93.33,50565,3371,23000,2885
Eagle McMahon,2018,14,4,9,13,13,5.79,0,28.57,64.29,92.86,92.86,34001,2429,18493,2734
Ken Climo,2007,13,4,7,12,12,4.77,0,30.77,53.85,92.31,92.31,32860,2528,24230,2828
Dave Feldberg,2006,13,4,6,12,13,4.62,0,30.77,46.15,92.31,100,17989,1384,8345,2807
Barry Schultz,2004,11,4,7,11,11,3.18,0,36.36,63.64,100,100,19833,1803,11480,2737
Paul McBeth,2021,18,3,8,16,18,5.44,0,16.67,44.44,88.89,100,69003,3834,33000,3466
Ricky Wysocki,2018,16,3,7,15,16,4.81,0,18.75,43.75,93.75,100,30903,1931,11040,3142
Dave Feldberg,2008,13,3,10,11,12,3.15,1,23.08,76.92,84.62,92.31,27477,2114,14929,2712
Dave Feldberg,2005,13,3,8,13,13,3.62,0,23.08,61.54,100,100,23472,1806,14155,3039
Ken Climo,2006,13,3,5,13,13,4.08,0,23.08,38.46,100,100,19632,1510,9000,2864
Nate Doss,2007,12,3,9,11,12,3.25,0,25,75,91.67,100,20928,1744,9936,2637
Paul McBeth,2016,12,3,8,9,12,5.17,0,25,66.67,75,100,31397,2616,13255,2411
Ken Climo,2005,12,3,6,12,12,3.17,0,25,50,100,100,14417,1201,5100,2864
Barry Schultz,2005,11,3,9,11,11,3,0,27.27,81.82,100,100,15550,1414,6265,2611
Nate Doss,2011,11,3,8,11,11,3.27,0,27.27,72.73,100,100,22155,2014,11650,2412
Ricky Wysocki,2014,11,3,8,9,10,6.73,0,27.27,72.73,81.82,90.91,21182,1926,7992,2618
Ken Climo,2004,11,3,6,9,11,4.64,0,27.27,54.55,81.82,100,23648,2150,15000,2733
Ricky Wysocki,2013,10,3,4,9,9,5.7,0,30,40,90,90,16960,1696,7360,2252
Paul McBeth,2012,9,3,4,7,8,7.11,0,33.33,44.44,77.78,88.89,17539,1949,11040,2172
Adam Hammes,2021,19,2,3,8,14,16.47,0,10.53,15.79,42.11,73.68,33121,1743,14000,3787
Calvin Heimburg,2019,18,2,3,10,14,13.78,0,11.11,16.67,55.56,77.78,22483,1249,7000,3652
Calvin Heimburg,2022,17,2,7,11,15,9.59,0,11.76,41.18,64.71,88.24,60138,3538,14500,3553
Paul McBeth,2022,17,2,6,14,16,8.82,0,11.76,35.29,82.35,94.12,76372,4492,27500,3444
Eagle McMahon,2019,14,2,7,13,13,3.79,1,14.29,50,92.86,92.86,30324,2166,8750,2668
Cameron Todd,2003,13,2,3,9,13,8.69,0,15.38,23.08,69.23,100,10937,841,3450,2797
Nikko Locastro,2010,12,2,7,11,12,3.83,0,16.67,58.33,91.67,100,24662,2055,8450,2704
Will Schusterick,2013,12,2,6,11,12,4.92,0,16.67,50,91.67,100,20466,1706,7300,2742
Steve Rico,2003,12,2,6,11,11,3.83,1,16.67,50,91.67,91.67,11914,993,3130,2305
Avery Jenkins,2008,12,2,5,9,12,6.5,0,16.67,41.67,75,100,20262,1689,4060,2670
Ron Russell,2003,12,2,4,9,11,8.67,0,16.67,33.33,75,91.67,10983,915,3070,2731
Dave Feldberg,2009,12,2,3,10,12,5.58,0,16.67,25,83.33,100,18305,1525,3360,2665
Calvin Heimburg,2020,11,2,6,10,11,4.55,0,18.18,54.55,90.91,100,28605,2600,8600,1991
Nikko Locastro,2011,11,2,4,11,11,4.45,0,18.18,36.36,100,100,14430,1312,3475,2438
Josh Anthon,2006,11,2,4,8,11,6.45,0,18.18,36.36,72.73,100,11472,1043,3245,2474
Paul McBeth,2011,11,2,3,7,11,8.36,0,18.18,27.27,63.64,100,12313,1119,7000,2431
Paul McBeth,2020,10,2,7,10,10,3.3,0,20,70,100,100,26685,2669,8000,1824
Ken Climo,2009,10,2,3,7,10,7,0,20,30,70,100,11373,1137,4550,2311
Will Schusterick,2012,9,2,7,9,9,3.22,0,22.22,77.78,100,100,22338,2482,11550,2168
Calvin Heimburg,2023,9,2,6,8,9,4.67,0,22.22,66.67,88.89,100,28939,3215,15500,1696
Nikko Locastro,2009,9,2,4,8,8,5.56,0,22.22,44.44,88.89,88.89,24764,2752,17500,1931
Nate Doss,2008,9,2,4,9,9,3.78,0,22.22,44.44,100,100,24476,2720,13800,2069
Nate Doss,2009,9,2,4,7,9,4.89,0,22.22,44.44,77.78,100,11614,1290,3580,1999
Eagle McMahon,2020,9,2,3,7,8,7.33,0,22.22,33.33,77.78,88.89,18920,2102,8776,1613
Barry Schultz,2008,9,2,3,7,9,7,0,22.22,33.33,77.78,100,11628,1292,4500,2066
Ken Climo,2010,8,2,4,5,8,6.25,0,25,50,62.5,100,10985,1373,3090,1957
Cale Leiviska,2012,8,2,3,6,8,7.38,0,25,37.5,75,100,12203,1525,5400,1973
Steve Rico,2008,6,2,3,6,6,4.33,0,33.33,50,100,100,8690,1448,3290,1412
James Conrad,2021,19,1,2,7,12,16.79,0,5.26,10.53,36.84,63.16,35657,1877,16500,3794
Connor O'Reilly,2021,19,1,1,1,1,53.11,0,5.26,5.26,5.26,5.26,8495,447,4450,3911
Calvin Heimburg,2021,18,1,5,13,16,8.89,0,5.56,27.78,72.22,88.89,41385,2299,8250,3489
Garrett Gurthie,2019,18,1,4,7,15,14.56,0,5.56,22.22,38.89,83.33,23454,1303,5000,3657
Kevin Jones,2019,18,1,3,9,13,13.5,0,5.56,16.67,50,72.22,21173,1176,3405,3676
Gannon Buhr,2022,17,1,4,13,16,7.53,0,5.88,23.53,76.47,94.12,63337,3726,25000,3502
James Conrad,2019,17,1,3,12,15,10.53,0,5.88,17.65,70.59,88.24,32046,1885,12000,3486
James Conrad,2018,17,1,3,9,14,12.06,0,5.88,17.65,52.94,82.35,23507,1383,3570,3354
Nikko Locastro,2021,17,1,1,6,11,20.12,0,5.88,5.88,35.29,64.71,20168,1186,5000,3402
Bradley Williams,2022,17,1,1,1,7,26.18,1,5.88,5.88,5.88,41.18,18492,1088,8000,3398
Ricky Wysocki,2019,16,1,9,15,15,3.81,1,6.25,56.25,93.75,93.75,33771,2111,3460,2960
Kyle Klein,2021,16,1,3,7,11,14.06,1,6.25,18.75,43.75,68.75,41387,2587,9000,2939
Jeremy Koling,2017,16,1,1,6,16,10.69,0,6.25,6.25,37.5,100,15013,938,2810,3108
Jeremy Koling,2018,16,1,1,4,7,26.19,0,6.25,6.25,25,43.75,11749,734,3000,3317
Matt Bell,2019,16,1,1,2,5,33.5,1,6.25,6.25,12.5,31.25,9279,580,3120,3147
Chris Dickerson,2022,14,1,3,7,13,11.14,0,7.14,21.43,50,92.86,39794,2842,13000,2937
