Rank,Prev,Name,PDGA #,Country,WRPR,RR,Worlds,USDGC,Euro,NET,DGPT,Points
1,1,Paul McBeth,27523,US,1055,1,1,64,1,·,1,1
2,2,Richard Wysocki,38008,US,1049,2,2,·,3,2,2.3,2.1
3,10,Eagle McMahon,37817,US,1045,3,8,7,2,2.5,2.5,3.3
4,5,James Conrad,17295,US,1035,9,3,1,8,4.8,4.8,5.1
5,7,Chris Dickerson,62467,US,1040,4,5,5,·,·,13.3,5.9
6,17,Simon Lizotte,8332,US,1038,6,8,53,9,4.5,3.3,6.1
7,6,Kevin Jones,41760,US,1037,7,7,33,9,6.8,3,6.6
8,15,Calvin Heimburg,45971,US,1039,5,20,28,·,2.5,4.5,7
9,9,Nathan Sexton,18824,US,1037,7,6,10,15,12.8,·,8.3
10,21,Garrett Gurthie,13864,US,1029,14,12,19,·,7.3,2.8,10.7
11,30,Jeremy Koling,33705,US,1023,17,·,2,5,26.8,13.5,11.9
12,22,Emerson Keith,47472,US,1025,16,3,14,·,·,9,12.3
13,51,Chris Clemons,50401,US,1024,16.5,12,4,·,20.3,9.5,12.5
14,42,Joel Freeman,69509,US,1026,15.5,31,10,·,9,12,12.9
15,17,Nikko Locastro,11534,US,1023,17,10,2,·,·,15.3,13.1
16,47,Joshua Anthon,17946,US,1031,12,15,·,·,·,18,13.5
17,73,Alex Russell,66362,US,1027,15,31,7,·,20,9.5,13.6
17,53,Austin Hannum,68835,US,1027,15,15,30,7,15.3,14.3,13.6
19,-,Albert Tamm,76669,EE,1024,16.5,31,10,3,·,26,14.8
20,66,Eric Oakley,53565,US,1018,19.5,10,25,9,16.5,15.3,15
21,16,Cale Leiviska,24341,US,1033,10,·,·,·,·,17.7,15.3
21,70,Adam Hammes,57365,US,1024,16.5,29,10,·,24.5,8,15.3
23,37,Barry Schultz,6840,US,1030,13.5,26,14,·,·,·,15.7
23,41,Andrew Presnell,63765,US,1024,16.5,14,21,·,17.3,13.3,15.7
25,-,Jesse Nieminen,58923,FI,1027,15,·,·,5,·,·,17.3
26,24,Michael Johansen,20300,US,1025,16,17,25,·,21.5,21,17.9
