Rank,Name,Country,Time_min,Year,scandinavian,z_score
1,Dario Cologna,SUI,33.605,2010,0,-1.1589564978251554
2,Pietro Piller Cottrer,ITA,34.015,2010,0,-1.027853583122872
3,Lukas Bauer,CZE,34.2,2010,0,-0.9686973899035488
4,Marcus Hellner,SWE,34.225,2010,1,-0.9607033097387762
5,Vincent Vittoz,FRA,34.269999999999996,2010,0,-0.946313965442186
6,Maurice Manificat,FRA,34.45666666666667,2010,0,-0.8866248335452095
7,Tobias Angerer,GER,34.475,2010,0,-0.8807625080910432
8,Ivan Babikov,CAN,34.5,2010,0,-0.8727684279262703
9,Maxim Vylegzhanin,RUS,34.526666666666664,2010,0,-0.8642414090838464
10,Giorgio Di Centa,ITA,34.60333333333333,2010,0,-0.8397262299118745
11,Johan Olsson,SWE,34.655,2010,1,-0.8232051309046755
12,Toni Livers,SUI,34.72166666666667,2010,0,-0.8018875837986124
13,Ville Nousiainen,FIN,34.75833333333333,2010,1,-0.7901629328902797
14,Alexey Poltaranin,KAZ,34.84166666666667,2010,0,-0.7635159990077014
15,Remo Fischer,SUI,34.85166666666667,2010,0,-0.7603183669417927
15,Alexander Legkov,RUS,34.85166666666667,2010,0,-0.7603183669417927
17,Curdin Perl,SUI,34.86333333333334,2010,0,-0.7565877961982307
18,Martin Koukal,CZE,34.891666666666666,2010,0,-0.7475278386781556
19,Valerio Checchi,ITA,34.894999999999996,2010,0,-0.7464619613228536
20,Emmanuel Jonnier,FRA,34.91833333333333,2010,0,-0.7390008198357317
21,Alex Harvey,CAN,34.92666666666666,2010,0,-0.7363361264474741
22,Daniel Rickardsson,SWE,34.97833333333333,2010,1,-0.7198150274402751
23,Martin Bajcicak,SVK,34.98833333333334,2010,0,-0.7166173953743642
24,Thomas Moriggl,ITA,34.998333333333335,2010,0,-0.7134197633084555
25,Anders Södergren,SWE,35.019999999999996,2010,1,-0.7064915604989871
26,Petr Sedov,RUS,35.10333333333333,2010,0,-0.6798446266164087
27,Teemu Kattilakoski,FIN,35.11333333333334,2010,1,-0.6766469945504977
28,Tord Asle Gjerdalen,NOR,35.175,2010,1,-0.6569282634773923
29,George Grey,CAN,35.21666666666667,2010,0,-0.6436047965361019
29,Martin Jaks,CZE,35.21666666666667,2010,0,-0.6436047965361019
31,Sergey Shiriaev,RUS,35.24166666666667,2010,0,-0.635610716371329
32,Jean Marc Gaillard,FRA,35.34166666666667,2010,0,-0.6036343957122354
33,Martin Johnsrud Sundby,NOR,35.43833333333334,2010,1,-0.572723952408444
34,Juha Lallukka,FIN,35.480000000000004,2010,1,-0.5594004854671558
35,Sergei Dolidovich,BLR,35.49,2010,0,-0.5562028534012472
36,Rene Sommerfeldt,GER,35.52166666666667,2010,0,-0.5460770185258678
37,Paul Constantin Pepene,ROU,35.56166666666666,2010,0,-0.5332864902622331
38,Nikolay Chebotko,KAZ,35.568333333333335,2010,0,-0.5311547355516243
39,Matti Heikkinen,FIN,35.61833333333333,2010,1,-0.5151665752220785
40,Ivan Batory,SVK,35.635,2010,0,-0.5098371884455634
41,Petter Northug,NOR,35.65833333333333,2010,1,-0.5023760469584416
42,Ronny Hafsås,NOR,35.69666666666667,2010,1,-0.49011845737245335
43,Milan Sperl,CZE,35.77333333333333,2010,0,-0.4656032782004838
44,Axel Teichmann,GER,35.78333333333333,2010,0,-0.4624056461345751
45,Ben Sim,AUS,35.809999999999995,2010,0,-0.4538786272921512
46,Tom Reichelt,GER,35.84,2010,0,-0.4442857310944206
47,Sergey Cherepanov,KAZ,35.84666666666667,2010,0,-0.4421539763838141
48,James Southam,USA,35.97,2010,0,-0.4027165142376009
49,Nobu Naruse,JPN,36.026666666666664,2010,0,-0.3845965991974487
50,Veselin Tsinzov,BUL,36.195,2010,0,-0.3307697927546408
51,Aivar Rehemaa,EST,36.225,2010,0,-0.3211768965569125
52,Gordon Jewett,CAN,36.29833333333333,2010,0,-0.297727594740245
53,Vicenc Vilarrubla,ESP,36.37833333333333,2010,0,-0.272146538212971
54,Michal Malak,SVK,36.38,2010,0,-0.27161359953531766
55,Andrew Musgrave,GBR,36.54,2010,0,-0.22045148648076968
56,Yevgeniy Velichko,KAZ,36.55,2010,0,-0.217253854414861
57,Petrica Hogiu,ROU,36.65833333333333,2010,0,-0.18261284036750977
58,Garrott Kuzzy,USA,36.69166666666667,2010,0,-0.17195406681447703
59,Kris Freeman,USA,36.693333333333335,2010,0,-0.17142112813682597
60,Aliaksei Ivanou,BLR,36.80333333333333,2010,0,-0.1362471754118259
61,Roman Leybyuk,UKR,36.82833333333333,2010,0,-0.1282530952470508
62,Olexandr Putsko,UKR,37.163333333333334,2010,0,-0.02113242103908836
63,Leanid Karneyenka,BLR,37.486666666666665,2010,0,0.08225768242531205
64,Simeon Hamilton,USA,37.50833333333333,2010,0,0.08918588523478276
65,Diego Ruiz Asin,ESP,37.53,2010,0,0.09611408804425346
66,Maciej Kreczmer,POL,37.63333333333333,2010,0,0.12915628605864923
67,Karel Tammjarv,EST,37.64,2010,0,0.13128804076925576
68,Xu Wenlong,CHN,37.65833333333333,2010,0,0.13715036622342208
69,Javier Gutierrez,ESP,37.92833333333333,2010,0,0.2234864320029724
70,Sergey Mikayelyan,ARM,37.98166666666667,2010,0,0.24054046968782475
71,Aleksei Novoselski,LTU,38.026666666666664,2010,0,0.25492981398441494
72,Janis Paipals,LAT,38.3,2010,0,0.34233175711926966
73,Francesc Soulie,AND,38.6,2010,0,0.4382607190965506
74,Andrew Young,GBR,38.751666666666665,2010,0,0.48675813876284096
75,Andrej Buric,CRO,38.85,2010,0,0.5182015207442836
76,Jonas Thor Olsen,DEN,39.03,2010,1,0.5757588979306512
77,Sebahattin Oglago,TUR,39.05,2010,0,0.5821541620624685
78,Mladen Plakalovic,BIH,39.690000000000005,2010,0,0.7868026142806673
79,Lee Jun-gil,KOR,39.86,2010,0,0.841162359401124
80,Amar Garibovic,SRB,40.2,2010,0,0.949881849642042
81,Zoltan Tagscherer,HUN,41.25,2010,0,1.2856332165625195
82,Carlos Lannes,ARG,41.58166666666667,2010,0,1.3916880134151797
83,Tashi Lundup,IND,41.61333333333334,2010,0,1.401813848290559
84,Meidhi-Selim Khelifi,ALG,41.641666666666666,2010,0,1.410873805810634
85,Darko Damjanovski,MKD,41.80333333333333,2010,0,1.4625688575428333
86,Sergiu Balan,MDA,42.20166666666667,2010,0,1.5899412015015566
87,Khash-Erdene Khurelbataar,MGL,42.45666666666667,2010,0,1.6714808191822452
88,Tucker Murphy,BER,42.651666666666664,2010,0,1.7338346444674746
89,Seyed Sattar Seyd,IRI,42.684999999999995,2010,0,1.7444934180205052
90,Leandro Ribela,BRA,43.60333333333333,2010,0,2.038142629406512
91,Peter-James Barron,IRL,43.84,2010,0,2.113819921633034
92,Dachhiri Sherpa,NEP,44.44166666666667,2010,0,2.3062107842652444
93,Robel Teklemariam,ETH,45.315000000000005,2010,0,2.585470651354659
94,Roberto Carcelen,PER,45.89333333333333,2010,0,2.7704003724997452
95,Danny Silva,POR,49.52333333333333,2010,0,3.931140812424829
1,Dario Cologna,SUI,38.495,2014,0,-1.1321385194264455
2,Johan Olsson,SWE,38.97,2014,1,-1.0160345952101033
3,Daniel Rickardsson,SWE,39.141666666666666,2014,1,-0.9740742296161272
4,Iivo Niskanen,FIN,39.145,2014,1,-0.9732594652356604
5,Lukas Bauer,CZE,39.47666666666667,2014,0,-0.8921904093793384
6,Chris Andre Jespersen,NOR,39.51,2014,1,-0.8840427655746833
7,Alexander Bessmertnykh,RUS,39.62833333333333,2014,0,-0.8551186300681562
8,Axel Teichmann,GER,39.70666666666667,2014,0,-0.835971667127214
9,Alexey Poltoranin,KAZ,39.72,2014,0,-0.832712609605353
10,Marcus Hellner,SWE,39.781666666666666,2014,1,-0.81763946856674
11,Hannes Dotzler,GER,39.83166666666667,2014,0,-0.8054180028597556
12,Eldar Rønning,NOR,40.04666666666667,2014,1,-0.7528657003197281
13,Martin Johnsrud Sundby,NOR,40.123333333333335,2014,1,-0.73412611956902
14,Jens Filbrich,GER,40.141666666666666,2014,0,-0.7296449154764599
15,Lars Nelson,SWE,40.14666666666667,2014,1,-0.7284227689057611
16,Dmitriy Japarov,RUS,40.17833333333333,2014,0,-0.7206825072913401
17,Sami Jauhojärvi,FIN,40.24,2014,1,-0.7056093662527253
18,Paal Golberg,NOR,40.24166666666667,2014,1,-0.7052019840624929
19,Stanislav Volzhentsev,RUS,40.25,2014,0,-0.7031650731113291
20,Matti Heikkinen,FIN,40.29666666666667,2014,1,-0.6917583717848113
21,Jean Marc Gaillard,FRA,40.38,2014,0,-0.6713892622731717
22,Curdin Perl,SUI,40.46333333333334,2014,0,-0.6510201527615322
23,Martin Bajcicak,SVK,40.46666666666667,2014,0,-0.6502053883810675
24,Jonas Baumann,SUI,40.55333333333333,2014,0,-0.6290215144889649
25,Evgeniy Belov,RUS,40.61333333333334,2014,0,-0.6143557556405825
26,Tim Tscharnke,GER,40.68833333333334,2014,0,-0.5960235570801069
27,Philipp Hälg,LIE,40.69166666666667,2014,0,-0.595208792699642
28,Ville Nousiainen,FIN,40.876666666666665,2014,1,-0.5499893695838048
29,Maciej Kreczmer,POL,40.97833333333333,2014,0,-0.5251390559796053
30,Francesco De Fabiani,ITA,41.013333333333335,2014,0,-0.5165840299847161
31,Noah Hoffman,USA,41.044999999999995,2014,0,-0.5088437683702951
32,Dietmar Nöckler,ITA,41.19833333333334,2014,0,-0.4713646068688771
33,Nikolay Chebotko,KAZ,41.235,2014,0,-0.4624021986837572
34,Yevgeniy Velichko,KAZ,41.27333333333333,2014,0,-0.45303240830840313
35,Devon Kershaw,CAN,41.285,2014,0,-0.4501807329767745
36,Mattia Pellegrin,ITA,41.335,2014,0,-0.4379592672697901
37,Andrew Young,GBR,41.49333333333333,2014,0,-0.39925795919767665
38,Erik Bjornsen,USA,41.745,2014,0,-0.33774324847252746
39,Ivan Babikov,CAN,41.82,2014,0,-0.3194110499120517
40,Aivar Rehemaa,EST,41.830000000000005,2014,0,-0.3169667567706538
41,Veselin Tsinzov,BUL,42.105,2014,0,-0.24974869538224745
42,Algo Kärp,EST,42.275,2014,0,-0.2081957119785036
43,Adrien Backscheider,FRA,42.361666666666665,2014,0,-0.1870118380863993
44,Andrew Musgrave,GBR,42.42833333333333,2014,0,-0.17071655047708906
45,Karel Tammjarv,EST,42.461666666666666,2014,0,-0.16256890667243223
46,Sergey Mikayelyan,ARM,42.651666666666664,2014,0,-0.11612733698589604
47,Brian Gregg,USA,42.7,2014,0,-0.10431325346914404
48,Fabio Pasini,ITA,42.705000000000005,2014,0,-0.10309110689844508
49,Alexander Lasutkin,BLR,42.751666666666665,2014,0,-0.09168440557192896
50,Imanol Rojo,ESP,42.75666666666667,2014,0,-0.09046225900123
51,Peter Mlynar,SVK,42.83833333333334,2014,0,-0.07050053167982291
52,Kris Freeman,USA,42.913333333333334,2014,0,-0.05216833311934892
53,Sergei Dolidovich,BLR,42.92333333333333,2014,0,-0.04972403997795274
54,Yerdos Akhmadiyev,KAZ,43.03666666666666,2014,0,-0.02202205104212468
55,Sebastian Gazurek,POL,43.111666666666665,2014,0,-0.00368985248164895
56,Cyril Miranda,FRA,43.375,2014,0,0.06067653357513056
57,Max Hauke,AUT,43.39,2014,0,0.06434297328722571
58,Martin Møller,DEN,43.495,2014,1,0.09000805127188999
59,Michail Semenov,BLR,43.6,2014,0,0.115673129256556
60,Edi Dadic,CRO,43.64666666666667,2014,0,0.12707983058307384
61,Raido Rankel,EST,43.64833333333333,2014,0,0.12748721277330627
62,Paul Constantin Pepene,ROU,43.656666666666666,2014,0,0.12952412372447003
63,Javier Gutierrez,ESP,43.73166666666667,2014,0,0.14785632228494577
64,Pawel Klisz,POL,43.86,2014,0,0.17922475093286896
65,Graeme Killick,CAN,44.080000000000005,2014,0,0.2329992000435972
