Rank,Name,Country,Time
1,Sara Hector,SWE,"1.55,69"
2,Federica Brignone,ITA,"1.55,97"
3,Lara Gut-Behrami,SUI,"1.56,41"
4,Katharina Truppe,AUT,"1.56,49"
5,Ragnhild Mowinckel,NOR,"1.56,65"
6,Thea Louise Stjernesund,NOR,"1.56,89"
7,Meta Hrovat,SLO,"1.57,04"
8,Maryna Grasienica Daniel,POL,"1.57,11"
9,Wendy Holdener,SUI,"1.57,32"
10,Michelle Gisin,SUI,"1.57,55"
11,Ana Bucik,SLO,"1.57,89"
12,Paula Moltzan,USA,"1.58,07"
12,Maria Therese Tviberg,NOR,"1.58,07"
14,Petra Vlhova,SVK,"1.58,15"
15,Katharina Liensberger,AUT,"1.58,24"
16,Camille Rast,SUI,"1.58,43"
17,Coralie Frasse Sombet,FRA,"1.58,60"
18,Tina Robnik,SLO,"1.58,90"
19,Clara Direz,FRA,"1.59,33"
20,Elena Curtoni,ITA,"1.59,91"
21,Emma Aicher,GER,"2.00,52"
22,Alice Robinson,NZL,"2.00,82"
22,Alex Tilley,GBR,"2.00,82"
24,Asa Ando,JPN,"2.00,99"
25,Ekaterina Tkachenko,ROC,"2.02,41"
26,Magdalena Luczak,POL,"2.02,85"
27,Julia Pleshkova,ROC,"2.03,32"
28,Zrinka Ljutic,CRO,"2.03,77"
29,Francesca Baruzzi Farriol,ARG,"2.04,00"
30,Zuzanna Czapska,POL,"2.05,15"
31,Sakurako Mukogawa,JPN,"2.06,77"
32,Polina Melnikova,ROC,"2.07,20"
33,Gim Sohui,KOR,"2.07,22"
34,Nino Tsiklauri,GEO,"2.09,87"
35,Kaitlyn Vesterstein,EST,"2.10,44"
36,Eva Vukadinova,BUL,"2.11,46"
37,Sarah Schleper,MEX,"2.11,95"
38,Aruwin Salehhuddin,MAS,"2.12,28"
39,Anastasiia Shepilenko,UKR,"2.12,33"
40,Kong Fanying,CHN,"2.15,42"
41,Mialitiana Clerc,MAD,"2.16,02"
42,Emilia Aramburo,CHI,"2.16,32"
43,Vanina Guerillot,POR,"2.16,92"
44,Ni Yueming,CHN,"2.17,06"
45,Maria Constantin,ROU,"2.18,50"
46,Ornella Oettl Reyes,PER,"2.24,05"
47,Anna Torsani,SMR,"2.29,26"
48,Ozlem Carikcioglu,TUR,"2.30,73"
49,Kiana Kryeziu,KOS,"2.42,19"
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,Tessa Worley,FRA,dnf
,,,
,,,
,Mikaela Shiffrin,USA,dnf
,,,
,,,
,Marta Bassino,ITA,dnf
,,,
,,,
,Kang Youngseo,KOR,dnf
,,,
,,,
,Tess Arbez,IRL,dnf
,,,
,,,
,Jelena Vujicic,MNE,dnf
,,,
,,,
,Stephanie Brunner,AUT,dnf
,,,
,,,
,Valerie Grenier,CAN,dnf
,,,
,,,
,Ramona Siebenhofer,AUT,dnf
,,,
,,,
,Andreja Slokar,SLO,dnf
,,,
,,,
,Hilma Lövblom,SWE,dnf
,,,
,,,
,Hanna Aronsson Elfman,SWE,dnf
,,,
,,,
,Nuria Pau,ESP,dnf
,,,
,,,
,Noa Szollos,ISR,dnf
,,,
,,,
,Rebeka Jancova,SVK,dnf
,,,
,,,
,Manon Ouaiss,LIB,dnf
,,,
,,,
,Sarah Escobar,ECU,dnf
,,,
,,,
,Mina Fuerst Holtmann,NOR,dnf
,,,
,,,
,Hurt A J,USA,dnf
,,,
,,,
,Adriana Jelinkova,NED,dnf
,,,
,,,
,Riikka Honkanen,FIN,dnf
,,,
,,,
,Erika Pykalainen,FIN,dnf
,,,
,,,
,Cassidy Gray,CAN,dnf
,,,
,,,
,Elese Sommerova,CZE,dnf
,,,
,,,
,Zita Toth,HUN,dnf
,,,
,,,
,Holmfridur Dora Fridgeirsdottir,ISL,dnf
,,,
,,,
,Gwyneth Ten Raa,LUX,dnf
,,,
,,,
,Maria-Eleni Tsiovolou,GRE,dnf
,,,
,,,
,Mida Fah Jaiman,THA,dnf
,,,
,,,
,Andrea Komsic,CRO,dns
,,,
,,,
,Hanna Zieba,POL,dns
,,,
,,,
,Nina O'Brien,USA,dq
,,,
,,,
,Esma Alic,BIH,dq
