"","Hero","Class","Pick Rate","Win Rate","KDA"
"1","Cassidy","Damage","5.46%","48.88%","2.38"
"2","Soldier: 76","Damage","4.35%","48.81%","2.89"
"3","Hanzo","Damage","3.57%","49.60%","3.13"
"4","Genji","Damage","3.52%","50.70%","2.44"
"5","Ashe","Damage","2.58%","49.75%","2.69"
"6","Tracer","Damage","2.37%","49.46%","2.48"
"7","Reaper","Damage","2.09%","49.01%","2.81"
"8","Widowmaker","Damage","2.05%","48.59%","2.50"
"9","Mei","Damage","1.88%","51.06%","3.83"
"10","Junkrat","Damage","1.85%","47.86%","2.67"
"11","Bastion","Damage","1.81%","47.43%","2.98"
"12","Pharah","Damage","1.65%","50.85%","3.03"
"13","Sojourn","Damage","1.61%","44.43%","2.94"
"14","Torbjörn","Damage","1.40%","52.93%","3.07"
"15","Symmetra","Damage","1.31%","54.18%","3.49"
"16","Sombra","Damage","1.28%","45.86%","4.85"
"17","Echo","Damage","1.08%","48.33%","2.71"
"18","Ana","Support","10.30%","50.96%","4.44"
"19","Kiriko","Support","6.48%","46.79%","4.76"
"20","Mercy","Support","6.34%","51.24%","4.20"
"21","Moira","Support","4.80%","49.27%","6.05"
"22","Zenyatta","Support","3.47%","52.57%","5.39"
"23","Baptiste","Support","2.83%","48.59%","4.46"
"24","Lúcio","Support","2.11%","50.97%","3.90"
"25","Brigitte","Support","1.58%","52.87%","4.66"
"26","Lifeweaver","Support","0.38%","40.93%","3.21"
"27","Reinhardt","Tank","4.46%","53.70%","3.06"
"28","Ramattra","Tank","2.38%","50.95%","3.91"
"29","Sigma","Tank","2.33%","51.29%","4.92"
"30","D.Va","Tank","2.01%","48.68%","6.35"
"31","Orisa","Tank","1.93%","44.21%","3.77"
"32","Zarya","Tank","1.83%","46.84%","4.71"
"33","Doomfist","Tank","1.55%","51.02%","3.38"
"34","Winston","Tank","1.50%","44.99%","3.90"
"35","Wrecking Ball","Tank","1.44%","50.34%","4.96"
"36","Junker Queen","Tank","1.22%","50.59%","4.73"
"37","Roadhog","Tank","0.80%","41.89%","3.73"
