Name,G,ST,MIN,T,TA,GLS,GK%,FG,PTS,R,RM,LB,TB,OFF,K,KM,TCK,MT,ERR,PEN,SB,SO
1H. Farnworth(BRI),17,17,"1,337",10,1,0,-,0,40,274,"2,600",8,71,18,7,85,197,16,15,7,2,0
1M. Feagai(STI),17,17,"1,360",4,1,0,-,0,16,213,"1,686",6,37,2,1,14,78,46,14,2,0,0
1J. Granville(NQL),17,7,747,0,1,0,-,0,0,78,610,1,7,1,1,7,424,38,2,5,0,0
1E. Guler(CBR),17,2,703,1,0,0,-,0,4,153,"1,275",1,10,12,0,0,438,29,4,3,0,0
1C. Hess(NQL),17,17,892,1,1,0,-,0,4,124,"1,126",1,18,15,1,32,449,32,3,8,2,0
1K. Staggs(BRI),17,17,"1,337",8,2,0,0,0,32,199,"1,773",5,45,12,7,73,225,53,17,3,0,0
1T. Starling(CBR),17,1,660,2,5,0,-,0,8,60,543,0,10,1,3,10,426,26,3,4,1,0
1M. Taupau(BRI),17,0,465,0,0,0,-,0,0,129,"1,145",0,30,12,0,0,249,23,3,7,0,0
1M. Timoko(CBR),17,17,"1,364",8,3,0,-,0,32,230,"2,513",9,73,15,1,4,198,32,12,6,0,0
1C. Townsend(NQL),17,17,"1,344",2,13,5,71,3,21,44,305,1,5,4,249,"7,705",299,54,13,11,0,0
1B. Walters(BRI),17,17,848,1,2,0,-,0,4,75,663,4,27,9,14,464,415,35,5,6,0,0
12B. Afoa(WAR),16,12,483,1,0,0,-,0,4,100,844,1,8,0,0,0,328,10,2,3,0,0
12E. Aitken(DOL),16,15,"1,222",3,5,0,-,0,12,222,"1,695",5,44,9,1,13,239,19,6,4,0,0
12P. Alamoti(CBY),16,16,"1,285",1,3,1,100,0,6,217,"1,687",1,30,17,2,46,174,43,14,6,0,0
12T. Ale(WAR),16,0,390,1,0,0,-,0,4,118,"1,020",1,13,1,0,0,221,12,3,1,0,0
12J. Averillo(CBY),16,16,"1,273",7,3,0,-,0,28,132,"1,340",8,28,9,4,34,177,37,9,2,0,0
12B. Best(NEW),16,16,"1,291",8,6,0,-,0,32,214,"2,079",6,37,14,1,11,205,35,14,1,0,0
12B. Brailey(CRO),16,16,"1,252",1,6,0,-,0,4,59,660,2,16,7,6,145,622,46,7,7,0,0
12E. Bullemor(MAN),16,4,740,0,1,0,-,0,0,175,"1,475",1,24,4,1,10,332,25,2,3,0,0
12P. Carrigan(BRI),16,16,"1,047",0,2,0,-,0,0,219,"2,006",2,24,21,1,5,497,30,6,6,1,0
12B. Cartwright(PAR),16,13,"1,175",3,2,0,-,0,12,176,"1,452",3,17,30,3,61,392,35,8,7,0,0
12D. Cook(SOU),16,16,"1,318",2,7,0,-,0,8,81,858,3,36,6,6,125,671,30,8,5,0,0
12P. Crossland(NEW),16,11,953,5,3,0,-,0,20,29,245,2,7,2,26,734,520,35,10,9,1,0
12T. Dearden(NQL),16,16,"1,294",7,11,0,-,0,28,116,"1,197",9,55,9,40,817,294,41,12,3,0,0
12D. Edwards(PEN),16,16,"1,293",9,5,0,-,0,36,290,"2,914",9,95,9,6,53,79,13,13,1,0,0
12J. Fogarty(CBR),16,16,"1,284",3,12,16,94,2,46,59,608,4,23,1,196,"6,158",339,33,13,7,0,0
12A. Fonua-Blake(WAR),16,16,919,5,2,0,-,0,20,239,"2,311",6,43,18,0,0,410,17,3,5,1,0
12C. Gutherson(PAR),16,16,"1,262",15,13,9,81,0,78,227,"2,108",13,45,19,15,186,71,12,19,5,1,0
12J. Hastings(NEW),16,16,"1,260",3,12,16,57,0,44,60,502,2,12,2,186,"5,831",278,23,14,6,0,0
12J. Hetherington(NEW),16,3,444,0,0,0,-,0,0,98,779,2,8,8,0,0,238,19,1,7,1,0
12J. Hopgood(PAR),16,14,"1,061",3,4,0,-,0,12,214,"1,767",3,20,37,0,0,612,38,9,7,1,0
12C. Horsburgh(CBR),16,11,959,3,1,0,-,0,12,197,"1,546",4,23,19,2,23,512,15,2,9,1,0
12L. Ilias(SOU),16,17,"1,362",3,9,0,-,1,13,52,436,3,23,6,163,"4,746",314,34,20,4,0,0
12J. Isaako(DOL),16,16,"1,284",14,3,52,76,0,160,245,"2,385",20,70,8,2,26,69,21,16,4,0,0
12S. Johnson(WAR),16,16,"1,268",6,17,49,79,0,122,43,382,7,31,5,279,"8,561",286,22,12,11,0,0
12S. Katoa(CRO),16,16,"1,280",9,1,0,-,0,36,207,"1,696",15,78,7,5,29,42,24,17,4,0,0
12L. Keary(SYD),16,16,"1,225",5,10,3,100,2,28,59,607,7,16,5,143,"3,860",291,36,14,6,0,0
12W. Kennedy(CRO),16,16,"1,280",13,13,0,-,0,52,202,"2,163",11,53,5,14,152,76,24,10,0,0,0
12M. Kenny(PEN),16,16,"1,066",0,2,0,-,0,0,53,411,0,2,2,2,2,549,59,9,9,1,0
12J. Kerr(DOL),16,0,449,0,1,0,-,0,0,146,"1,250",1,13,17,0,0,245,18,3,5,0,0
12J. King(MEL),16,16,"1,065",2,1,0,-,0,8,184,"1,609",1,9,7,0,0,584,32,5,7,0,0
12D. Klemmer(WST),16,16,831,1,0,0,-,0,4,234,"2,083",2,17,15,0,0,343,6,2,4,0,0
12S. Kris(CBR),16,16,"1,215",5,3,0,-,0,20,241,"2,457",6,46,3,0,0,64,17,15,2,0,0
12C. Lemuelu(DOL),16,13,"1,122",4,1,0,-,0,16,156,"1,321",6,20,18,1,22,436,39,8,7,0,0
12T. Loiero(MEL),16,16,"1,270",0,1,0,-,0,0,192,"1,489",0,12,3,0,0,508,47,10,10,0,0
12R. Mahoney(CBY),16,16,"1,219",2,8,0,-,0,8,56,428,2,11,9,52,"1,536",616,81,17,19,0,0
12E. Mam(BRI),16,16,"1,270",8,8,0,-,0,32,114,"1,053",7,30,6,21,349,273,72,15,3,1,0
12M. Montoya(WAR),16,16,"1,265",6,1,0,-,0,24,265,"2,183",11,36,7,0,0,71,34,17,3,0,0
12M. Moylan(CRO),16,16,"1,278",2,14,0,-,0,8,85,704,3,22,5,61,"1,036",276,46,9,12,0,0
12R. Mulitalo(CRO),16,16,"1,280",15,4,0,-,0,60,215,"1,959",21,55,7,3,53,57,14,20,3,0,0
12B. Murdoch-Masila(STI),16,11,968,0,0,0,-,0,0,111,948,2,16,5,0,0,306,32,5,7,0,0
12B. Nikora(CRO),16,16,"1,257",7,5,0,-,0,28,165,"1,405",13,35,15,7,102,537,36,8,7,1,0
12H. Olakau'atu(MAN),16,16,"1,282",6,1,0,-,0,24,183,"1,745",5,50,8,4,40,416,41,9,8,1,0
12T. Paseka(MAN),16,16,812,0,1,0,-,0,0,238,"2,154",2,29,16,0,0,397,21,12,5,0,0
12W. Penisini(PAR),16,16,"1,267",7,4,0,-,0,28,197,"1,876",10,42,22,11,130,255,30,12,2,1,0
12H. Perham(CBY),16,16,"1,285",3,5,0,-,0,12,257,"2,197",7,48,14,8,50,59,15,17,1,0,0
