Name,PTS,T,R,RM,LB,TB,OFF,TO20,CR%,GLS,GA,GK%,FG,FGA,FG%,K,KM,LK,WK,AK,FDO,KR,KRM,DHR,1PH,LE,GPP,IGE,ERR,PA,PC,SB,SO,PTSC,TC,RMC,LBC,TCK,MT,OFFC,TA
1Sharks,457,78,"2,658","24,291",104,550,128,458,76,72,90,80,1,2,50,335,"8,617",139,25,164,20,185,"1,874",80,"1,086",533,"1,683",2,180,94,81,4,0,323,55,"21,017",67,"4,820",442,142,76
2Eels,440,76,"2,761","24,457",92,420,208,459,77,67,82,81,2,7,28,328,"8,934",146,20,158,25,173,"1,659",72,"1,342",563,"1,620",1,168,69,80,6,0,308,54,"22,035",70,"4,660",433,151,68
3Cowboys,418,71,"2,799","25,163",88,489,118,423,81,64,80,80,5,10,50,382,"10,447",191,22,168,23,170,"1,461",191,"1,331",516,"1,523",0,158,94,100,7,0,380,66,"24,638",91,"5,150",559,149,63
4Rabbitohs,416,74,"2,766","24,234",95,502,117,441,78,59,84,70,2,4,50,336,"8,973",173,27,132,17,180,"1,545",108,"1,433",684,"1,650",2,178,86,90,2,0,320,54,"24,387",59,"5,236",463,122,68
5Panthers,397,65,"2,907","25,591",73,639,161,598,83,65,78,83,6,13,46,367,"9,126",168,18,181,31,180,"2,130",84,"1,267",692,"2,002",2,146,100,85,4,0,204,35,"20,870",51,"5,006",448,141,61
6Broncos,392,70,"2,778","25,464",82,619,165,425,79,54,77,70,3,5,60,356,"9,668",168,20,167,16,174,"1,756",155,"1,342",470,"1,507",1,186,94,89,5,0,297,50,"25,274",77,"5,004",528,173,56
7Raiders,376,59,"2,628","23,357",66,477,171,492,80,68,76,89,3,5,60,347,"9,878",170,26,150,24,153,"1,508",139,"1,298",416,"1,345",1,153,89,100,7,0,431,77,"24,033",80,"5,320",476,133,44
8Knights,373,68,"2,605","22,677",82,553,125,412,76,50,72,69,1,6,16,312,"9,085",182,17,112,17,146,"1,184",95,"1,272",578,"1,564",3,173,86,84,4,1,347,60,"23,884",82,"5,076",481,143,59
9Storm,372,64,"2,590","22,775",71,452,139,459,81,58,74,78,0,2,0,354,"9,251",156,30,165,20,164,"1,600",147,"1,212",475,"1,472",1,152,90,97,5,0,307,53,"21,273",60,"4,966",512,154,55
10Dragons,358,64,"2,661","22,430",77,525,151,446,78,51,76,67,0,1,0,320,"8,464",162,18,133,19,152,"1,385",133,"1,070",575,"1,734",4,169,92,97,3,0,495,84,"24,234",101,"5,036",584,160,52
11Titans,354,61,"2,306","21,001",72,453,133,388,79,55,70,78,0,1,0,288,"8,391",166,7,112,18,123,"1,367",88,"1,156",425,"1,283",0,148,96,79,1,0,385,66,"21,678",66,"4,498",455,169,49
12Dolphins,352,62,"2,505","21,515",71,407,127,405,79,52,68,76,0,2,0,309,"8,663",173,21,113,22,162,"1,639",115,"1,305",445,"1,319",0,155,81,89,8,0,435,75,"23,837",107,"5,041",504,148,53
13Warriors,346,61,"2,607","22,343",78,433,111,457,80,51,64,79,0,0,-,327,"9,316",161,39,127,20,177,"1,775",90,"1,316",590,"1,560",2,147,89,92,8,0,304,51,"22,369",69,"5,117",449,132,51
14Sea Eagles,337,56,"2,568","22,240",68,450,135,450,79,56,68,82,1,5,20,329,"8,897",141,12,172,27,140,"1,383",98,"1,197",497,"1,633",0,166,120,79,6,0,361,65,"23,332",81,"4,689",487,133,51
15Roosters,262,44,"2,511","21,720",62,464,132,415,75,42,53,79,2,2,100,320,"8,793",161,17,140,22,175,"1,904",103,"1,179",517,"1,392",3,178,70,92,8,0,354,60,"23,076",67,"5,438",483,158,39
16Bulldogs,253,44,"2,434","20,516",57,398,170,341,78,38,48,79,1,2,50,338,"9,638",177,28,132,20,178,"1,507",123,"1,027",487,"1,649",1,164,84,107,5,0,473,80,"23,834",95,"5,099",593,170,40
17Tigers,251,43,"2,617","23,061",63,515,200,523,77,39,48,81,1,4,25,316,"8,010",142,22,147,27,172,"1,611",111,"1,039",646,"1,917",3,182,84,77,2,0,430,75,"23,064",78,"4,817",448,113,31
