Rank,Rikishi,Heya,Shusshin,Birth Date,Height/Weight,Result
Y1eYO,Terunofuji,Isegahama,Mongolia,29.11.1991,191 cm 173 kg,0-0-15
O1w,Takakeisho,Tokiwayama,Hyogo,05.08.1996,175 cm 183 kg,12-3 Y
S1e,Wakatakakage,Arashio,Fukushima,06.12.1994,180 cm 129 kg,9-6
S1w,Hoshoryu,Tatsunami,Mongolia,22.05.1999,186 cm 131 kg,8-7
S2e,Takayasu,Tagonoura,Ibaraki,28.02.1990,187 cm 175 kg,1-5-9
S2w,Shodai,Tokitsukaze,Kumamoto,05.11.1991,184 cm 170 kg,6-9
K1e,Kiribayama,Michinoku,Mongolia,24.04.1996,187 cm 138 kg,11-4 JG
K1w,Kotonowaka,Sadogatake,Chiba,19.11.1997,188 cm 166 kg,8-7
K2e,Meisei,Tatsunami,Kagoshima,24.07.1995,180 cm 151 kg,5-10
K2w,Wakamotoharu,Arashio,Fukushima,05.10.1993,187 cm 143 kg,9-6
M1e,Tobizaru,Oitekaze,Tokyo,24.04.1992,175 cm 131 kg,8-7
M1w,Daieisho,Oitekaze,Saitama,10.11.1993,182 cm 161 kg,10-5
M2e,Mitakeumi,Dewanoumi,Nagano,25.12.1992,179 cm 172 kg,7-8
M2w,Tamawashi,Kataonami,Mongolia,16.11.1984,189 cm 168 kg,9-6
M3e,Abi,Shikoroyama,Saitama,04.05.1994,188 cm 149 kg,8-7
M3w,Midorifuji,Isegahama,Shizuoka,30.08.1996,171 cm 114 kg,6-9
M4e,Nishikifuji,Isegahama,Aomori,22.07.1996,183 cm 143 kg,4-11
M4w,Sadanoumi,Sakaigawa,Kumamoto,11.05.1987,182 cm 139 kg,6-9
M5e,Ryuden,Takadagawa,Yamanashi,10.11.1990,190 cm 148 kg,9-6
M5w,Nishikigi,Isenoumi,Iwate,25.08.1990,184 cm 169 kg,9-6
M6e,Hokutofuji,Hakkaku,Saitama,15.07.1992,185 cm 162 kg,7-8
M6w,Myogiryu,Sakaigawa,Hyogo,22.10.1986,187 cm 155 kg,6-9
M7e,Ichinojo,Minato,Mongolia,07.04.1993,192 cm 198 kg,0-0-15
M7w,Ura,Kise,Osaka,22.06.1992,175 cm 136 kg,7-8
M8e,Onosho,Onomatsu,Aomori,04.07.1996,177 cm 157 kg,10-5
M8w,Oho,Otake,Tokyo,14.02.2000,191 cm 170 kg,4-11
M9e,Takanosho,Tokiwayama,Chiba,14.11.1994,184 cm 163 kg,6-9
M9w,Endo,Oitekaze,Ishikawa,19.10.1990,184 cm 148 kg,9-6
M10e,Aoiyama,Kasugano,Bulgaria,19.06.1986,191 cm 188 kg,8-7
M10w,Hiradoumi,Sakaigawa,Nagasaki,20.04.2000,177 cm 129 kg,8-7
M11e,Chiyoshoma,Kokonoe,Mongolia,20.07.1991,184 cm 137 kg,5-10
M11w,Tochinoshin,Kasugano,Georgia,13.10.1987,192 cm 176 kg,2-3-10
M12e,Kagayaki,Takadagawa,Ishikawa,01.06.1994,193 cm 160 kg,7-8
M12w,Okinoumi,Hakkaku,Shimane,29.07.1985,191 cm 160 kg,0-6
M13e,Kotoshoho,Sadogatake,Chiba,26.08.1999,191 cm 156 kg,11-4 JK
M13w,Kotoeko,Sadogatake,Miyazaki,20.11.1991,177 cm 131 kg,7-8
M14e,Ichiyamamoto,Hanaregoma,Hokkaido,01.10.1993,187 cm 133 kg,10-5
M14w,Azumaryu,Tamanoi,Mongolia,12.05.1987,191 cm 156 kg,9-6
M15e,Tsurugisho,Oitekaze,Tokyo,27.07.1991,182 cm 191 kg,7-8
M15w,Mitoryu,Nishikido,Mongolia,25.04.1994,187 cm 183 kg,7-8
M16e,Takarafuji,Isegahama,Aomori,18.02.1987,185 cm 166 kg,8-7
M16w,Chiyomaru,Kokonoe,Kagoshima,17.04.1991,178 cm 189 kg,4-11
Y1e,Kagamisato,Tokitsukaze,Aomori,30.04.1923,174 cm 162 kg,3-5-7
Y1w,Yoshibayama,Takashima,Hokkaido,03.04.1920,179 cm 143 kg,10-5
Y2eHD,Tochinishiki,Kasugano,Tokyo,20.02.1925,177 cm 132 kg,11-4
Y2wHD,Chiyonoyama,Dewanoumi,Hokkaido,02.06.1926,190 cm 122 kg,15-0 Y
O1e,Wakanohana,Hanakago,Aomori,16.03.1928,179 cm 105 kg,11-4
O1w,Matsunobori,Oyama,Chiba,20.07.1924,172 cm 154 kg,9-6
O2eHD,Ouchiyama,Tokitsukaze,Ibaraki,19.06.1926,202 cm 152 kg,2-3-10
S1e,Asashio,Takasago,Hyogo,13.11.1929,189 cm 145 kg,8-7
S1w,Tamanoumi,Nishonoseki,Oita,02.01.1923,181 cm 120 kg,11-4 K
K1e,Tsurugamine,Izutsu,Kagoshima,26.04.1929,177 cm 114 kg,5-10
