Rank,Rikishi,Heya,Shusshin,Birth Date,Height/Weight,Result
Y1e,Terunofuji,Isegahama,Mongolia,29.11.1991,191 cm 173 kg,11-4 J
O1e,Takakeisho,Tokiwayama,Hyogo,05.08.1996,175 cm 183 kg,11-4 J
O1w,Mitakeumi,Dewanoumi,Nagano,25.12.1992,179 cm 172 kg,2-5-8
O2w,Shodai,Tokitsukaze,Kumamoto,05.11.1991,184 cm 170 kg,10-5
S1e,Wakatakakage,Arashio,Fukushima,06.12.1994,180 cm 129 kg,8-7
S1w,Daieisho,Oitekaze,Saitama,10.11.1993,182 cm 161 kg,6-7-2
K1e,Hoshoryu,Tatsunami,Mongolia,22.05.1999,186 cm 131 kg,9-6
K1w,Abi,Shikoroyama,Saitama,04.05.1994,188 cm 149 kg,8-7
M1e,Kiribayama,Michinoku,Mongolia,24.04.1996,187 cm 138 kg,8-7
M1w,Takanosho,Tokiwayama,Chiba,14.11.1994,184 cm 163 kg,1-6-8
M2e,Kotonowaka,Sadogatake,Chiba,19.11.1997,188 cm 166 kg,7-4-4
M2w,Ichinojo,Minato,Mongolia,07.04.1993,192 cm 198 kg,12-3 YS
M3e,Tamawashi,Kataonami,Mongolia,16.11.1984,189 cm 168 kg,5-8-2
M3w,Ura,Kise,Osaka,22.06.1992,175 cm 136 kg,7-8
M4e,Wakamotoharu,Arashio,Fukushima,05.10.1993,187 cm 143 kg,6-9
M4w,Takayasu,Tagonoura,Ibaraki,28.02.1990,187 cm 175 kg,0-0-15
M5e,Endo,Oitekaze,Ishikawa,19.10.1990,184 cm 148 kg,3-10-2
M5w,Sadanoumi,Sakaigawa,Kumamoto,11.05.1987,182 cm 139 kg,7-8
M6e,Aoiyama,Kasugano,Bulgaria,19.06.1986,191 cm 188 kg,6-9
M6w,Tobizaru,Oitekaze,Tokyo,24.04.1992,175 cm 131 kg,8-5-2
M7e,Okinoumi,Hakkaku,Shimane,29.07.1985,191 cm 160 kg,4-11
M7w,Hokutofuji,Hakkaku,Saitama,15.07.1992,185 cm 162 kg,6-9
M8e,Tochinoshin,Kasugano,Georgia,13.10.1987,192 cm 176 kg,7-8
M8w,Nishikigi,Isenoumi,Iwate,25.08.1990,184 cm 169 kg,8-5-2
M9e,Shimanoumi,Kise,Mie,11.07.1989,179 cm 160 kg,1-14
M9w,Kotoeko,Sadogatake,Miyazaki,20.11.1991,177 cm 131 kg,5-6-4
M10e,Chiyotairyu,Kokonoe,Tokyo,14.11.1988,181 cm 171 kg,6-9
M10w,Meisei,Tatsunami,Kagoshima,24.07.1995,180 cm 151 kg,9-6
M11e,Kotoshoho,Sadogatake,Chiba,26.08.1999,191 cm 156 kg,5-6-4
M11w,Midorifuji,Isegahama,Shizuoka,30.08.1996,171 cm 114 kg,10-5
M12e,Terutsuyoshi,Isegahama,Hyogo,17.01.1995,169 cm 114 kg,6-9
M12w,Takarafuji,Isegahama,Aomori,18.02.1987,185 cm 166 kg,9-6
M13e,Ichiyamamoto,Hanaregoma,Hokkaido,01.10.1993,187 cm 133 kg,6-3-6
M13w,Chiyoshoma,Kokonoe,Mongolia,20.07.1991,184 cm 137 kg,7-8
M14e,Myogiryu,Sakaigawa,Hyogo,22.10.1986,187 cm 155 kg,9-6
M14w,Tsurugisho,Oitekaze,Tokyo,27.07.1991,182 cm 191 kg,5-8-2
M15e,Onosho,Onomatsu,Aomori,04.07.1996,177 cm 157 kg,10-5
M15w,Oho,Otake,Tokyo,14.02.2000,191 cm 170 kg,8-7
M16e,Yutakayama,Tokitsukaze,Niigata,22.09.1993,185 cm 173 kg,8-7
M16w,Daiamami,Oitekaze,Kagoshima,15.12.1992,183 cm 182 kg,2-9-4
M17e,Nishikifuji,Isegahama,Aomori,22.07.1996,183 cm 143 kg,10-5 K
M17w,Chiyomaru,Kokonoe,Kagoshima,17.04.1991,178 cm 189 kg,6-9
Y1e,Tochinishiki,Kasugano,Tokyo,20.02.1925,177 cm 132 kg,12-3 J
Y1w,Chiyonoyama,Dewanoumi,Hokkaido,02.06.1926,190 cm 122 kg,0-0-15
Y2eHD,Wakanohana,Hanakago,Aomori,16.03.1928,179 cm 105 kg,13-2 Y
O1e,Kotogahama,Nishonoseki,Kagawa,10.10.1927,177 cm 117 kg,10-5
O1w,Asashio,Takasago,Hyogo,13.11.1929,189 cm 145 kg,10-5
O2wHD,Matsunobori,Oyama,Chiba,20.07.1924,172 cm 154 kg,5-10
S1e,Wakamaeda,Takasago,Aichi,24.11.1930,174 cm 129 kg,5-10
S1w,Shinobuyama,Onogawa,Fukushima,21.03.1925,177 cm 109 kg,9-6 K
K1e,Ohikari,Dewanoumi,Hokkaido,24.09.1927,181 cm 115 kg,7-8
