Rank,Rikishi,Heya,Shusshin,Birth Date,Height/Weight,Result
Y1e,Terunofuji,Isegahama,Mongolia,29.11.1991,191 cm 173 kg,14-1 Y
O1w,Takakeisho,Tokiwayama,Hyogo,05.08.1996,175 cm 183 kg,8-7
S1e,Kiribayama,Michinoku,Mongolia,24.04.1996,187 cm 138 kg,11-4 G
S1w,Hoshoryu,Tatsunami,Mongolia,22.05.1999,186 cm 131 kg,11-4
S2e,Daieisho,Oitekaze,Saitama,10.11.1993,182 cm 161 kg,10-5
S2w,Wakamotoharu,Arashio,Fukushima,05.10.1993,187 cm 143 kg,10-5 G
K1e,Kotonowaka,Sadogatake,Chiba,19.11.1997,188 cm 166 kg,8-7
K1w,Wakatakakage,Arashio,Fukushima,06.12.1994,180 cm 129 kg,0-0-15
K2e,Shodai,Tokitsukaze,Kumamoto,05.11.1991,184 cm 170 kg,6-9
M1e,Abi,Shikoroyama,Saitama,04.05.1994,188 cm 149 kg,8-7
M1w,Midorifuji,Isegahama,Shizuoka,30.08.1996,171 cm 114 kg,6-9
M2e,Takayasu,Tagonoura,Ibaraki,28.02.1990,187 cm 175 kg,3-3-9
M2w,Endo,Oitekaze,Ishikawa,19.10.1990,184 cm 148 kg,0-7-8
M3e,Tobizaru,Oitekaze,Tokyo,24.04.1992,175 cm 131 kg,8-7
M3w,Nishikifuji,Isegahama,Aomori,22.07.1996,183 cm 143 kg,3-12
M4e,Ura,Kise,Osaka,22.06.1992,175 cm 136 kg,7-8
M4w,Nishikigi,Isenoumi,Iwate,25.08.1990,184 cm 169 kg,9-6
M5e,Kinbozan,Kise,Kazakhstan,24.06.1997,191 cm 165 kg,4-11
M5w,Kotoshoho,Sadogatake,Chiba,26.08.1999,191 cm 156 kg,2-10-3
M6e,Meisei,Tatsunami,Kagoshima,24.07.1995,180 cm 151 kg,8-7 S
M6w,Mitakeumi,Dewanoumi,Nagano,25.12.1992,179 cm 172 kg,9-6
M7e,Hokutofuji,Hakkaku,Saitama,15.07.1992,185 cm 162 kg,6-9
M7w,Tamawashi,Kataonami,Mongolia,16.11.1984,189 cm 168 kg,7-8
M8e,Sadanoumi,Sakaigawa,Kumamoto,11.05.1987,182 cm 139 kg,7-8
M8w,Takanosho,Tokiwayama,Chiba,14.11.1994,184 cm 163 kg,7-8
M9e,Onosho,Onomatsu,Aomori,04.07.1996,177 cm 157 kg,8-7
M9w,Hiradoumi,Sakaigawa,Nagasaki,20.04.2000,177 cm 129 kg,9-6
M10e,Ryuden,Takadagawa,Yamanashi,10.11.1990,190 cm 148 kg,5-10
M10w,Takarafuji,Isegahama,Aomori,18.02.1987,185 cm 166 kg,5-10
M11e,Hokuseiho,Miyagino,Hokkaido,12.11.2001,200 cm 164 kg,8-7
M11w,Daishoho,Oitekaze,Mongolia,28.08.1994,184 cm 171 kg,6-9
M12e,Aoiyama,Kasugano,Bulgaria,19.06.1986,191 cm 188 kg,5-10
M12w,Kotoeko,Sadogatake,Miyazaki,20.11.1991,177 cm 131 kg,8-7
M13e,Chiyoshoma,Kokonoe,Mongolia,20.07.1991,184 cm 137 kg,8-7
M13w,Ichinojo,Minato,Mongolia,07.04.1993,192 cm 198 kg,0-0
M14e,Asanoyama,Takasago,Toyama,01.03.1994,187 cm 174 kg,12-3 J
M14w,Myogiryu,Sakaigawa,Hyogo,22.10.1986,187 cm 155 kg,9-6
M15e,Ichiyamamoto,Hanaregoma,Hokkaido,01.10.1993,187 cm 133 kg,4-11
M15w,Tsurugisho,Oitekaze,Tokyo,27.07.1991,182 cm 191 kg,9-6
M16e,Mitoryu,Nishikido,Mongolia,25.04.1994,187 cm 183 kg,5-10
M16w,Oho,Otake,Tokyo,14.02.2000,191 cm 170 kg,11-4
M17e,Kagayaki,Takadagawa,Ishikawa,01.06.1994,193 cm 160 kg,7-8
Y1e,Tochinishiki,Kasugano,Tokyo,20.02.1925,177 cm 132 kg,12-3 J
Y1w,Kagamisato,Tokitsukaze,Aomori,30.04.1923,174 cm 162 kg,10-5
Y2eHD,Chiyonoyama,Dewanoumi,Hokkaido,02.06.1926,190 cm 122 kg,0-0-15
Y2wHD,Yoshibayama,Takashima,Hokkaido,03.04.1920,179 cm 143 kg,5-6-4
O1e,Wakanohana,Hanakago,Aomori,16.03.1928,179 cm 105 kg,11-4
O1w,Asashio,Takasago,Hyogo,13.11.1929,189 cm 145 kg,9-6
O2eHD,Matsunobori,Oyama,Chiba,20.07.1924,172 cm 154 kg,8-7
S1e,Tamanoumi,Nishonoseki,Oita,02.01.1923,181 cm 120 kg,0-6-9
S1w,Tokitsuyama,Tatsunami,Fukushima,10.03.1925,182 cm 137 kg,11-4
S2wHD,Wakahaguro,Tatsunami,Kanagawa,25.11.1934,176 cm 150 kg,7-8
K1e,Tsurugamine,Izutsu,Kagoshima,26.04.1929,177 cm 114 kg,5-10
K1w,Annenyama,Tatsunami,Hokkaido,23.02.1934,181 cm 111 kg,13-2 YS
K2wHD,Kotogahama,Nishonoseki,Kagawa,10.10.1927,177 cm 117 kg,12-3 JG
M1e,Ouchiyama,Tokitsukaze,Ibaraki,19.06.1926,202 cm 152 kg,7-8
M1w,Tochihikari,Kasugano,Kumamoto,29.08.1933,176 cm 128 kg,5-10
M2e,Dewanishiki,Dewanoumi,Tokyo,15.07.1925,181 cm 143 kg,6-9
M2w,Naruyama,Onogawa,Hyogo,27.11.1931,176 cm 110 kg,2-13
M3e,Kitanonada,Tatsunami,Hokkaido,01.02.1923,180 cm 120 kg,9-6
M3w,Wakamaeda,Takasago,Aichi,24.11.1930,174 cm 129 kg,5-10
M4e,Shinobuyama,Onogawa,Fukushima,21.03.1925,177 cm 109 kg,6-9
M4w,Hoshikabuto,Izutsu,Chiba,20.02.1926,171 cm 107 kg,5-10
M5e,Iwakaze,Wakamatsu,Tokyo,22.01.1934,174 cm 117 kg,4-11
M5w,Narutoumi,Kasugano,Hyogo,01.01.1926,183 cm 90 kg,3-12
M6e,Mitsuneyama,Takashima,Tokyo,07.02.1922,176 cm 150 kg,9-6
M6w,Shimizugawa,Oitekaze,Hyogo,13.08.1925,176 cm 115 kg,10-5
M7e,Shimanishiki,Takasago,Osaka,26.09.1928,174 cm 135 kg,10-5
M7w,Ohikari,Dewanoumi,Hokkaido,24.09.1927,181 cm 115 kg,5-10
M8e,Tokinishiki,Tokitsukaze,Fukuoka,13.02.1931,193 cm 117 kg,10-5
M8w,Dewaminato,Dewanoumi,Aomori,14.04.1923,177 cm 98 kg,0-2-13
M9e,Futatsuryu,Tokitsukaze,Hokkaido,03.03.1930,185 cm 108 kg,8-7
M9w,Wakasegawa,Araiso,Hyogo,20.02.1920,176 cm 110 kg,7-8
M10e,Daitenryu,Nishonoseki,Saga,13.10.1928,181 cm 102 kg,11-4
M10w,Araiwa,Hanakago,Akita,02.02.1931,169 cm 114 kg,8-7
M11e,Osegawa,Araiso,Aomori,01.02.1927,179 cm 115 kg,7-8
M11w,Otachi,Dewanoumi,Fukuoka,06.10.1923,194 cm 180 kg,8-7
M12e,Hajimayama,Dewanoumi,Gifu,23.04.1922,176 cm 120 kg,8-7
M12w,Wakabayama,Tokitsukaze,Fukuoka,09.11.1922,173 cm 94 kg,8-7
M13e,Miyanishiki,Takasago,Iwate,30.05.1927,171 cm 119 kg,8-7
M13w,Hirakagawa,Tatsunami,Akita,31.03.1924,179 cm 100 kg,0-0-15
M14e,Shionishiki,Tokitsukaze,Kumamoto,25.09.1924,183 cm 110 kg,8-7
M14w,Hirosegawa,Araiso,Miyagi,28.02.1919,180 cm 105 kg,8-7
M15e,Takanishiki,Takasago,Kumamoto,12.02.1934,168 cm 152 kg,9-6
M15w,Kuninobori,Takasago,Tokyo,18.04.1925,174 cm 126 kg,8-7
M16e,Azumaumi,Araiso,Tokyo,14.03.1924,174 cm 166 kg,5-10
M16w,Yasome,Kasugano,Tochigi,01.07.1929,172 cm 93 kg,7-8
M17e,Yoshinomine,Takashima,Aomori,07.07.1931,173 cm 96 kg,2-10-3
M17w,Kiyoenami,Tatsunami,Ishikawa,24.06.1923,175 cm 118 kg,7-8
M18e,Koinose,Asahiyama,Ehime,21.01.1930,170 cm 105 kg,6-9
M18w,Onoura,Hanakago,Akita,21.10.1925,171 cm 99 kg,8-7
M19e,Kamioiyama,Nishonoseki,Kagawa,24.05.1931,173 cm 90 kg,6-9
M19w,Izuminada,Tokitsukaze,Osaka,30.09.1928,176 cm 103 kg,8-7
M20e,Kaminishiki,Takashima,Aomori,28.08.1925,180 cm 96 kg,7-8
M20w,Fusanishiki,Wakamatsu,Chiba,03.01.1936,176 cm 118 kg,11-4 K
M21e,Fukunoumi,Asahiyama,Fukui,28.04.1930,175 cm 108 kg,8-7
M21w,Yoshiiyama,Dewanoumi,Fukuoka,13.03.1924,182 cm 92 kg,7-8
M22e,Orochigata,Nishikijima,Akita,20.05.1919,179 cm 120 kg,4-11
M22w,Hiodoshi,Nishikijima,Akita,22.08.1922,179 cm 120 kg,5-10
M23e,Maenoyama,Takasago,Ehime,02.07.1931,176 cm 102 kg,7-8
Y1e,Chiyonoyama,Dewanoumi,Hokkaido,02.06.1926,190 cm 122 kg,12-3 J
Y1w,Wakanohana,Hanakago,Aomori,16.03.1928,179 cm 105 kg,11-4
Y2eHD,Tochinishiki,Kasugano,Tokyo,20.02.1925,177 cm 132 kg,14-1 Y
O1e,Asashio,Takasago,Hyogo,13.11.1929,189 cm 145 kg,5-4-6
O1w,Kotogahama,Nishonoseki,Kagawa,10.10.1927,177 cm 117 kg,11-4
O2wHD,Matsunobori,Oyama,Chiba,20.07.1924,172 cm 154 kg,8-7
S1e,Wakamaeda,Takasago,Aichi,24.11.1930,174 cm 129 kg,10-5 K
