W...1,L...2,East,Heya...4,Shusshin...5,Birth Date...6,Hatsu...7,University...8,Height/Weight...9,High...10,Career...11,Career Record...12,Prev...13,Prev W...14,Prev L...15,Next...16,Next W...17,Next L...18,Rank,West,Heya...21,Shusshin...22,Birth Date...23,Hatsu...24,University...25,Height/Weight...26,High...27,Career...28,Career Record...29,Prev...30,Prev W...31,Prev L...32,W...33,L...34,Next...35,Next W...36,Next L...37
0,0,Terunofuji,Isegahama,Mongolia,29.11.1991,2011.01,NA,191 cm 173 kg,Y,Y,493-257-139/741,Y1eYO,0,0,Y1e,14,1,YO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,O,Takakeisho,Tokiwayama,Hyogo,05.08.1996,2014.09,NA,175 cm 183 kg,O,O,406-221-66/619,O1w,12,3,3,4,O1w,8,7,NA,NA
7,7,Wakatakakage,Arashio,Fukushima,06.12.1994,2017.03,Toyo University,180 cm 129 kg,S,S,272-186-41/456,S1e,9,6,K1w,0,0,S,Hoshoryu,Tatsunami,Mongolia,22.05.1999,2017.11,NA,186 cm 131 kg,S,S,227-156-2/380,S1w,8,7,10,5,S1w,11,4
12,3,Kiribayama,Michinoku,Mongolia,24.04.1996,2015.03,NA,187 cm 138 kg,S,S,307-207-15/513,K1e,11,4,S1e,11,4,S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,4,Wakamotoharu,Arashio,Fukushima,05.10.1993,2011.11,NA,187 cm 143 kg,K,S,355-264-25/619,K2w,9,6,S2w,10,5,K,Kotonowaka,Sadogatake,Chiba,19.11.1997,2015.11,NA,188 cm 166 kg,K,K,278-200-14/475,K1w,8,7,9,6,K1e,8,7
12,3,Daieisho,Oitekaze,Saitama,10.11.1993,2012.01,NA,182 cm 161 kg,S,S,485-406-2/890,M1w,10,5,S2e,10,5,K,Tobizaru,Oitekaze,Tokyo,24.04.1992,2015.01,Nihon University,175 cm 131 kg,K,K,322-275-2/596,M1e,8,7,6,9,M3e,8,7
3,12,Tamawashi,Kataonami,Mongolia,16.11.1984,2004.01,NA,189 cm 168 kg,S,S,773-751-2/1523,M2w,9,6,M7w,7,8,M1,Shodai,Tokitsukaze,Kumamoto,05.11.1991,2014.03,Tokyo University of Agriculture,184 cm 170 kg,O,O,409-327-10/735,S2w,6,9,10,5,K2e,6,9
9,6,Abi,Shikoroyama,Saitama,04.05.1994,2013.05,NA,188 cm 149 kg,S,S,382-259-60/640,M3e,8,7,M1e,8,7,M2,Ryuden,Takadagawa,Yamanashi,10.11.1990,2006.03,NA,190 cm 148 kg,K,K,501-403-99/903,M5e,9,6,2,13,M10e,5,10
4,11,Mitakeumi,Dewanoumi,Nagano,25.12.1992,2015.03,Toyo University,179 cm 172 kg,O,O,408-298-13/703,M2e,7,8,M6w,9,6,M3,Nishikigi,Isenoumi,Iwate,25.08.1990,2006.03,NA,184 cm 169 kg,M2,M2,552-537-2/1088,M5w,9,6,6,9,M4w,9,6
4,5,Onosho,Onomatsu,Aomori,04.07.1996,2013.01,NA,177 cm 157 kg,K,K,426-357-36/779,M8e,10,5,M9e,8,7,M4,Meisei,Tatsunami,Kagoshima,24.07.1995,2011.05,NA,180 cm 151 kg,S,S,417-369-7/785,K2e,5,10,5,10,M6e,8,7
6,9,Kotoshoho,Sadogatake,Chiba,26.08.1999,2017.11,NA,191 cm 156 kg,M3,M3,206-171-15/374,M13e,11,4,M5w,2,10,M5,Midorifuji,Isegahama,Shizuoka,30.08.1996,2016.09,Kinki University,171 cm 114 kg,M1,M1,235-175-15/410,M3w,6,9,10,5,M1w,6,9
9,6,Endo,Oitekaze,Ishikawa,19.10.1990,2013.03,Nihon University,184 cm 148 kg,K,K,434-407-58/831,M9w,9,6,M2w,0,7,M6,Sadanoumi,Sakaigawa,Kumamoto,11.05.1987,2003.03,NA,182 cm 139 kg,M1,M1,662-661-22/1323,M4w,6,9,6,9,M8e,7,8
7,8,Hokutofuji,Hakkaku,Saitama,15.07.1992,2015.03,Nippon Sport Science University,185 cm 162 kg,K,K,358-292-14/647,M6e,7,8,M7e,6,9,M7,Takayasu,Tagonoura,Ibaraki,28.02.1990,2005.03,NA,187 cm 175 kg,O,O,686-526-129/1203,S2e,1,5,10,5,M2e,3,3
4,11,Ichiyamamoto,Hanaregoma,Hokkaido,01.10.1993,2017.01,Chuo University,187 cm 133 kg,M8,M8,210-159-26/367,M14e,10,5,M15e,4,11,M8,Ura,Kise,Osaka,22.06.1992,2015.03,Kwansei Gakuin University,175 cm 136 kg,M1,M1,289-168-95/454,M7w,7,8,9,6,M4e,7,8
6,9,Aoiyama,Kasugano,Bulgaria,19.06.1986,2009.05,NA,191 cm 188 kg,S,S,566-542-27/1106,M10e,8,7,M12e,5,10,M9,Hiradoumi,Sakaigawa,Nagasaki,20.04.2000,2016.03,NA,177 cm 129 kg,M9,M9,209-157-8/366,M10w,8,7,7,8,M9w,9,6
5,10,Myogiryu,Sakaigawa,Hyogo,22.10.1986,2009.05,Nippon Sport Science University,187 cm 155 kg,S,S,558-535-64/1088,M6w,6,9,M14w,9,6,M10,Nishikifuji,Isegahama,Aomori,22.07.1996,2016.09,Kinki University,183 cm 143 kg,M4,M3,220-171-10/390,M4e,4,11,10,5,M3w,3,12
4,11,Azumaryu,Tamanoi,Mongolia,12.05.1987,2008.11,Kyushu Institute of Information Sciences,191 cm 156 kg,M11,M11,518-500-34/1016,M14w,9,6,J2e,2,13,M11,Takanosho,Tokiwayama,Chiba,14.11.1994,2010.03,NA,184 cm 163 kg,S,S,433-353-17/783,M9e,6,9,8,7,M8w,7,8
5,10,Kagayaki,Takadagawa,Ishikawa,01.06.1994,2010.03,NA,193 cm 160 kg,M3,M3,475-472/947,M12e,7,8,M17e,7,8,M12,Takarafuji,Isegahama,Aomori,18.02.1987,2009.01,Kinki University,185 cm 166 kg,S,S,588-600/1188,M16e,8,7,8,7,M10w,5,10
8,7,Daishoho,Oitekaze,Mongolia,28.08.1994,2013.01,NA,184 cm 171 kg,M9,M9,348-310-2/657,J6w,12,3,M11w,6,9,M13,Kotoeko,Sadogatake,Miyazaki,20.11.1991,2007.03,NA,177 cm 131 kg,M4,M4,511-494-4/1004,M13w,7,8,8,7,M12w,8,7
11,4,Kinbozan,Kise,Kazakhstan,24.06.1997,2021.09,Nihon University,191 cm 165 kg,M14,M5,74-36/110,J5e,11,4,M5e,4,11,M14,Bushozan,Fujishima,Ibaraki,06.12.1995,2014.01,NA,172 cm 170 kg,M14,M14,265-229-3/493,J1w,9,6,5,10,J3e,10,5
9,6,Hokuseiho,Miyagino,Hokkaido,12.11.2001,2020.03,NA,200 cm 164 kg,M15,M11,110-45-35/154,J2e,9,6,M11e,8,7,M15,Oho,Otake,Tokyo,14.02.2000,2018.01,NA,191 cm 170 kg,M8,M8,190-139/328,M8w,4,11,7,8,M16w,11,4
9,6,Chiyoshoma,Kokonoe,Mongolia,20.07.1991,2009.05,NA,184 cm 137 kg,M2,M2,459-445-15/903,M11e,5,10,M13e,8,7,M16,Tsurugisho,Oitekaze,Tokyo,27.07.1991,2014.01,Nihon University,182 cm 191 kg,M7,M7,384-341-12/722,M15e,7,8,8,7,M15w,9,6
8,7,Mitoryu,Nishikido,Mongolia,25.04.1994,2017.03,Nihon University,187 cm 183 kg,M15,M15,250-235-23/481,M15w,7,8,M16e,5,10,M17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,2,Asanoyama,Takasago,Toyama,01.03.1994,2016.03,Kinki University,187 cm 174 kg,O,O,312-156-89/466,J12w,14,1,M14e,12,3,J1,Tohakuryu,Tamanoi,Tokyo,17.04.1996,2019.05,Toyo University,181 cm 126 kg,J1,J1,145-132-11/276,J4e,9,6,7,8,J2w,4,11
3,12,Chiyonokuni,Kokonoe,Mie,10.07.1990,2006.05,NA,182 cm 144 kg,M1,M1,539-452-173/978,J7e,10,5,J9w,0,10,J2,Tochinoshin,Kasugano,Georgia,13.10.1987,2006.03,NA,192 cm 176 kg,O,O,681-609-106/1282,M11w,2,3,5,10,J5e,0,6
14,1,Ichinojo,Minato,Mongolia,07.04.1993,2013.11,NA,192 cm 198 kg,S,S,408-328-73/734,M7e,0,0,M13w,0,0,J3,Shonannoumi,Takadagawa,Kanagawa,08.04.1998,2014.03,NA,194 cm 162 kg,J3,J1,230-172/402,J13e,12,3,9,6,J1w,11,4
4,11,Chiyomaru,Kokonoe,Kagoshima,17.04.1991,2007.05,NA,178 cm 189 kg,M5,M5,547-535-40/1076,M16w,4,11,J10e,6,9,J4,Oshoma,Naruto,Mongolia,09.04.1997,2021.09,Nippon Sport Science University,187 cm 150 kg,J3,J3,65-46-7/111,J3w,7,8,8,7,J4e,7,8
8,7,Roga,Futagoyama,Russia,02.03.1999,2018.09,NA,184 cm 143 kg,J5,J4,132-82/214,J9e,9,6,J4w,9,6,J5,Enho,Miyagino,Ishikawa,18.10.1994,2017.03,Kanazawa Gakuin University,169 cm 92 kg,M4,M4,228-221-35/447,J4w,7,8,9,6,J3w,0,10
11,4,Gonoyama,Takekuma,Osaka,07.04.1998,2021.03,Chuo University,176 cm 155 kg,J6,J1,96-48-2/143,J10e,9,6,J1e,14,1,J6,Daiamami,Oitekaze,Kagoshima,15.12.1992,2016.01,Nihon University,183 cm 182 kg,M11,M11,303-305-4/606,J2w,5,10,6,9,J9e,7,8
8,7,Akua,Tatsunami,Ibaraki,06.11.1990,2010.11,NA,184 cm 168 kg,M10,M10,357-335-3/691,J1e,3,12,J5w,5,10,J7,Shimazuumi,Hanaregoma,Kagoshima,18.05.1996,2012.03,NA,174 cm 149 kg,J7,J6,279-215-34/493,J11w,9,6,8,7,J6w,8,7
6,9,Hidenoumi,Kise,Tokyo,11.06.1989,2012.05,Nihon University,185 cm 156 kg,M6,M6,432-413-18/843,J9w,8,7,J11e,6,9,J8,Atamifuji,Isegahama,Shizuoka,03.09.2002,2020.11,NA,185 cm 166 kg,M15,M15,101-64-4/164,J3e,3,8,8,7,J8e,13,2
