Rikishi,total_wins,total_losses,total_ties,avg_height_cm,avg_weight_kg,total_matches,win_percentage
Abi,192,145,38,186.2,132.2,375,0.512
Adachi,10,20,0,183,130,30,0.3333333333333333
Akebono,566,198,181,203.71428571428572,216.9047619047619,945,0.5989417989417989
Akinoshima,647,640,78,175.2032967032967,145.93626373626373,1365,0.473992673992674
Akinoshu,44,61,0,179,119.28571428571429,105,0.41904761904761906
Akiseyama,27,41,7,182.6,176.76,75,0.36
Akua,39,63,3,182.71428571428572,165.68571428571428,105,0.37142857142857144
Ama,213,161,1,185.4,118.192,375,0.568
Amakaze,5,10,0,184,200.5,15,0.3333333333333333
Amanoyama,178,227,0,189.7962962962963,176.1851851851852,405,0.43950617283950616
Amatsukaze,96,133,11,179,124,240,0.4
Amatsunada,18,27,0,183,100,45,0.4
Aminishiki,685,738,47,185.07142857142858,138.29591836734693,1470,0.46598639455782315
Amuru,58,73,4,192,126,135,0.42962962962962964
Annenyama,207,183,0,181,111,390,0.5307692307692308
Aobajo,429,501,0,180.09677419354838,141.6451612903226,930,0.4612903225806452
Aobayama,208,257,0,186.96774193548387,124.51612903225806,465,0.44731182795698926
Aogiyama,223,314,33,181.39473684210526,148.77631578947367,570,0.3912280701754386
Aoiyama,483,497,25,191.52238805970148,189.4268656716418,1005,0.48059701492537316
Aonosato,408,492,0,182.05,119.01666666666667,900,0.4533333333333333
Araiwa,46,54,5,169,114,105,0.4380952380952381
Arakiyama,22,37,16,177,142,75,0.29333333333333333
Aran,196,239,0,186.63333333333333,149.84666666666666,435,0.45057471264367815
Aranami,63,102,0,184,106,165,0.38181818181818183
Arase,351,367,2,177.26041666666666,145.39583333333334,720,0.4875
Arashiyama,4,11,0,179.5,110,15,0.26666666666666666
Arawashi,146,180,4,184,122,330,0.44242424242424244
Asaarashi,5,10,0,183,110,15,0.3333333333333333
Asahifuji,487,277,46,187.96296296296296,138.1851851851852,810,0.6012345679012345
Asahikuni,418,330,57,173.75,111.51851851851852,805,0.5192546583850932
Asahisato,21,39,0,186.25,132.75,60,0.35
Asahisho,23,35,2,174.25,137,60,0.38333333333333336
Asahiyutaka,160,198,0,190.41666666666666,139,358,0.44692737430167595
Asanobori,82,113,0,175.16923076923078,149.69230769230768,195,0.4205128205128205
Asanosho,213,248,19,184.75,142.125,480,0.44375
Asanoumi,23,37,0,172,94,60,0.38333333333333336
Asanowaka,346,434,0,176.23076923076923,142.97692307692307,780,0.44358974358974357
Asanoyama,195,120,60,188.52,161.84,375,0.52
Asaoka,17,28,0,174,125,45,0.37777777777777777
Asasegawa,188,236,11,176.10344827586206,136.48275862068965,435,0.432183908045977
Asasekiryu,410,442,33,184.4406779661017,141.4677966101695,885,0.4632768361581921
Asashio,752,469,144,184.54945054945054,166.8021978021978,1365,0.550915750915751
Asashoryu,596,153,76,184.05454545454546,140.77818181818182,825,0.7224242424242424
Asofuji,10,20,0,179,124.5,30,0.3333333333333333
Atagoyama,104,120,31,177,117,255,0.40784313725490196
Atamifuji,4,11,0,185,166,15,0.26666666666666666
Azumanada,95,115,0,186.89285714285714,123.28571428571429,210,0.4523809523809524
Azumanishiki,3,12,0,173,132,15,0.2
Azumaryu,71,94,15,191.625,149.53333333333333,180,0.39444444444444443
Azumaumi,23,37,0,174,166,60,0.38333333333333336
Banryuyama,200,268,12,177.171875,140.25,480,0.4166666666666667
Baruto,330,197,88,197.65853658536585,180.37560975609756,615,0.5365853658536586
Bushozan,5,10,0,172,170,15,0.3333333333333333
Bushuyama,63,102,0,190.8181818181818,169.51818181818183,165,0.38181818181818183
Buyuzan,167,196,12,180.88,160.208,375,0.44533333333333336
Chikubayama,11,19,0,176,121,30,0.36666666666666664
Chiyohakuho,41,39,10,180.76666666666668,135,90,0.45555555555555555
Chiyomaru,195,253,2,178,179.68666666666667,450,0.43333333333333335
Chiyonofuji,807,253,155,182.43827160493828,116.21604938271605,1215,0.6641975308641975
Chiyonokuni,195,205,95,183.36363636363637,142.77878787878788,495,0.3939393939393939
Chiyonoo,17,28,0,179.33333333333334,149.2,45,0.37777777777777777
Chiyonoumi,8,7,0,182,128,15,0.5333333333333333
Chiyonoyama,70,29,81,190,122,180,0.3888888888888889
Chiyoo,10,16,4,178,149.6,30,0.3333333333333333
Chiyootori,125,138,22,179,178.26315789473685,285,0.43859649122807015
Chiyoshoma,213,252,15,183.4375,126.425,480,0.44375
Chiyotaikai,597,402,115,181.24,156.71466666666666,1114,0.5359066427289049
Chiyotairyu,379,423,46,181.59649122807016,167.16842105263157,848,0.44693396226415094
Chiyotenzan,144,181,20,183.59565217391304,146.95652173913044,345,0.41739130434782606
Chiyozakura,42,63,0,182,105.85714285714286,105,0.4
Daiamami,77,99,4,184.33333333333334,172,180,0.42777777777777776
Daido,87,108,0,187.3846153846154,164,195,0.4461538461538462
Daieisho,326,302,2,180,144.13333333333333,630,0.5174603174603175
Daigo,221,255,4,187.75,130.90625,480,0.46041666666666664
Daihi,12,18,0,185,126,30,0.4
Daihisho,29,31,0,195,175.5,60,0.48333333333333334
Daiju,308,296,26,177.04285714285714,146.92857142857142,630,0.4888888888888889
Daijuyama,431,501,28,181.90625,155.65625,960,0.44895833333333335
Daikiho,3,12,0,182,152,15,0.2
Daikiko,5,10,0,184,160,15,0.3333333333333333
Daikirin,222,144,43,180.54285714285714,136.67857142857142,409,0.5427872860635696
Daimanazuru,2,13,0,188.5,164.5,15,0.13333333333333333
Daimonji,43,62,0,182.14285714285714,102.14285714285714,105,0.4095238095238095
Daio,57,93,0,186.05,97.4,150,0.38
Dairyugawa,162,228,0,178.41538461538462,113.76923076923077,390,0.4153846153846154
Daisetsu,77,103,0,181.75,110.66666666666667,180,0.42777777777777776
Daishi,145,191,9,181.43478260869566,164.47826086956522,345,0.42028985507246375
Daishin,49,69,2,178,114.5,120,0.4083333333333333
Daishoho,274,329,27,186.58333333333334,143.28571428571428,630,0.43492063492063493
Daishomaru,122,148,0,175,153,270,0.45185185185185184
Daishoyama,153,176,1,181.72727272727272,176.9090909090909,330,0.4636363636363636
Daitenryu,22,23,0,181,102,45,0.4888888888888889
Daitetsu,209,256,0,193,125.70967741935483,465,0.44946236559139785
Daiyu,296,349,0,178.5581395348837,113.20930232558139,645,0.45891472868217054
Daizen,235,290,0,188.54,150.74285714285713,525,0.44761904761904764
Dejima,546,478,98,180.27466666666666,158.89466666666667,1122,0.48663101604278075
Dewaarashi,10,17,3,186,186,30,0.3333333333333333
Dewaminato,34,43,13,177,98,90,0.37777777777777777
Dewanishiki,327,327,36,181,143,690,0.47391304347826085
Dewanohana,441,483,36,184.7265625,119.890625,960,0.459375
Enazakura,175,215,0,180.42307692307693,131.69230769230768,390,0.44871794871794873
Endo,396,386,58,183.26785714285714,146.1535714285714,840,0.4714285714285714
Enho,70,80,0,169,95,150,0.4666666666666667
Fujiazuma,105,135,15,181.11764705882354,182.78235294117647,255,0.4117647058823529
Fujihikari,6,9,0,180,131,15,0.4
Fujinishiki,414,466,5,175.05084745762713,135.28813559322035,885,0.46779661016949153
Fujinokawa,268,316,16,181.325,111.05,600,0.44666666666666666
Fujinoshin,87,102,21,180.28571428571428,140.92857142857142,210,0.4142857142857143
Fujizakura,502,582,11,177.96575342465752,133.3013698630137,1095,0.45844748858447487
Fukudayama,100,123,2,181,94,225,0.4444444444444444
Fukunohana,421,466,28,181.5,128.13114754098362,915,0.4601092896174863
Fukunosato,18,27,0,176,85,45,0.4
Fukunoumi,53,67,0,175,108,120,0.44166666666666665
Fusanishiki,352,391,7,176,118,750,0.4693333333333333
Futagodake,376,460,12,178.0859649122807,109.14035087719299,848,0.44339622641509435
Futahaguro,74,33,13,199,151,120,0.6166666666666667
Futasegawa,21,22,2,178,129,45,0.4666666666666667
Futatsuryu,307,405,23,184.76530612244898,136.16326530612244,735,0.41768707482993195
Futeno,231,260,4,180.4848484848485,154.39393939393938,495,0.4666666666666667
Gagamaru,248,307,0,185.48648648648648,203.2054054054054,555,0.44684684684684683
Ganyu,144,195,6,184.52173913043478,171.8913043478261,345,0.41739130434782606
Goeido,575,439,66,182.79166666666666,151.65,1080,0.5324074074074074
Gojoro,113,135,7,190.7058823529412,149.6,255,0.44313725490196076
Hachiya,26,34,0,180.25,107.75,60,0.43333333333333335
Hagurogawa,39,36,30,181,125,105,0.37142857142857144
Hagurohana,156,159,0,181,125,315,0.49523809523809526
Haguroiwa,219,248,13,178.34375,127.78125,480,0.45625
Haguroyama,146,170,29,181,111,345,0.42318840579710143
Hajimayama,87,108,15,176,120,210,0.4142857142857143
Hakuba,55,65,0,186.38888888888889,123.81111111111112,120,0.4583333333333333
Hakuho,1078,199,253,192.25588235294117,149.9862745098039,1530,0.7045751633986929
Hakurozan,97,128,0,189.06666666666666,138.2,225,0.4311111111111111
Hakuryuyama,31,51,8,177,114,90,0.34444444444444444
Hakuyozan,10,5,0,185,145.8,15,0.6666666666666666
Hamanishiki,44,61,0,181,127.42857142857143,105,0.41904761904761906
Hamanoshima,293,367,0,178.54545454545453,125.0909090909091,660,0.44393939393939397
Hanada,27,41,7,179.7,101,75,0.36
Hanahikari,170,205,0,178,126.24,375,0.4533333333333333
Hananokuni,159,189,12,185,144.70833333333334,360,0.44166666666666665
Hananoumi,164,185,41,180.84615384615384,135.19230769230768,390,0.4205128205128205
Hanenishiki,75,85,5,180,135,165,0.45454545454545453
Harumafuji,499,212,84,185.22641509433961,131.87547169811322,795,0.6276729559748427
Harunoyama,16,29,15,188,177,60,0.26666666666666666
Hasegawa,523,502,0,182.81159420289856,123.92753623188406,1025,0.5102439024390244
Hattori,16,14,0,192,138,30,0.5333333333333333
Hayateumi,126,127,77,184.04545454545453,125.2909090909091,330,0.38181818181818183
Hidanohana,153,222,0,181.56,134.88,375,0.408
Hidenoumi,76,104,15,184.46153846153845,156.1076923076923,195,0.38974358974358975
Higonoumi,335,417,43,183.28301886792454,143.21698113207546,795,0.42138364779874216
Hiodoshi,12,22,11,179,120,45,0.26666666666666666
Hiradoumi,41,34,0,177,129,75,0.5466666666666666
Hirakagawa,15,10,20,179,100,45,0.3333333333333333
Hirokawa,218,251,11,177.0625,140.5,480,0.45416666666666666
Hirosegawa,46,50,9,180,105,105,0.4380952380952381
Hitachiryu,12,18,15,179.66666666666666,131,45,0.26666666666666666
Hochiyama,27,63,0,188.83333333333334,146.66666666666666,90,0.3
Hokuseiho,17,13,0,200,164,30,0.5666666666666667
Hokutenyu,513,335,52,182.975,143.21666666666667,900,0.57
Hokutofuji,288,268,14,183.10526315789474,159.47368421052633,570,0.5052631578947369
Hokutoriki,329,383,23,182.33673469387756,149.9326530612245,735,0.44761904761904764
Hokutoumi,306,95,109,181,143.94285714285715,510,0.6
