"","Winner","Loser","WRank","LRank","pl1_flag","pl1_year_pro","pl1_weight","pl1_height","pl1_hand","pl2_flag","pl2_year_pro","pl2_weight","pl2_height","pl2_hand","higher_rank_won","rank_diff","rank_diff_cat","same_handedness"
"1","Shapovalov D.","Djere L.",14,51,"CAN",2016,76,183,"Left-Handed","SRB",2013,80,185,"Right-Handed","Yes",-37,"Medium Difference","No"
"2","Kwon S.W.","Rune H.",54,99,"KOR",2015,72,180,"Right-Handed","DEN",2020,77,188,"Right-Handed","Yes",-45,"Medium Difference","Yes"
"3","Lajovic D.","Fucsovics M.",39,35,"SRB",2007,78,183,"Right-Handed","HUN",2010,82,188,"Right-Handed","No",4,"Low Difference","Yes"
"4","Vukic A.","Harris L.",144,33,"AUS",2018,85,188,"Right-Handed","RSA",2015,80,193,"Right-Handed","No",111,"High Difference","Yes"
"5","Garin C.","Bagnis F.",19,72,"CHI",2013,85,185,"Right-Handed","ARG",2008,82,183,"Left-Handed","Yes",-53,"Medium Difference","No"
"6","Martinez P.","Delbonis F.",61,38,"ESP",2016,76,185,"Right-Handed","ARG",2007,88,191,"Left-Handed","No",23,"Low Difference","No"
"7","Bonzi B.","Gojowczyk P.",63,82,"FRA",2015,82,183,"Right-Handed","GER",2006,83,188,"Right-Handed","Yes",-19,"Low Difference","Yes"
"8","Albot R.","Nishioka Y.",124,119,"MDA",2008,69,175,"Right-Handed","JPN",2014,64,170,"Left-Handed","No",5,"Low Difference","No"
"9","Alcaraz C.","Tabilo A.",31,135,"ESP",2018,72,185,"Right-Handed","CHI",2015,75,188,"Right-Handed","Yes",-104,"High Difference","Yes"
"10","Kozlov S.","Vesely J.",169,78,"USA",2013,79,183,"Right-Handed","CZE",2009,92,198,"Left-Handed","No",91,"High Difference","No"
"11","Monfils G.","Coria F.",20,64,"FRA",2004,80,193,"Right-Handed","ARG",2010,73,180,"Right-Handed","Yes",-44,"Medium Difference","Yes"
"12","Berrettini M.","Nakashima B.",7,68,"ITA",2015,95,196,"Right-Handed","USA",2019,84,185,"Right-Handed","Yes",-61,"Medium Difference","Yes"
"13","Khachanov K.","Kudla D.",30,105,"RUS",2013,88,198,"Right-Handed","USA",2010,75,180,"Right-Handed","Yes",-75,"Medium Difference","Yes"
"14","Mannarino A.","Duckworth J.",69,49,"FRA",2004,70,180,"Left-Handed","AUS",2010,82,183,"Right-Handed","No",20,"Low Difference","No"
"15","Carreno Busta P.","Etcheverry T.",21,131,"ESP",2009,78,188,"Right-Handed","ARG",2015,82,196,"Right-Handed","Yes",-110,"High Difference","Yes"
"16","Bublik A.","Escobedo E.",37,141,"KAZ",2014,76,196,"Right-Handed","USA",2014,82,185,"Right-Handed","Yes",-104,"High Difference","Yes"
"17","Nadal R.","Giron M.",5,66,"ESP",2001,85,185,"Left-Handed","USA",2014,77,180,"Right-Handed","Yes",-61,"Medium Difference","No"
"18","Korda S.","Norrie C.",43,12,"USA",2018,77,196,"Right-Handed","GBR",2017,80,188,"Left-Handed","No",31,"Medium Difference","No"
"19","Hurkacz H.","Gerasimov E.",11,106,"ITA",2013,77,188,"Right-Handed","BLR",2010,84,183,"Right-Handed","Yes",-95,"High Difference","Yes"
"20","Koepfer D.","Taberner C.",53,108,"GER",2016,79,180,"Left-Handed","ESP",2015,78,183,"Right-Handed","Yes",-55,"Medium Difference","No"
"21","Moutet C.","Pouille L.",100,160,"FRA",2016,71,175,"Left-Handed","FRA",2012,81,185,"Right-Handed","Yes",-60,"Medium Difference","No"
"22","Griekspoor T.","Fognini F.",62,32,"NED",2015,85,188,"Right-Handed","ITA",2004,74,178,"Right-Handed","No",30,"Low Difference","Yes"
"23","Mcdonald M.","Milojevic N.",55,139,"USA",2016,73,178,"Right-Handed","SRB",2013,76,188,"Right-Handed","Yes",-84,"High Difference","Yes"
"24","Kecmanovic M.","Caruso S.",77,146,"SRB",2017,75,183,"Right-Handed","ITA",2010,80,185,"Right-Handed","Yes",-69,"Medium Difference","Yes"
"25","Sonego L.","Querrey S.",26,110,"ITA",2013,76,191,"Right-Handed","USA",2006,95,198,"Right-Handed","Yes",-84,"High Difference","Yes"
"26","Hanfmann Y.","Kokkinakis T.",126,103,"GER",2015,84,193,"Right-Handed","AUS",2013,82,196,"Right-Handed","No",23,"Low Difference","Yes"
"27","Opelka R.","Anderson K.",29,97,"USA",2015,100,211,"Right-Handed","RSA",2007,93,203,"Right-Handed","Yes",-68,"Medium Difference","Yes"
"28","Millman J.","Lopez F.",89,109,"AUS",2006,79,183,"Right-Handed","ESP",1997,73,185,"Left-Handed","Yes",-20,"Low Difference","No"
"29","Otte O.","Tseng C.H.",96,190,"GER",2011,79,183,"Right-Handed",NA,NA,NA,NA,NA,"Yes",-94,"High Difference",NA
"30","Karatsev A.","Munar J.",15,71,"RUS",2011,85,185,"Right-Handed","ESP",2014,78,183,"Right-Handed","Yes",-56,"Medium Difference","Yes"
"31","Paul T.","Kukushkin M.",41,180,"USA",2015,78,185,"Right-Handed","KAZ",2006,72,183,"Right-Handed","Yes",-139,"High Difference","Yes"
