"","Round","Winner","Loser","WRank","LRank","pl1_flag","pl1_year_pro","pl1_weight","pl1_height","pl1_hand","pl2_flag","pl2_year_pro","pl2_weight","pl2_height","pl2_hand","rank_diff_cat","higher_rank_won","rank_diff"
"1","Quarterfinals","Nadal R.","Shapovalov D.",5,14,"ESP",2001,85,185,"Left-Handed","CAN",2016,76,183,"Left-Handed","Low Difference","Yes",-9
"2","Quarterfinals","Berrettini M.","Monfils G.",7,20,"ITA",2015,95,196,"Right-Handed","FRA",2004,80,193,"Right-Handed","Low Difference","Yes",-13
"3","Quarterfinals","Tsitsipas S.","Sinner J.",4,10,"GRE",2016,83,193,"Right-Handed","ITA",2018,76,188,"Right-Handed","Low Difference","Yes",-6
"4","Quarterfinals","Medvedev D.","Auger-Aliassime F.",2,9,"RUS",2014,81,198,"Right-Handed","CAN",2016,84,188,"Right-Handed","Low Difference","Yes",-7
"5","Semifinals","Nadal R.","Berrettini M.",5,7,"ESP",2001,85,185,"Left-Handed","ITA",2015,95,196,"Right-Handed","Low Difference","Yes",-2
"6","Semifinals","Medvedev D.","Tsitsipas S.",2,4,"RUS",2014,81,198,"Right-Handed","GRE",2016,83,193,"Right-Handed","Low Difference","Yes",-2
"7","The Final","Nadal R.","Medvedev D.",5,2,"ESP",2001,85,185,"Left-Handed","RUS",2014,81,198,"Right-Handed","Low Difference","No",3
"8","Quarterfinals","Karatsev A.","Dimitrov G.",114,21,"RUS",2011,85,185,"Right-Handed","BUL",2008,80,191,"Right-Handed","High Difference","No",93
"9","Quarterfinals","Djokovic N.","Zverev A.",1,7,"SRB",2003,77,188,"Right-Handed","GER",2013,86,198,"Right-Handed","Low Difference","Yes",-6
"10","Quarterfinals","Medvedev D.","Rublev A.",4,8,"RUS",2014,81,198,"Right-Handed","RUS",2014,68,188,"Right-Handed","Low Difference","Yes",-4
"11","Quarterfinals","Tsitsipas S.","Nadal R.",6,2,"GRE",2016,83,193,"Right-Handed","ESP",2001,85,185,"Left-Handed","Low Difference","No",4
"12","Semifinals","Djokovic N.","Karatsev A.",1,114,"SRB",2003,77,188,"Right-Handed","RUS",2011,85,185,"Right-Handed","High Difference","Yes",-113
"13","Semifinals","Medvedev D.","Tsitsipas S.",4,6,"RUS",2014,81,198,"Right-Handed","GRE",2016,83,193,"Right-Handed","Low Difference","Yes",-2
"14","The Final","Djokovic N.","Medvedev D.",1,4,"SRB",2003,77,188,"Right-Handed","RUS",2014,81,198,"Right-Handed","Low Difference","Yes",-3
"15","Quarterfinals","Federer R.","Sandgren T.",3,100,"SUI",1998,85,185,"Right-Handed","USA",2011,87,188,"Right-Handed","High Difference","Yes",-97
"16","Quarterfinals","Djokovic N.","Raonic M.",2,35,"SRB",2003,77,188,"Right-Handed","CAN",2008,98,196,"Right-Handed","Medium Difference","Yes",-33
"17","Quarterfinals","Zverev A.","Wawrinka S.",7,15,"GER",2013,86,198,"Right-Handed","SUI",2002,81,183,"Right-Handed","Low Difference","Yes",-8
"18","Quarterfinals","Thiem D.","Nadal R.",5,1,"AUT",2011,82,185,"Right-Handed","ESP",2001,85,185,"Left-Handed","Low Difference","No",4
"19","Semifinals","Djokovic N.","Federer R.",2,3,"SRB",2003,77,188,"Right-Handed","SUI",1998,85,185,"Right-Handed","Low Difference","Yes",-1
"20","Semifinals","Thiem D.","Zverev A.",5,7,"AUT",2011,82,185,"Right-Handed","GER",2013,86,198,"Right-Handed","Low Difference","Yes",-2
"21","The Final","Djokovic N.","Thiem D.",2,5,"SRB",2003,77,188,"Right-Handed","AUT",2011,82,185,"Right-Handed","Low Difference","Yes",-3
"22","Quarterfinals","Tsitsipas S.","Bautista Agut R.",15,24,"GRE",2016,83,193,"Right-Handed","ESP",2005,76,183,"Right-Handed","Low Difference","Yes",-9
"23","Quarterfinals","Nadal R.","Tiafoe F.",2,39,"ESP",2001,85,185,"Left-Handed","USA",2015,77,188,"Right-Handed","Medium Difference","Yes",-37
"24","Quarterfinals","Pouille L.","Raonic M.",31,17,"FRA",2012,81,185,"Right-Handed","CAN",2008,98,196,"Right-Handed","Low Difference","No",14
"25","Quarterfinals","Djokovic N.","Nishikori K.",1,9,"SRB",2003,77,188,"Right-Handed","JPN",2007,75,178,"Right-Handed","Low Difference","Yes",-8
"26","Semifinals","Nadal R.","Tsitsipas S.",2,15,"ESP",2001,85,185,"Left-Handed","GRE",2016,83,193,"Right-Handed","Low Difference","Yes",-13
"27","Semifinals","Djokovic N.","Pouille L.",1,31,"SRB",2003,77,188,"Right-Handed","FRA",2012,81,185,"Right-Handed","Low Difference","Yes",-30
"28","The Final","Djokovic N.","Nadal R.",1,2,"SRB",2003,77,188,"Right-Handed","ESP",2001,85,185,"Left-Handed","Low Difference","Yes",-1
"29","Quarterfinals","Edmund K.","Dimitrov G.",49,3,"GBR",2012,83,188,"Right-Handed","BUL",2008,80,191,"Right-Handed","Medium Difference","No",46
"30","Quarterfinals","Cilic M.","Nadal R.",6,1,"CRO",2005,89,198,"Right-Handed","ESP",2001,85,185,"Left-Handed","Low Difference","No",5
