Bib,Name,Country,Gender,Division,Division.Rank,Overall.Time,Overall.Rank,Swim.Time,Swim.Rank,Bike.Time,Bike.Rank,Run.Time,Run.Rank,Finish.Status,Location,Year
1126,Agnes Bureau,Canada,Female,F40-44,59,853.9333333,1207,77.4,974,444.9,1417,312.6833333,1119,Finisher,LakePlacid,2018
314,Agnes Bureau,Canada,Female,F40-44,12,747.25,451,76.1,887,397.1833333,861,259.5333333,289,Finisher,LakePlacid,2019
1085,Andrea Romig,United States,Female,F35-39,72,916.9833333,1588,95.1,1975,470.1333333,1725,334.5,1423,Finisher,LakePlacid,2018
1080,Andrea Romig,United States,Female,F40-44,80,980.3166667,1899,97.45,2071,471.8166667,1866,392.8166667,1902,Finisher,LakePlacid,2019
945,Andrea Steciuk,United States,Female,F25-29,11,786.2666667,707,85.23333333,1505,402.2666667,771,285.35,698,Finisher,LakePlacid,2018
829,Andrea Steciuk,United States,Female,F25-29,16,780.0666667,670,79.56666667,1163,384.8833333,682,306.4333333,873,Finisher,LakePlacid,2019
309,Angela Paternostro-pfister,United States,Female,F40-44,133,1018.966667,2067,107.9333333,2188,499.9333333,2030,393.7833333,1994,Finisher,LakePlacid,2018
110,Angela Paternostro-Pfister,United States,Female,F40-44,63,928.0666667,1632,99.8,2126,423.25,1284,388.8833333,1866,Finisher,LakePlacid,2019
380,Angie Defilippi,United States,Female,F40-44,5,696.25,205,76.28333333,873,394.25,643,216.7333333,79,Finisher,LakePlacid,2018
228,Angie Defilippi,United States,Female,F40-44,3,691.3166667,194,77.5,991,381.4166667,618,224.45,83,Finisher,LakePlacid,2019
1062,Arielle Lane,United States,Female,F35-39,60,886.95,1419,101.3666667,2112,439.4833333,1345,321.4,1254,Finisher,LakePlacid,2018
952,Arielle Lane,United States,Female,F35-39,34,843.1,1109,96.15,2037,421.9333333,1265,306.6333333,878,Finisher,LakePlacid,2019
1467,Beth Poore,United States,Female,F55-59,24,942.8166667,1721,72.75,599,444.95,1419,398.0166667,2013,Finisher,LakePlacid,2018
1330,Beth Poore,United States,Female,F55-59,35,992.2833333,1961,73.03333333,656,476.6,1912,412.3,2012,Finisher,LakePlacid,2019
193,Bridget Freudenberger,United States,Female,F40-44,17,770.2833333,595,82.21666667,1329,413.7333333,942,252.7833333,304,Finisher,LakePlacid,2018
1027,Bridget Freudenberger,United States,Female,F40-44,8,731.9833333,367,75.68333333,861,383.6,666,261,296,Finisher,LakePlacid,2019
1402,Catherine Petroski,United States,Female,F50-54,48,902.55,1514,87.16666667,1609,487.4833333,1926,310.1,1075,Finisher,LakePlacid,2018
735,Catherine Petroski,United States,Female,F50-54,38,869.9166667,1279,82.08333333,1331,449.2,1614,326.7166667,1143,Finisher,LakePlacid,2019
1387,Charlotte Johnson,United States,Female,F50-54,43,885.5833333,1410,78.48333333,1053,486.4166667,1913,299.6333333,920,Finisher,LakePlacid,2018
523,Charlotte Johnson,United States,Female,F50-54,63,990.5166667,1957,86.2,1601,474.5,1895,411.45,2008,Finisher,LakePlacid,2019
1310,Chiemi Muroi,Japan,Female,F45-49,8,752.5166667,465,91.61666667,1836,397.7,711,251.65,298,Finisher,LakePlacid,2018
525,Chiemi Muroi,Japan,Female,F50-54,12,776.7333333,639,96.98333333,2061,398.5,876,270.7833333,399,Finisher,LakePlacid,2019
622,Courtney Montague,United States,Female,F35-39,62,894.7833333,1471,82.45,1345,431.2166667,1220,364.35,1761,Finisher,LakePlacid,2018
963,Courtney Montague,United States,Female,F35-39,47,912.1833333,1548,86.61666667,1627,436.0166667,1449,372.0166667,1686,Finisher,LakePlacid,2019
1257,Dawn Chiaravallo,United States,Female,F45-49,91,970.9833333,1853,78.28333333,1039,474.6333333,1782,399.6333333,2023,Finisher,LakePlacid,2018
1110,Dawn Chiaravallo,United States,Female,F45-49,57,918.0166667,1576,80.55,1233,469.9166667,1851,352.9666667,1489,Finisher,LakePlacid,2019
1498,Debby Goedeke,United States,Female,F65-69,5,991.95,1969,102.0333333,2118,507,2067,359.6333333,1706,Finisher,LakePlacid,2018
1361,Debby Goedeke,United States,Female,F65-69,3,1008.633333,2017,96.83333333,2055,499.6,2072,390.3,1879,Finisher,LakePlacid,2019
