First,Last,Nickname,Stance,W,L,D,height_inches,weight_lbs,reach_inches
Tom,Aaron,NA,NA,5,3,0,NA,155,NA
Danny,Abbadi,The Assassin,Orthodox,4,6,0,71,155,NA
Nariman,Abbasov,Bayraktar,Orthodox,28,4,0,68,155,66
David,Abbott,Tank,Switch,10,15,0,72,265,NA
Hamdy,Abdelwahab,The Hammer,Southpaw,5,0,0,74,264,72
Shamil,Abdurakhimov,Abrek,Orthodox,20,8,0,75,235,76
Hiroyuki,Abe,Abe Ani,Orthodox,8,15,3,66,145,NA
Daichi,Abe,NA,Orthodox,6,2,0,71,170,71
Papy,Abedi,Makambo,Southpaw,10,4,0,71,185,NA
Ricardo,Abreu,Demente,Orthodox,5,1,0,71,185,NA
Klidson,Abreu,White Bear,Orthodox,15,4,0,72,205,74
Cyborg,Abreu,NA,NA,0,0,0,NA,NA,NA
Daniel,Acacio,NA,Orthodox,30,18,0,68,180,NA
John,Adajar,The Outlaw,Orthodox,6,2,0,69,170,75
Scott,Adams,NA,Southpaw,8,1,0,72,225,NA
Juan,Adams,The Kraken,Orthodox,5,3,0,77,265,80
Anthony,Adams,Sugafoot,Orthodox,8,2,0,73,185,76
Zarrukh,Adashev,The Lion,Southpaw,4,4,0,65,125,65
Israel,Adesanya,The Last Stylebender,Switch,24,2,0,76,185,80
Sam,Adkins,The Experience,Orthodox,7,20,2,75,225,NA
Nick,Agallar,NA,Orthodox,24,6,0,68,155,NA
Mariya,Agapova,Demonslayer,Southpaw,10,4,0,66,125,68
Marcelo,Aguiar,NA,Orthodox,2,3,1,70,170,NA
Fabio,Aguiar,NA,NA,17,1,0,72,185,NA
Edwin,Aguilar,Tigre,NA,26,19,0,70,185,NA
Jessica,Aguilar,Jag,Orthodox,20,8,0,63,115,63
Kevin,Aguilar,Angel of Death,Orthodox,17,5,0,67,155,73
Jesus,Aguilar,NA,Orthodox,8,2,0,64,125,62
Christian,Aguilera,The Beast,Switch,14,8,0,69,170,72
Nick,Aguirre,Slick,Southpaw,7,1,0,69,145,74
Mike,Aina,Iron,Orthodox,14,6,1,69,155,NA
Ashiek,Ajim,Peak Physique,Switch,6,2,0,68,135,71
Hitomi,Akano,Girlfight Monster,Southpaw,18,10,0,64,135,NA
Omari,Akhmedov,Wolverine,Orthodox,21,6,1,72,185,73
Yoshihiro,Akiyama,NA,Orthodox,14,6,0,70,170,75
Rostem,Akman,NA,Switch,6,2,0,70,170,72
Razak,Al-Hassan,NA,Orthodox,13,5,0,74,205,NA
Abdul-Kareem,Al-Selwady,Pride of Palestine,NA,14,3,0,NA,155,NA
Mostapha,Al-Turk,NA,Orthodox,6,6,0,74,245,77
Herdem,Alacabek,NA,Orthodox,5,1,0,74,205,75
Javi,Alanis,NA,NA,0,4,0,66,135,NA
NA,Alatengheili,The Mongolian Knight,Orthodox,16,8,2,65,135,66
Amir,Albazi,The Prince,Orthodox,17,1,0,65,125,68
Brett,Albee,NA,NA,3,2,0,NA,225,NA
John,Albert,Prince,Orthodox,6,5,0,68,135,68
Junior,Albini,Baby,Orthodox,14,6,0,75,264,74
Wes,Albritton,NA,Orthodox,0,1,0,70,188,NA
Aleksandra,Albu,Stitch,Orthodox,3,2,0,62,115,63
Israel,Albuquerque,NA,Orthodox,0,3,0,NA,185,NA
Juan,Alcain,NA,NA,1,2,0,NA,NA,NA
Iuri,Alcantara,Marajo,Southpaw,35,10,0,69,135,71
Ildemar,Alcantara,Marajo,Orthodox,21,11,0,74,185,78
Alfonso,Alcarez,NA,NA,1,3,1,63,145,NA
Gilbert,Aldana,El Peligro,Orthodox,6,2,0,73,250,NA
Irene,Aldana,NA,Orthodox,14,7,0,69,135,68
Hector,Aldana,NA,Orthodox,4,3,0,71,170,72
Jose,Alday,Pochito,Orthodox,14,6,1,67,135,68
Jose,Aldo,NA,Orthodox,31,8,0,67,135,70
JJ,Aldrich,NA,Southpaw,11,6,0,65,125,67
Irina,Alekseeva,Russian Ronda,Orthodox,5,1,0,68,135,67
Talita,Alencar,NA,NA,4,0,0,NA,115,NA
Jim,Alers,The Beast,Orthodox,13,3,0,69,145,71
John,Alessio,The Natural,Orthodox,35,17,0,70,155,72
Houston,Alexander,The Assassin,Orthodox,17,15,1,72,205,72
Kenneth,Alexander,The Machine,Orthodox,7,6,0,69,155,NA
Lucas,Alexander,The Lion,Orthodox,8,3,0,71,145,73
Marcio,Alexandre Junior,Lyoto,Southpaw,17,4,0,72,185,75
Olaf,Alfonso,NA,Orthodox,8,12,0,74,170,NA
Pablo,Alfonso,The Hurricane,NA,9,7,0,68,145,NA
Levi,Alford,NA,NA,1,7,0,NA,NA,NA
Bill,Algeo,Senor Perfecto,Switch,17,7,0,72,145,73
Royce,Alger,NA,Orthodox,3,2,0,70,199,NA
Amir,Aliakbari,NA,NA,10,1,0,75,250,NA
Sultan,Aliev,NA,Orthodox,15,3,0,71,170,74
Nurullo,Aliev,Tajik Eagle,Orthodox,9,0,0,70,155,72
Ikram,Aliskerov,NA,Southpaw,14,1,0,72,185,76
Leon,Aliu,The Albanian Lion,Orthodox,10,2,0,72,185,74
John,Allan,NA,Orthodox,13,7,0,73,205,75
George,Allen,NA,Open Stance,13,19,2,74,205,NA
Arnold,Allen,Almighty,Southpaw,19,2,0,68,145,70
Brendan,Allen,All In,Orthodox,22,5,0,74,185,75
Ben,Alloway,Blanco,Orthodox,18,8,0,71,170,76
Assu,Almabayev,Zulfikar,NA,17,2,0,NA,125,NA
Ricardo,Almeida,Big Dog,Orthodox,13,5,0,72,170,74
Magno,Almeida,NA,NA,10,3,0,72,155,NA
Thomas,Almeida,Thominhas,Southpaw,22,5,0,67,145,70
Ericka,Almeida,NA,Orthodox,7,3,0,66,115,NA
Estefani,Almeida,NA,Orthodox,7,3,0,64,125,NA
Jailton,Almeida,Malhadinho,Orthodox,19,2,0,75,205,79
Lucas,Almeida,NA,Orthodox,14,2,0,71,145,71
Cesar,Almeida,Cesinha,NA,3,0,0,NA,185,NA
Mauricio,Alonso,NA,NA,13,7,0,74,170,NA
Sarah,Alpar,Too Sweet,Southpaw,9,6,0,64,135,63
Ali,AlQaisi,The Royal Fighter,Orthodox,8,5,0,66,135,68
Rico,Altamirano,NA,NA,4,3,0,70,170,NA
Victor,Altamirano,El Magnifico,Switch,12,3,0,68,125,70
Mike,Altman,NA,Orthodox,1,4,0,70,185,NA
Patricia,Alujas,El Angel,NA,9,2,0,NA,115,NA
Sean,Alvarez,NA,Orthodox,4,3,0,72,235,NA
Eddie,Alvarez,NA,Orthodox,29,6,0,69,155,69
Jaime,Alvarez,NA,Orthodox,6,1,0,68,125,69
Joel,Alvarez,El Fenomeno,Orthodox,19,3,0,75,155,77
Thiago,Alves,Pitbull,Orthodox,23,15,0,69,170,70
Anthony,Alves,NA,NA,1,4,0,NA,NA,NA
Amilcar,Alves,NA,Southpaw,15,12,0,72,170,NA
Warlley,Alves,NA,Orthodox,15,6,0,71,170,72
Rafael,Alves,The Turn,Orthodox,20,12,0,68,155,68
Sam,Alvey,Smile'N,Southpaw,33,18,1,74,185,75
Andre,Amado,Dida,Orthodox,6,4,1,72,154,NA
Adlan,Amagov,Borz,Orthodox,14,2,1,74,170,76
Maiara,Amanajas dos Santos,NA,Southpaw,7,3,0,65,115,NA
