Team,assists_per_set,,,
Princeton (Ivy League),13.80,,,
UCF (AAC),13.70,,,
UIC (MVC),13.68,,,
Stanford (Pac-12),13.68,,,
Kentucky (SEC),13.67,,,
Texas (Big 12),13.54,,,
Oregon (Pac-12),13.43,,,
Creighton (Big East),13.37,,,
Marquette (Big East),13.34,,,
Texas St. (Sun Belt),13.31,,,
Ohio St. (Big Ten),13.26,,,
Southeastern La. (Southland),13.21,,,
Southern Ill. (MVC),13.18,,,
Western Mich. (MAC),13.05,,,
Rice (C-USA),13.04,,,
Southern California (Pac-12),13.03,,,
Omaha (Summit League),13.02,,,
Pittsburgh (ACC),13.02,,,
Drake (MVC),12.99,,,
San Diego (WCC),12.97,,,
BYU (Big 12),12.96,,,
San Jose St. (Mountain West),12.95,,,
Northern Colo. (Big Sky),12.92,,,
Lipscomb (ASUN),12.91,,,
Towson (CAA),12.89,,,
UNI (MVC),12.88,,,
St. John's (NY) (Big East),12.86,,,
A&M-Corpus Christi (Southland),12.84,,,
Ohio (MAC),12.84,,,
Georgia Tech (ACC),12.83,,,
Washington (Pac-12),12.83,,,
SMU (AAC),12.82,,,
Liberty (ASUN),12.81,,,
Houston (AAC),12.81,,,
Hawaii (Big West),12.79,,,
Loyola Maryland (Patriot),12.77,,,
UCLA (Pac-12),12.75,,,
Arkansas (SEC),12.74,,,
North Dakota St. (Summit League),12.72,,,
SFA (WAC),12.71,,,
Northwestern (Big Ten),12.71,,,
FGCU (ASUN),12.69,,,
UNLV (Mountain West),12.66,,,
Ball St. (MAC),12.66,,,
Jacksonville St. (ASUN),12.65,,,
Loyola Chicago (Atlantic 10),12.62,,,
Yale (Ivy League),12.60,,,
Western Ky. (C-USA),12.59,,,
Bowling Green (MAC),12.59,,,
Wright St. (Horizon),12.59,,,
UTRGV (WAC),12.59,,,
Fla. Atlantic (C-USA),12.58,,,
Houston Christian (Southland),12.56,,,
Utah St. (Mountain West),12.52,,,
UC Irvine (Big West),12.52,,,
Michigan (Big Ten),12.51,,,
Green Bay (Horizon),12.50,,,
Portland St. (Big Sky),12.47,,,
Pepperdine (WCC),12.45,,,
Buffalo (MAC),12.45,,,
Long Beach St. (Big West),12.38,,,
South Dakota (Summit League),12.38,,,
UC Santa Barbara (Big West),12.34,,,
Florida (SEC),12.34,,,
NIU (MAC),12.33,,,
Ole Miss (SEC),12.32,,,
Wisconsin (Big Ten),12.32,,,
Baylor (Big 12),12.31,,,
Army West Point (Patriot),12.30,,,
South Alabama (Sun Belt),12.29,,,
Washington St. (Pac-12),12.27,,,
Mississippi St. (SEC),12.27,,,
Samford (SoCon),12.26,,,
Boston College (ACC),12.25,,,
Troy (Sun Belt),12.24,,,
Penn St. (Big Ten),12.22,,,
Kennesaw St. (ASUN),12.22,,,
Nebraska (Big Ten),12.21,,,
Toledo (MAC),12.21,,,
Campbell (Big South),12.18,,,
Valparaiso (MVC),12.18,,,
Texas A&M (SEC),12.17,,,
Grand Canyon (WAC),12.15,,,
Tennessee (SEC),12.14,,,
Southern Miss. (Sun Belt),12.13,,,
Navy (Patriot),12.13,,,
Minnesota (Big Ten),12.12,,,
Denver (Summit League),12.09,,,
James Madison (Sun Belt),12.08,,,
Utah (Pac-12),12.07,,,
UConn (Big East),12.06,,,
Duke (ACC),12.06,,,
Sacred Heart (NEC),12.05,,,
DePaul (Big East),12.04,,,
Clemson (ACC),12.02,,,
Morehead St. (OVC),12.02,,,
Murray St. (MVC),12.02,,,
Louisville (ACC),12.02,,,
Delaware (CAA),12.01,,,
Illinois (Big Ten),12.01,,,
Texas Tech (Big 12),12.01,,,
Xavier (Big East),12.00,,,
Eastern Ill. (OVC),11.99,,,
New Mexico St. (WAC),11.99,,,
Colorado (Pac-12),11.98,,,
Utah Valley (WAC),11.98,,,
Georgia (SEC),11.98,,,
Cal Poly (Big West),11.97,,,
TCU (Big 12),11.97,,,
Marist (MAAC),11.97,,,
South Dakota St. (Summit League),11.95,,,
Saint Francis (PA) (NEC),11.95,,,
Evansville (MVC),11.95,,,
Davidson (Atlantic 10),11.94,,,
Illinois St. (MVC),11.94,,,
UAB (C-USA),11.93,,,
Dartmouth (Ivy League),11.93,,,
Wofford (SoCon),11.92,,,
Colgate (Patriot),11.92,,,
Howard (MEAC),11.91,,,
ETSU (SoCon),11.89,,,
San Diego St. (Mountain West),11.87,,,
Miami (FL) (ACC),11.87,,,
North Texas (C-USA),11.86,,,
Florida A&M (SWAC),11.86,,,
LMU (CA) (WCC),11.86,,,
UMBC (America East),11.85,,,
Pacific (WCC),11.85,,,
Wake Forest (ACC),11.85,,,
Youngstown St. (Horizon),11.85,,,
Oklahoma (Big 12),11.85,,,
Tulsa (AAC),11.83,,,
Kent St. (MAC),11.82,,,
Hofstra (CAA),11.81,,,
Northern Ky. (Horizon),11.80,,,
Charleston So. (Big South),11.78,,,
High Point (Big South),11.78,,,
Iowa St. (Big 12),11.77,,,
Purdue (Big Ten),11.77,,,
Austin Peay (ASUN),11.75,,,
Boise St. (Mountain West),11.75,,,
Purdue Fort Wayne (Horizon),11.73,,,
LSU (SEC),11.71,,,
Montana (Big Sky),11.71,,,
Stetson (ASUN),11.70,,,
Jackson St. (SWAC),11.69,,,
Central Mich. (MAC),11.67,,,
Brown (Ivy League),11.66,,,
Southeast Mo. St. (OVC),11.65,,,
Colorado St. (Mountain West),11.64,,,
Winthrop (Big South),11.63,,,
Charlotte (C-USA),11.62,,,
William & Mary (CAA),11.62,,,
Saint Louis (Atlantic 10),11.61,,,
Col. of Charleston (CAA),11.60,,,
Dayton (Atlantic 10),11.59,,,
Iona (MAAC),11.59,,,
Milwaukee (Horizon),11.58,,,
Kansas (Big 12),11.58,,,
Stony Brook (CAA),11.57,,,
