Team,digs_per_set,,,
McNeese (Southland),18.53,,,
Tulsa (AAC),18.27,,,
Iona (MAAC),17.72,,,
Loyola Maryland (Patriot),17.67,,,
Ball St. (MAC),17.51,,,
NIU (MAC),17.39,,,
Wright St. (Horizon),17.33,,,
Bucknell (Patriot),17.32,,,
Oakland (Horizon),17.31,,,
Valparaiso (MVC),17.27,,,
Houston Christian (Southland),17.24,,,
Southeast Mo. St. (OVC),17.09,,,
New Orleans (Southland),17.04,,,
Army West Point (Patriot),16.90,,,
Chattanooga (SoCon),16.88,,,
Central Mich. (MAC),16.86,,,
Rice (C-USA),16.78,,,
Stetson (ASUN),16.65,,,
VCU (Atlantic 10),16.61,,,
SFA (WAC),16.61,,,
Niagara (MAAC),16.58,,,
Creighton (Big East),16.57,,,
Indiana St. (MVC),16.53,,,
Ohio (MAC),16.53,,,
Memphis (AAC),16.44,,,
Northwestern St. (Southland),16.42,,,
Drake (MVC),16.40,,,
North Ala. (ASUN),16.34,,,
The Citadel (SoCon),16.32,,,
Grambling (SWAC),16.30,,,
Princeton (Ivy League),16.28,,,
Western Mich. (MAC),16.24,,,
Xavier (Big East),16.22,,,
Weber St. (Big Sky),16.22,,,
Cleveland St. (Horizon),16.18,,,
Southeastern La. (Southland),16.15,,,
South Dakota (Summit League),16.15,,,
Green Bay (Horizon),16.07,,,
South Dakota St. (Summit League),16.02,,,
Campbell (Big South),16.02,,,
UC Irvine (Big West),16.01,,,
Eastern Ky. (ASUN),16.01,,,
Kent St. (MAC),16.00,,,
Radford (Big South),16.00,,,
SMU (AAC),16.00,,,
Providence (Big East),15.99,,,
High Point (Big South),15.97,,,
Canisius (MAAC),15.93,,,
Butler (Big East),15.92,,,
Oral Roberts (Summit League),15.88,,,
Winthrop (Big South),15.83,,,
Mississippi St. (SEC),15.81,,,
Nebraska (Big Ten),15.79,,,
Fordham (Atlantic 10),15.79,,,
Western Ill. (Summit League),15.77,,,
South Alabama (Sun Belt),15.73,,,
Marquette (Big East),15.70,,,
Missouri St. (MVC),15.69,,,
Kansas City (Summit League),15.67,,,
Tulane (AAC),15.65,,,
Wofford (SoCon),15.65,,,
DePaul (Big East),15.64,,,
Purdue Fort Wayne (Horizon),15.64,,,
New Mexico (Mountain West),15.64,,,
Northern Ky. (Horizon),15.61,,,
Tennessee St. (OVC),15.60,,,
Furman (SoCon),15.60,,,
Ohio St. (Big Ten),15.59,,,
Bradley (MVC),15.57,,,
North Dakota St. (Summit League),15.56,,,
Delaware (CAA),15.55,,,
Bowling Green (MAC),15.51,,,
Nevada (Mountain West),15.48,,,
American (Patriot),15.46,,,
Montana (Big Sky),15.44,,,
Dartmouth (Ivy League),15.44,,,
UTRGV (WAC),15.41,,,
Austin Peay (ASUN),15.40,,,
Samford (SoCon),15.39,,,
LSU (SEC),15.38,,,
Cal St. Fullerton (Big West),15.37,,,
Davidson (Atlantic 10),15.37,,,
NC State (ACC),15.36,,,
Portland St. (Big Sky),15.36,,,
A&M-Corpus Christi (Southland),15.32,,,
UNC Greensboro (SoCon),15.31,,,
Ga. Southern (Sun Belt),15.30,,,
Siena (MAAC),15.30,,,
Toledo (MAC),15.30,,,
Wichita St. (AAC),15.30,,,
Yale (Ivy League),15.29,,,
Western Caro. (SoCon),15.29,,,
Morehead St. (OVC),15.27,,,
Illinois St. (MVC),15.25,,,
UC Riverside (Big West),15.24,,,
Elon (CAA),15.20,,,
Southern Miss. (Sun Belt),15.18,,,
UAB (C-USA),15.18,,,
Houston (AAC),15.17,,,
Southern Ill. (MVC),15.17,,,
UT Martin (OVC),15.16,,,
Murray St. (MVC),15.15,,,
Marshall (Sun Belt),15.11,,,
UNC Asheville (Big South),15.11,,,
USC Upstate (Big South),15.07,,,
Nicholls (Southland),15.06,,,
Col. of Charleston (CAA),15.06,,,
Charleston So. (Big South),15.02,,,
Abilene Christian (WAC),15.01,,,
SIUE (OVC),14.99,,,
Buffalo (MAC),14.95,,,
Arkansas (SEC),14.94,,,
Marist (MAAC),14.93,,,
Idaho St. (Big Sky),14.93,,,
New Mexico St. (WAC),14.92,,,
Texas Tech (Big 12),14.91,,,
Sam Houston (WAC),14.91,,,
UT Arlington (WAC),14.90,,,
ULM (Sun Belt),14.86,,,
Central Ark. (ASUN),14.85,,,
UCLA (Pac-12),14.85,,,
Central Conn. St. (NEC),14.85,,,
Florida A&M (SWAC),14.79,,,
UTSA (C-USA),14.78,,,
Chicago St. (DI Independent),14.77,,,
Rider (MAAC),14.76,,,
ETSU (SoCon),14.76,,,
Gardner-Webb (Big South),14.75,,,
UIW (Southland),14.75,,,
Loyola Chicago (Atlantic 10),14.74,,,
Georgia St. (Sun Belt),14.74,,,
Grand Canyon (WAC),14.74,,,
Quinnipiac (MAAC),14.73,,,
Omaha (Summit League),14.72,,,
Northern Ariz. (Big Sky),14.70,,,
Fairfield (MAAC),14.69,,,
North Dakota (Summit League),14.68,,,
UConn (Big East),14.65,,,
IUPUI (Horizon),14.64,,,
Eastern Ill. (OVC),14.63,,,
Denver (Summit League),14.62,,,
FIU (C-USA),14.61,,,
Presbyterian (Big South),14.60,,,
Texas St. (Sun Belt),14.56,,,
Louisiana Tech (C-USA),14.56,,,
Duquesne (Atlantic 10),14.55,,,
Jacksonville (ASUN),14.55,,,
Colorado (Pac-12),14.54,,,
UNI (MVC),14.54,,,
Notre Dame (ACC),14.54,,,
Kennesaw St. (ASUN),14.52,,,
Northwestern (Big Ten),14.51,,,
Georgia Tech (ACC),14.50,,,
Wake Forest (ACC),14.50,,,
William & Mary (CAA),14.50,,,
Youngstown St. (Horizon),14.49,,,
Saint Francis (PA) (NEC),14.49,,,
Montana St. (Big Sky),14.47,,,
Utah (Pac-12),14.45,,,
Lamar University (Southland),14.43,,,
Long Beach St. (Big West),14.43,,,
New Hampshire (America East),14.43,,,
Louisiana (Sun Belt),14.43,,,
Holy Cross (Patriot),14.40,,,
Southern Utah (WAC),14.38,,,
Missouri (SEC),14.34,,,
UCF (AAC),14.33,,,
App State (Sun Belt),14.32,,,
Pepperdine (WCC),14.32,,,
Cal Poly (Big West),14.31,,,
Arkansas St. (Sun Belt),14.31,,,
UNLV (Mountain West),14.30,,,
Hawaii (Big West),14.29,,,
Kansas St. (Big 12),14.28,,,
Bryant (America East),14.27,,,
Saint Louis (Atlantic 10),14.27,,,
Little Rock (OVC),14.25,,,
LIU (NEC),14.25,,,
George Washington (Atlantic 10),14.23,,,
California Baptist (WAC),14.22,,,
Coppin St. (MEAC),14.22,,,
Northern Colo. (Big Sky),14.22,,,
Robert Morris (Horizon),14.21,,,
Purdue (Big Ten),14.20,,,
Colgate (Patriot),14.19,,,
Clemson (ACC),14.17,,,
St. Francis Brooklyn (NEC),14.17,,,
Jackson St. (SWAC),14.15,,,
Michigan (Big Ten),14.15,,,
Jacksonville St. (ASUN),14.13,,,
Kansas (Big 12),14.11,,,
Seattle U (WAC),14.10,,,
Stony Brook (CAA),14.08,,,
UC Davis (Big West),14.05,,,
CSUN (Big West),14.05,,,
Prairie View (SWAC),14.04,,,
UC Santa Barbara (Big West),14.03,,,
Binghamton (America East),14.01,,,
Ark.-Pine Bluff (SWAC),13.99,,,
Oregon (Pac-12),13.98,,,
Tennessee Tech (OVC),13.98,,,
Georgetown (Big East),13.98,,,
FGCU (ASUN),13.96,,,
Seton Hall (Big East),13.95,,,
Tennessee (SEC),13.93,,,
Texas Southern (SWAC),13.93,,,
UIC (MVC),13.88,,,
Oregon St. (Pac-12),13.88,,,
Akron (MAC),13.87,,,
Penn (Ivy League),13.87,,,
Villanova (Big East),13.86,,,
North Carolina (ACC),13.86,,,
Milwaukee (Horizon),13.86,,,
Pacific (WCC),13.85,,,
Liberty (ASUN),13.83,,,
Arizona (Pac-12),13.81,,,
Duke (ACC),13.78,,,
Kentucky (SEC),13.78,,,
Cincinnati (AAC),13.75,,,
North Florida (ASUN),13.74,,,
Alabama (SEC),13.72,,,
Iowa (Big Ten),13.72,,,
Sacramento St. (Big Sky),13.72,,,
Hofstra (CAA),13.70,,,
Arizona St. (Pac-12),13.70,,,
Iowa St. (Big 12),13.69,,,
Wisconsin (Big Ten),13.66,,,
Sacred Heart (NEC),13.64,,,
Dayton (Atlantic 10),13.62,,,
Fla. Atlantic (C-USA),13.60,,,
Brown (Ivy League),13.60,,,
Lafayette (Patriot),13.60,,,
BYU (WCC),13.57,,,
Stanford (Pac-12),13.54,,,
Troy (Sun Belt),13.51,,,
Florida St. (ACC),13.50,,,
East Carolina (AAC),13.50,,,
UMBC (America East),13.48,,,
Utah St. (Mountain West),13.45,,,
Temple (AAC),13.44,,,
California (Pac-12),13.44,,,
Texas (Big 12),13.43,,,
Coastal Carolina (Sun Belt),13.42,,,
Texas A&M (SEC),13.41,,,
James Madison (Sun Belt),13.39,,,
Pittsburgh (ACC),13.39,,,
Belmont (MVC),13.36,,,
Oklahoma (Big 12),13.36,,,
Maryland (Big Ten),13.34,,,
UNCW (CAA),13.33,,,
Lehigh (Patriot),13.33,,,
Eastern Wash. (Big Sky),13.31,,,
George Mason (Atlantic 10),13.31,,,
South Fla. (AAC),13.29,,,
UAlbany (America East),13.28,,,
N.C. A&T (CAA),13.27,,,
Gonzaga (WCC),13.26,,,
San Diego (WCC),13.25,,,
NJIT (America East),13.25,,,
Boston College (ACC),13.25,,,
Minnesota (Big Ten),13.25,,,
Eastern Mich. (MAC),13.22,,,
Lipscomb (ASUN),13.21,,,
Virginia Tech (ACC),13.21,,,
Howard (MEAC),13.20,,,
FDU (NEC),13.17,,,
San Jose St. (Mountain West),13.15,,,
Towson (CAA),13.15,,,
Miami (OH) (MAC),13.14,,,
