Team,kills_per_set,,,
Kentucky (SEC),14.75,,,
Princeton (Ivy League),14.74,,,
UIC (MVC),14.67,,,
Stanford (Pac-12),14.67,,,
UCF (AAC),14.65,,,
Texas (Big 12),14.43,,,
Marquette (Big East),14.41,,,
Creighton (Big East),14.39,,,
Oregon (Pac-12),14.24,,,
Ohio St. (Big Ten),14.15,,,
Rice (C-USA),14.15,,,
Texas St. (Sun Belt),14.13,,,
UNI (MVC),14.11,,,
Southern Ill. (MVC),14.11,,,
Southeastern La. (Southland),14.04,,,
SFA (WAC),14.02,,,
BYU (Big 12),14.01,,,
Pittsburgh (ACC),14.00,,,
A&M-Corpus Christi (Southland),13.98,,,
Western Mich. (MAC),13.95,,,
Omaha (Summit League),13.91,,,
Southern California (Pac-12),13.90,,,
Yale (Ivy League),13.90,,,
San Jose St. (Mountain West),13.89,,,
Hawaii (Big West),13.89,,,
Northern Colo. (Big Sky),13.86,,,
Liberty (ASUN),13.85,,,
Houston (AAC),13.85,,,
North Dakota St. (Summit League),13.85,,,
Drake (MVC),13.84,,,
UNLV (Mountain West),13.83,,,
SMU (AAC),13.82,,,
Towson (CAA),13.79,,,
Georgia Tech (ACC),13.78,,,
Houston Christian (Southland),13.75,,,
Ohio (MAC),13.74,,,
Washington (Pac-12),13.73,,,
Loyola Chicago (Atlantic 10),13.73,,,
Samford (SoCon),13.70,,,
San Diego (WCC),13.70,,,
Ball St. (MAC),13.69,,,
Loyola Maryland (Patriot),13.65,,,
St. John's (NY) (Big East),13.65,,,
Arkansas (SEC),13.63,,,
Lipscomb (ASUN),13.63,,,
NIU (MAC),13.62,,,
UCLA (Pac-12),13.61,,,
Western Ky. (C-USA),13.60,,,
Ole Miss (SEC),13.59,,,
Buffalo (MAC),13.59,,,
Jacksonville St. (ASUN),13.58,,,
Northwestern (Big Ten),13.58,,,
UTRGV (WAC),13.54,,,
Baylor (Big 12),13.51,,,
Army West Point (Patriot),13.50,,,
Michigan (Big Ten),13.49,,,
FGCU (ASUN),13.47,,,
Bowling Green (MAC),13.44,,,
Southern Miss. (Sun Belt),13.43,,,
Washington St. (Pac-12),13.42,,,
Kennesaw St. (ASUN),13.42,,,
Wright St. (Horizon),13.41,,,
Nebraska (Big Ten),13.40,,,
UC Irvine (Big West),13.39,,,
Tennessee (SEC),13.39,,,
Portland St. (Big Sky),13.36,,,
Long Beach St. (Big West),13.36,,,
Utah St. (Mountain West),13.35,,,
Pepperdine (WCC),13.35,,,
High Point (Big South),13.32,,,
Toledo (MAC),13.30,,,
Green Bay (Horizon),13.30,,,
South Alabama (Sun Belt),13.28,,,
Fla. Atlantic (C-USA),13.27,,,
