team,region,aces_per_set,assists_per_set,blocks_per_set,digs_per_set,hitting_pctg,kills_per_set,match_w_l_pctg,opp_hitting_pctg,team_attacks_per_set,team_service_aces
UTEP,South,1.98,11.46,2.39,12.59,0.226,12.24,0.567,0.175,31.53,240
Western Ky.,South,1.9,12.59,2.56,12.48,0.318,13.6,0.879,0.185,31.05,211
Middle Tenn.,South,1.9,11.19,2,12.62,0.253,12.22,0.517,0.228,30.54,203
Alabama St.,South,1.85,10.69,2.02,12.87,0.212,11.59,0.571,0.186,30.6,230
Ga. Southern,South,1.84,11.28,2.03,15.3,0.21,12.13,0.571,0.176,34.55,188
Fla. Atlantic,South,1.82,12.58,1.95,13.6,0.226,13.27,0.5,0.213,34.91,173
Lamar University,South,1.79,11.12,2.06,14.43,0.184,12.14,0.31,0.217,36.11,202
Texas,South,1.75,13.54,2.5,13.43,0.336,14.43,0.966,0.163,31.34,175
App State,South,1.71,11.24,2.03,14.32,0.226,12.09,0.643,0.187,34.03,195
Southern Miss.,South,1.69,12.13,1.68,15.18,0.23,13.43,0.636,0.223,36.43,215
Jacksonville St.,South,1.69,12.65,1.85,14.13,0.287,13.58,0.8,0.187,32.4,186
Central Ark.,South,1.68,11.53,1.63,14.85,0.202,12.5,0.633,0.216,34.78,195
Grambling,South,1.67,10.93,1.83,16.3,0.166,11.98,0.556,0.144,36.72,169
SFA,South,1.66,12.71,2.15,16.61,0.247,14.02,0.839,0.177,37.47,188
Kansas St.,South,1.66,11.44,2.59,14.28,0.208,12.39,0.517,0.195,35.27,183
Southeastern La.,South,1.64,13.21,2.01,16.15,0.229,14.04,0.758,0.197,37.91,194
UAB,South,1.63,11.93,1.95,15.18,0.22,12.83,0.444,0.212,34.93,171
Georgia St.,South,1.61,10.89,2.32,14.74,0.19,11.76,0.241,0.21,34.48,177
UT Martin,South,1.59,11.55,2.03,15.16,0.209,12.77,0.657,0.187,36.31,210
Texas Southern,South,1.54,8.28,1.42,13.93,0.109,9.24,0.321,0.203,33.93,156
Alcorn,South,1.54,8.01,1.16,11.28,0.096,8.77,0.172,0.251,30.05,151
Old Dominion,South,1.53,11.1,2.26,13.05,0.222,12.03,0.429,0.222,32.3,162
Louisiana Tech,South,1.52,10.17,2.06,14.56,0.164,11.17,0.379,0.216,35.33,160
Ark.-Pine Bluff,South,1.52,9.79,1.65,13.99,0.151,10.78,0.29,0.189,34.29,175
Troy,South,1.51,12.24,1.69,13.51,0.218,13.12,0.581,0.214,34.05,186
Jackson St.,South,1.51,11.69,1.51,14.15,0.211,12.52,0.433,0.2,33.67,148
Eastern Ill.,South,1.51,11.99,1.58,14.63,0.182,12.91,0.5,0.207,35.95,181
Coastal Carolina,South,1.49,11.56,2.19,13.42,0.235,12.54,0.567,0.205,33.03,170
Oklahoma,South,1.47,11.85,2.43,13.36,0.249,12.67,0.536,0.211,32.64,153
Austin Peay,South,1.47,11.75,1.99,15.4,0.209,12.67,0.444,0.228,34.56,154
New Orleans,South,1.46,10.53,1.93,17.04,0.173,11.31,0.484,0.188,36.49,174
Texas St.,South,1.46,13.31,1.98,14.56,0.291,14.13,0.774,0.215,33.38,174
Murray St.,South,1.44,12.02,1.65,15.15,0.193,13.04,0.414,0.223,35.94,164
UT Arlington,South,1.42,11.04,2.42,14.9,0.217,12.28,0.63,0.19,34.18,155
A&M-Corpus Christi,South,1.41,12.84,1.46,15.32,0.226,13.98,0.394,0.229,36.74,171
Arkansas St.,South,1.39,11.07,1.63,14.31,0.186,11.95,0.29,0.225,34.63,164
Belmont,South,1.37,10.97,1.81,13.36,0.191,11.78,0.258,0.253,33.83,162
South Alabama,South,1.37,12.29,2.5,15.73,0.238,13.28,0.581,0.187,36.28,162
Nicholls,South,1.37,11.31,2.19,15.06,0.186,12.18,0.233,0.231,36.41,155
West Virginia,South,1.35,10.2,2.14,12.92,0.127,11.09,0.241,0.204,33.71,143
Baylor,South,1.34,12.31,2.54,13.09,0.258,13.51,0.781,0.186,33.09,157
Tennessee Tech,South,1.34,11.49,2.03,13.98,0.194,12.14,0.548,0.202,33.86,158
North Texas,South,1.33,11.86,2.4,12.83,0.213,12.64,0.516,0.208,32.67,154
SIUE,South,1.32,11.46,1.94,14.99,0.182,12.26,0.433,0.208,36.06,155
Louisiana,South,1.32,11.5,2.27,14.43,0.209,12.25,0.536,0.198,34.78,147
Iowa St.,South,1.32,11.77,2.41,13.69,0.212,12.59,0.625,0.204,34.48,169
Charlotte,South,1.31,11.62,2.31,12.68,0.248,12.46,0.407,0.253,32.26,134
Rice,South,1.31,13.04,1.86,16.78,0.281,14.15,0.871,0.173,35.35,155
Southeast Mo. St.,South,1.31,11.65,2.23,17.09,0.19,12.49,0.515,0.186,37.44,172
Northwestern St.,South,1.3,10.11,2.32,16.42,0.169,11.19,0.594,0.175,35.95,173
FIU,South,1.3,11.01,1.65,14.61,0.173,11.99,0.276,0.246,34.7,140
Houston Christian,South,1.29,12.56,2.09,17.24,0.232,13.75,0.676,0.18,37.33,162
Abilene Christian,South,1.28,11.47,1.56,15.01,0.179,12.27,0.269,0.229,35.68,132
Tennessee St.,South,1.28,11.29,2.43,15.6,0.185,12.38,0.543,0.177,35.6,174
Alabama A&M,South,1.27,8.59,1.41,11.76,0.123,9.36,0.212,0.247,29.78,141
Texas Tech,South,1.26,12.01,2.37,14.91,0.229,12.99,0.552,0.206,34.78,139
Kansas,South,1.25,11.58,2.65,14.11,0.247,12.56,0.633,0.181,33.02,139
TCU,South,1.24,11.97,2.11,12.65,0.216,12.99,0.607,0.215,33.66,138
Prairie View,South,1.24,9.81,1.36,14.04,0.134,10.67,0.25,0.21,33.02,144
UTSA,South,1.23,10.89,1.75,14.78,0.189,11.78,0.308,0.238,34.15,123
ULM,South,1.21,10.45,1.39,14.86,0.176,11.25,0.219,0.24,36.61,148
Little Rock,South,1.2,10.08,2.33,14.25,0.139,10.77,0.226,0.203,34.84,140
UIW,South,1.2,11.21,1.75,14.75,0.176,11.74,0.207,0.225,35.14,128
McNeese,South,1.19,11.24,2.3,18.53,0.183,12.28,0.529,0.186,38.6,156
Mississippi Val.,South,1.12,4.95,0.6,10.3,NA,5.55,0.04,0.283,26.85,90
Sam Houston,South,1.12,10.71,1.98,14.91,0.165,11.53,0.286,0.234,35.6,120
Southern U.,South,1.12,7.96,2.02,12.23,0.098,8.96,0.107,0.203,31.23,113
Morehead St.,South,1.11,12.02,1.92,15.27,0.196,12.96,0.467,0.21,36.39,119
Eastern Ky.,South,1.08,11.26,1.81,16.01,0.19,12.32,0.5,0.192,37.24,122
Marshall,South,1.01,11.18,2.13,15.11,0.217,12.18,0.333,0.242,33.64,115
Delaware St.,Southeast,2.2,11.45,2.17,12.58,0.25,12.12,0.774,0.137,29.98,246
Coppin St.,Southeast,2.15,10.56,1.81,14.22,0.194,11.54,0.676,0.17,32.52,286
Samford,Southeast,1.93,12.26,1.73,15.39,0.227,13.7,0.594,0.202,37.03,226
Lipscomb,Southeast,1.91,12.91,1.85,13.21,0.238,13.63,0.552,0.23,35.55,197
Howard,Southeast,1.91,11.91,1.73,13.2,0.255,13.01,0.667,0.179,31.61,202
Alabama,Southeast,1.88,11.28,2.19,13.72,0.169,12.32,0.333,0.222,36.34,207
FGCU,Southeast,1.85,12.69,2.06,13.96,0.263,13.47,0.788,0.172,32.97,211
Mercer,Southeast,1.78,10.71,1.64,12.26,0.206,11.95,0.345,0.238,32.46,187
Georgia,Southeast,1.77,11.98,2.64,12.32,0.236,12.88,0.742,0.187,32.54,212
Kennesaw St.,Southeast,1.74,12.22,2.04,14.52,0.246,13.42,0.643,0.217,35.05,176
Florida A&M,Southeast,1.72,11.86,1.74,14.79,0.222,12.85,0.618,0.175,33.68,208
N.C. Central,Southeast,1.71,8.73,1.34,12.33,0.147,9.52,0.269,0.243,30.93,157
Norfolk St.,Southeast,1.7,9.37,1.8,12.42,0.158,10.17,0.28,0.207,31.36,156
Presbyterian,Southeast,1.69,10.59,1.47,14.6,0.164,11.51,0.321,0.229,35.39,179
Kentucky,Southeast,1.67,13.67,2.6,13.78,0.285,14.75,0.733,0.21,35.29,177
Western Caro.,Southeast,1.63,11.56,2.33,15.29,0.221,12.7,0.606,0.193,35.69,199
Florida,Southeast,1.58,12.34,2.73,12.5,0.272,13.27,0.806,0.158,30.66,179
Jacksonville,Southeast,1.57,10.88,2.45,14.55,0.206,11.59,0.393,0.208,34.47,165
Houston,Southeast,1.55,12.81,2.11,15.17,0.249,13.85,0.882,0.174,36.02,197
ETSU,Southeast,1.52,11.89,2.23,14.76,0.219,12.79,0.724,0.187,34.63,163
The Citadel,Southeast,1.52,11.29,1.61,16.32,0.184,12.54,0.367,0.21,36.56,170
SMU,Southeast,1.52,12.82,2.26,16,0.243,13.82,0.688,0.182,36.77,176
Wofford,Southeast,1.51,11.92,2.23,15.65,0.226,13.01,0.552,0.182,35.67,171
Auburn,Southeast,1.51,11.42,2.56,13.02,0.235,12.34,0.71,0.2,32.24,184
Liberty,Southeast,1.5,12.81,2.49,13.83,0.243,13.85,0.719,0.171,34.04,185
N.C. A&T,Southeast,1.49,10.49,2.02,13.27,0.173,11.21,0.346,0.206,32.52,153
Winthrop,Southeast,1.48,11.63,2.25,15.83,0.203,12.69,0.571,0.175,36.46,149
Campbell,Southeast,1.47,12.18,2.42,16.02,0.218,13,0.633,0.161,35.97,171
Chattanooga,Southeast,1.47,10.85,2.15,16.88,0.201,12.07,0.515,0.213,36.09,189
UCF,Southeast,1.46,13.7,2.49,14.33,0.315,14.65,0.933,0.163,32.72,152
Stetson,Southeast,1.45,11.7,1.87,16.65,0.219,12.52,0.517,0.205,35.24,155
Charleston So.,Southeast,1.44,11.78,1.6,15.02,0.209,12.63,0.484,0.211,34.86,179
High Point,Southeast,1.43,11.78,1.81,15.97,0.238,13.32,0.697,0.184,35.09,166
UNC Greensboro,Southeast,1.43,10.47,1.84,15.31,0.154,11.45,0.333,0.21,35.05,147
Cincinnati,Southeast,1.42,11.54,1.94,13.75,0.208,12.13,0.367,0.243,33.92,159
UMES,Southeast,1.41,10.09,1.69,12.58,0.178,11.09,0.333,0.191,30.87,141
East Carolina,Southeast,1.39,10.69,2.2,13.5,0.204,11.61,0.375,0.237,33.54,171
South Fla.,Southeast,1.38,11.44,1.92,13.29,0.197,12.45,0.333,0.226,34.34,160
Arkansas,Southeast,1.38,12.74,2.61,14.94,0.255,13.63,0.7,0.175,35.54,150
Tennessee,Southeast,1.36,12.14,2.3,13.93,0.261,13.39,0.548,0.232,33.35,158
South Carolina,Southeast,1.36,11.46,2.63,12.26,0.193,12.26,0.464,0.22,33.72,144
Temple,Southeast,1.34,10.99,1.86,13.44,0.171,11.7,0.323,0.239,35.31,168
Gardner-Webb,Southeast,1.33,10.86,1.64,14.75,0.186,11.75,0.321,0.217,33.93,141
Tulane,Southeast,1.33,11.15,1.39,15.65,0.211,12.36,0.29,0.256,35.87,158
Texas A&M,Southeast,1.3,12.17,2.36,13.41,0.239,12.93,0.448,0.226,33.17,143
Furman,Southeast,1.27,10.92,2.15,15.6,0.168,11.82,0.367,0.219,36.71,145
Wichita St.,Southeast,1.26,11.43,2.35,15.3,0.226,12.41,0.581,0.201,34.76,153
Radford,Southeast,1.25,10.91,1.68,16,0.146,11.64,0.429,0.185,36.31,128
Morgan St.,Southeast,1.25,8.37,1.55,11.48,0.106,9.22,0.103,0.24,29.98,119
Hampton,Southeast,1.25,9.04,1.62,11.6,0.133,10.22,0.158,0.247,32.6,85
UNC Asheville,Southeast,1.2,9.45,1.71,15.11,0.143,10.25,0.154,0.231,35.52,107
Bethune-Cookman,Southeast,1.17,9.12,2.28,12.88,0.156,10.02,0.3,0.199,30.96,122
Ole Miss,Southeast,1.14,12.32,2.28,12.8,0.247,13.59,0.393,0.244,33.5,127
North Florida,Southeast,1.14,11.25,2.07,13.74,0.22,12.21,0.414,0.233,33.04,122
Missouri,Southeast,1.12,11.3,2.11,14.34,0.205,12.42,0.321,0.231,33.91,120
LSU,Southeast,1.1,11.71,2.12,15.38,0.219,12.66,0.533,0.207,35.26,131
USC Upstate,Southeast,1.07,10.03,2.24,15.07,0.154,10.96,0.207,0.209,35.28,109
Tulsa,Southeast,1.05,11.83,1.34,18.27,0.199,12.7,0.419,0.235,39.78,123
Memphis,Southeast,1.02,11.1,2.24,16.44,0.173,12.15,0.545,0.193,37.1,129
South Carolina St.,Southeast,1,4.44,1.11,7.42,NA,4.92,0,0.338,24.25,79
Mississippi St.,Southeast,0.92,12.27,1.77,15.81,0.223,13.15,0.536,0.214,35.67,99
Lafayette ,East,2.33,11.01,1.31,13.6,0.18,11.93,0.348,0.227,34.54,191
Yale ,East,2.15,12.6,1.82,15.29,0.242,13.9,0.885,0.155,35.39,200
Saint Louis ,East,2.03,11.61,1.83,14.27,0.201,12.4,0.581,0.188,34.1,250
Siena ,East,1.87,11.22,1.7,15.3,0.183,12.13,0.433,0.184,36.37,209
Dayton ,East,1.86,11.59,2.37,13.62,0.223,12.74,0.588,0.191,34.44,242
North Carolina ,East,1.84,11.51,2.31,13.86,0.208,12.82,0.586,0.209,34.63,199
Canisius ,East,1.83,11.3,1.7,15.93,0.184,12.18,0.464,0.191,36.83,190
Quinnipiac ,East,1.82,11.41,1.61,14.73,0.192,12.44,0.483,0.202,34.86,187
Dartmouth ,East,1.8,11.93,2.2,15.44,0.221,13.11,0.64,0.192,36.35,153
Cornell ,East,1.8,10.87,1.78,12.89,0.21,12.06,0.261,0.255,33.77,149
Northeastern ,East,1.79,11.4,2.03,13.1,0.21,12.16,0.519,0.192,32.76,188
Saint Francis (PA) ,East,1.79,11.95,1.35,14.49,0.18,12.66,0.429,0.204,35.5,193
James Madison ,East,1.79,12.08,2.66,13.39,0.27,13.13,0.828,0.207,33.23,191
UMBC ,East,1.76,11.85,2.42,13.48,0.216,12.68,0.654,0.192,34.15,180
Towson ,East,1.76,12.89,2.89,13.15,0.274,13.79,0.935,0.142,32.73,192
New Hampshire ,East,1.76,10.45,2.12,14.43,0.217,11.62,0.655,0.167,33.14,183
Iona ,East,1.76,11.59,2.07,17.72,0.181,12.34,0.586,0.168,38.05,181
Binghamton ,East,1.74,11.41,2.6,14.01,0.246,12.36,0.654,0.167,32.83,164
Lehigh ,East,1.73,10.09,2.68,13.33,0.216,11.21,0.464,0.165,31.64,185
Stony Brook ,East,1.72,11.57,1.74,14.08,0.212,12.62,0.385,0.241,35.8,172
Louisville ,East,1.68,12.02,2.97,12.78,0.285,13,0.912,0.154,30.75,200
Holy Cross ,East,1.66,8.87,1.53,14.4,0.111,9.76,0.111,0.244,33.88,153
Rider ,East,1.66,10.98,1.5,14.76,0.168,11.75,0.355,0.217,34.48,186
Florida St. ,East,1.64,11.54,2.3,13.5,0.248,12.6,0.633,0.188,32.66,180
Navy ,East,1.61,12.13,2.2,12.79,0.207,12.76,0.571,0.197,33.81,182
LIU ,East,1.6,10.82,2.11,14.25,0.2,11.65,0.519,0.187,33.93,155
Hofstra ,East,1.59,11.81,2.06,13.7,0.212,12.61,0.586,0.184,33.92,172
Delaware ,East,1.59,12.01,1.8,15.55,0.195,12.94,0.607,0.194,35.57,173
Elon ,East,1.59,11.05,2.11,15.2,0.186,11.94,0.481,0.195,35.43,173
Boston College ,East,1.58,12.25,2.3,13.25,0.233,13.01,0.649,0.203,32.68,225
St. Francis Brooklyn ,East,1.58,10.7,1.96,14.17,0.187,11.69,0.452,0.209,33.87,171
Duke ,East,1.58,12.06,2.16,13.78,0.195,12.68,0.552,0.191,34.78,183
Brown ,East,1.53,11.66,2.56,13.6,0.247,12.63,0.6,0.196,33.52,148
Clemson ,East,1.52,12.02,1.7,14.17,0.209,12.91,0.419,0.235,35.15,186
Marist ,East,1.52,11.97,1.83,14.93,0.21,12.65,0.621,0.185,33.19,163
Bryant ,East,1.52,11.36,2.04,14.27,0.17,12.41,0.613,0.184,34.28,172
Duquesne ,East,1.52,10.73,2.23,14.55,0.167,11.4,0.267,0.223,35.08,167
Princeton ,East,1.52,13.8,1.95,16.28,0.275,14.74,0.84,0.181,36.47,132
Fairleigh Dickinson ,East,1.52,10.81,1.94,13.17,0.193,11.63,0.515,0.195,32.81,179
Wake Forest ,East,1.51,11.85,2.05,14.5,0.223,12.72,0.548,0.217,33.9,174
Fordham ,East,1.51,11.55,2.1,15.79,0.201,12.52,0.448,0.211,37.15,163
Rhode Island ,East,1.51,9.36,1.67,12.23,0.132,10.12,0.194,0.24,32.32,169
Columbia,East,1.49,10.64,2.25,11.14,0.177,11.29,0.261,0.243,31.77,124
Harvard ,East,1.49,10.25,1.94,11.49,0.183,11.06,0.227,0.26,30.76,124
