Team,opp_hitting_pctg,,,,
Nebraska (Big Ten),0.128,,,,
Delaware St. (MEAC),0.137,,,,
Towson (CAA),0.142,,,,
Grambling (SWAC),0.144,,,,
Wisconsin (Big Ten),0.146,,,,
Fairfield (MAAC),0.152,,,,
Louisville (ACC),0.154,,,,
Yale (Ivy League),0.155,,,,
Bucknell (Patriot),0.157,,,,
Florida (SEC),0.158,,,,
Wright St. (Horizon),0.159,,,,
San Diego (WCC),0.16,,,,
Campbell (Big South),0.161,,,,
UCF (AAC),0.163,,,,
Texas (Big 12),0.163,,,,
Denver (Summit League),0.164,,,,
Weber St. (Big Sky),0.165,,,,
Lehigh (Patriot),0.165,,,,
UC Irvine (Big West),0.167,,,,
Binghamton (America East),0.167,,,,
New Hampshire (America East),0.167,,,,
Pittsburgh (ACC),0.168,,,,
Iona (MAAC),0.168,,,,
Drake (MVC),0.168,,,,
Coppin St. (MEAC),0.17,,,,
Cleveland St. (Horizon),0.171,,,,
Army West Point (Patriot),0.171,,,,
Liberty (ASUN),0.171,,,,
FGCU (ASUN),0.172,,,,
Creighton (Big East),0.173,,,,
Green Bay (Horizon),0.173,,,,
Rice (C-USA),0.173,,,,
North Ala. (ASUN),0.173,,,,
South Dakota (Summit League),0.174,,,,
Houston (AAC),0.174,,,,
Northwestern St. (Southland),0.175,,,,
UTEP (C-USA),0.175,,,,
Winthrop (Big South),0.175,,,,
Georgia Tech (ACC),0.175,,,,
Arkansas (SEC),0.175,,,,
Florida A&M (SWAC),0.175,,,,
Ga. Southern (Sun Belt),0.176,,,,
Davidson (Atlantic 10),0.176,,,,
SFA (WAC),0.177,,,,
NC State (ACC),0.177,,,,
Tennessee St. (OVC),0.177,,,,
Sacramento St. (Big Sky),0.177,,,,
Northern Ky. (Horizon),0.178,,,,
Bowling Green (MAC),0.179,,,,
Howard (MEAC),0.179,,,,
Maryland (Big Ten),0.18,,,,
Houston Christian (Southland),0.18,,,,
BYU (Big 12),0.181,,,,
Kansas (Big 12),0.181,,,,
Princeton (Ivy League),0.181,,,,
Wofford (SoCon),0.182,,,,
Minnesota (Big Ten),0.182,,,,
Long Beach St. (Big West),0.182,,,,
SMU (AAC),0.182,,,,
Central Conn. St. (NEC),0.183,,,,
Ohio St. (Big Ten),0.183,,,,
Penn St. (Big Ten),0.183,,,,
Hofstra (CAA),0.184,,,,
Siena (MAAC),0.184,,,,
