Team,service_aces,,
Coppin St. (MEAC),286,,
Saint Louis (Atlantic 10),250,,
Delaware St. (MEAC),246,,
Dayton (Atlantic 10),242,,
UTEP (C-USA),240,,
Southern Ill. (MVC),231,,
Alabama St. (SWAC),230,,
Samford (SoCon),226,,
Boston College (ACC),225,,
Loyola Chicago (Atlantic 10),222,,
Pacific (WCC),222,,
Indiana (Big Ten),218,,
Evansville (MVC),216,,
Southern Miss. (Sun Belt),215,,
Utah St. (Mountain West),215,,
Georgia (SEC),212,,
FGCU (ASUN),211,,
Western Ky. (C-USA),211,,
UT Martin (OVC),210,,
San Jose St. (Mountain West),209,,
Siena (MAAC),209,,
Southern California (Pac-12),209,,
Florida A&M (SWAC),208,,
Alabama (SEC),207,,
Marquette (Big East),206,,
Middle Tenn. (C-USA),203,,
Howard (MEAC),202,,
Lamar University (Southland),202,,
Louisville (ACC),200,,
Yale (Ivy League),200,,
North Carolina (ACC),199,,
Sacramento St. (Big Sky),199,,
Western Caro. (SoCon),199,,
UNI (MVC),198,,
Houston (AAC),197,,
Lipscomb (ASUN),197,,
Portland (WCC),197,,
Wright St. (Horizon),196,,
App State (Sun Belt),195,,
Central Ark. (ASUN),195,,
Missouri St. (MVC),195,,
Washington (Pac-12),195,,
Washington St. (Pac-12),195,,
Buffalo (MAC),194,,
Southeastern La. (Southland),194,,
Wisconsin (Big Ten),194,,
Saint Francis (PA) (NEC),193,,
Omaha (Summit League),192,,
South Dakota (Summit League),192,,
Towson (CAA),192,,
IUPUI (Horizon),191,,
Illinois (Big Ten),191,,
James Madison (Sun Belt),191,,
Lafayette (Patriot),191,,
Youngstown St. (Horizon),191,,
Bowling Green (MAC),190,,
Canisius (MAAC),190,,
Chattanooga (SoCon),189,,
Providence (Big East),189,,
Creighton (Big East),188,,
Ga. Southern (Sun Belt),188,,
Northeastern (CAA),188,,
Portland St. (Big Sky),188,,
SFA (WAC),188,,
UIC (MVC),188,,
Denver (Summit League),187,,
Mercer (SoCon),187,,
Quinnipiac (MAAC),187,,
Clemson (ACC),186,,
Jacksonville St. (ASUN),186,,
Rider (MAAC),186,,
Troy (Sun Belt),186,,
George Washington (Atlantic 10),185,,
Lehigh (Patriot),185,,
Liberty (ASUN),185,,
Auburn (SEC),184,,
Maryland (Big Ten),184,,
Oregon (Pac-12),184,,
Utah Valley (WAC),184,,
Duke (ACC),183,,
Kansas St. (Big 12),183,,
New Hampshire (America East),183,,
San Diego (WCC),183,,
South Dakota St. (Summit League),183,,
Ball St. (MAC),182,,
Cal Poly (Big West),182,,
Navy (Patriot),182,,
Eastern Ill. (OVC),181,,
Iona (MAAC),181,,
Montana St. (Big Sky),181,,
St. John's (NY) (Big East),181,,
Florida St. (ACC),180,,
Green Bay (Horizon),180,,
UMBC (America East),180,,
Charleston So. (Big South),179,,
FDU (NEC),179,,
Florida (SEC),179,,
Gonzaga (WCC),179,,
Presbyterian (Big South),179,,
