Team,aces_per_set
Lafayette (Patriot),2.33
Delaware St. (MEAC),2.20
Yale (Ivy League),2.15
Coppin St. (MEAC),2.15
Saint Louis (Atlantic 10),2.03
UTEP (C-USA),1.98
Samford (SoCon),1.93
Lipscomb (ASUN),1.91
Southern Ill. (MVC),1.91
Howard (MEAC),1.91
Western Ky. (C-USA),1.90
Middle Tenn. (C-USA),1.90
Alabama (SEC),1.88
Siena (MAAC),1.87
Dayton (Atlantic 10),1.86
Alabama St. (SWAC),1.85
FGCU (ASUN),1.85
Ga. Southern (Sun Belt),1.84
North Carolina (ACC),1.84
Canisius (MAAC),1.83
Fla. Atlantic (C-USA),1.82
Pacific (WCC),1.82
Quinnipiac (MAAC),1.82
Dartmouth (Ivy League),1.80
Cornell (Ivy League),1.80
Northeastern (CAA),1.79
Lamar University (Southland),1.79
Saint Francis (PA) (NEC),1.79
San Jose St. (Mountain West),1.79
James Madison (Sun Belt),1.79
Mercer (SoCon),1.78
Marquette (Big East),1.78
Indiana (Big Ten),1.77
Georgia (SEC),1.77
UMBC (America East),1.76
Towson (CAA),1.76
New Hampshire (America East),1.76
Portland (WCC),1.76
Iona (MAAC),1.76
Illinois (Big Ten),1.75
Texas (Big 12),1.75
Binghamton (America East),1.74
Kennesaw St. (ASUN),1.74
Lehigh (Patriot),1.73
Loyola Chicago (Atlantic 10),1.72
Stony Brook (CAA),1.72
Utah St. (Mountain West),1.72
Utah Valley (WAC),1.72
Florida A&M (SWAC),1.72
App State (Sun Belt),1.71
N.C. Central (MEAC),1.71
Norfolk St. (MEAC),1.70
Southern Miss. (Sun Belt),1.69
Jacksonville St. (ASUN),1.69
Presbyterian (Big South),1.69
Central Ark. (ASUN),1.68
Washington (Pac-12),1.68
Louisville (ACC),1.68
IUPUI (Horizon),1.68
Grambling (SWAC),1.67
Gonzaga (WCC),1.67
Wisconsin (Big Ten),1.67
Kentucky (SEC),1.67
SFA (WAC),1.66
Kansas St. (Big 12),1.66
Holy Cross (Patriot),1.66
Rider (MAAC),1.66
Southern California (Pac-12),1.66
Sacramento St. (Big Sky),1.66
Providence (Big East),1.66
Wright St. (Horizon),1.65
LMU (CA) (WCC),1.64
Southeastern La. (Southland),1.64
Omaha (Summit League),1.64
Washington St. (Pac-12),1.64
Evansville (MVC),1.64
Florida St. (ACC),1.64
UIC (MVC),1.63
Western Caro. (SoCon),1.63
UAB (C-USA),1.63
Cal Poly (Big West),1.62
Youngstown St. (Horizon),1.62
Buffalo (MAC),1.62
Missouri St. (MVC),1.61
Navy (Patriot),1.61
Bowling Green (MAC),1.61
Georgia St. (Sun Belt),1.61
Eastern Wash. (Big Sky),1.60
Denver (Summit League),1.60
LIU (NEC),1.60
Montana (Big Sky),1.59
Portland St. (Big Sky),1.59
