Team,blocks_per_set,,,,
Maryland (Big Ten),3.33,,,,
Wisconsin (Big Ten),3.08,,,,
Louisville (ACC),2.97,,,,
Minnesota (Big Ten),2.92,,,,
Towson (CAA),2.89,,,,
Nebraska (Big Ten),2.77,,,,
San Diego (WCC),2.74,,,,
Florida (SEC),2.73,,,,
Weber St. (Big Sky),2.71,,,,
Stanford (Pac-12),2.71,,,,
Penn St. (Big Ten),2.69,,,,
Lehigh (Patriot),2.68,,,,
Northern Ky. (Horizon),2.67,,,,
James Madison (Sun Belt),2.66,,,,
Sacramento St. (Big Sky),2.66,,,,
Denver (Summit League),2.66,,,,
Kansas (Big 12),2.65,,,,
Colorado (Pac-12),2.64,,,,
Georgia (SEC),2.64,,,,
NC State (ACC),2.64,,,,
South Carolina (SEC),2.63,,,,
Utah Valley (WAC),2.62,,,,
Arkansas (SEC),2.61,,,,
UC Santa Barbara (Big West),2.61,,,,
Kentucky (SEC),2.60,,,,
Purdue (Big Ten),2.60,,,,
Binghamton (America East),2.60,,,,
LMU (CA) (WCC),2.59,,,,
Kansas St. (Big 12),2.59,,,,
Western Ky. (C-USA),2.56,,,,
Fairfield (MAAC),2.56,,,,
Washington St. (Pac-12),2.56,,,,
Auburn (SEC),2.56,,,,
Brown (Ivy League),2.56,,,,
Michigan (Big Ten),2.54,,,,
Miami (FL) (ACC),2.54,,,,
Baylor (Big 12),2.54,,,,
Cleveland St. (Horizon),2.52,,,,
Arizona (Pac-12),2.52,,,,
UC Irvine (Big West),2.50,,,,
Texas (Big 12),2.50,,,,
Davidson (Atlantic 10),2.50,,,,
South Alabama (Sun Belt),2.50,,,,
Liberty (ASUN),2.49,,,,
UCF (AAC),2.49,,,,
South Dakota (Summit League),2.47,,,,
Central Mich. (MAC),2.47,,,,
BYU (Big 12),2.45,,,,
Jacksonville (ASUN),2.45,,,,
Tennessee St. (OVC),2.43,,,,
Oklahoma (Big 12),2.43,,,,
Campbell (Big South),2.42,,,,
UT Arlington (WAC),2.42,,,,
Pittsburgh (ACC),2.42,,,,
UMBC (America East),2.42,,,,
George Washington (Atlantic 10),2.41,,,,
Iowa St. (Big 12),2.41,,,,
North Texas (C-USA),2.40,,,,
UTEP (C-USA),2.39,,,,
Green Bay (Horizon),2.38,,,,
Dayton (Atlantic 10),2.37,,,,
Texas Tech (Big 12),2.37,,,,
Air Force (Mountain West),2.37,,,,
Drake (MVC),2.36,,,,
Texas A&M (SEC),2.36,,,,
Pepperdine (WCC),2.36,,,,
Butler (Big East),2.36,,,,
Wichita St. (AAC),2.35,,,,
Col. of Charleston (CAA),2.34,,,,
Omaha (Summit League),2.34,,,,
Fresno St. (Mountain West),2.34,,,,
Bowling Green (MAC),2.33,,,,
Little Rock (OVC),2.33,,,,
Western Caro. (SoCon),2.33,,,,
Northwestern St. (Southland),2.32,,,,
Georgia St. (Sun Belt),2.32,,,,
Illinois (Big Ten),2.32,,,,
Charlotte (C-USA),2.31,,,,
Georgia Tech (ACC),2.31,,,,
North Carolina (ACC),2.31,,,,
Florida St. (ACC),2.30,,,,
Boston College (ACC),2.30,,,,
VCU (Atlantic 10),2.30,,,,
McNeese (Southland),2.30,,,,
Tennessee (SEC),2.30,,,,
Nevada (Mountain West),2.29,,,,
NIU (MAC),2.29,,,,
Ole Miss (SEC),2.28,,,,
Bethune-Cookman (SWAC),2.28,,,,
Boise St. (Mountain West),2.28,,,,
New Mexico (Mountain West),2.28,,,,
San Jose St. (Mountain West),2.28,,,,
Louisiana (Sun Belt),2.27,,,,
Old Dominion (Sun Belt),2.26,,,,
St. John's (NY) (Big East),2.26,,,,
Utah St. (Mountain West),2.26,,,,
UCLA (Pac-12),2.26,,,,
SMU (AAC),2.26,,,,
Columbia (Ivy League),2.25,,,,
Indiana St. (MVC),2.25,,,,
CSUN (Big West),2.25,,,,
Winthrop (Big South),2.25,,,,
Cal Poly (Big West),2.25,,,,
Memphis (AAC),2.24,,,,
Idaho St. (Big Sky),2.24,,,,
USC Upstate (Big South),2.24,,,,
Wofford (SoCon),2.23,,,,
ETSU (SoCon),2.23,,,,
Duquesne (Atlantic 10),2.23,,,,
UConn (Big East),2.23,,,,
Southeast Mo. St. (OVC),2.23,,,,
Valparaiso (MVC),2.21,,,,
Seattle U (WAC),2.21,,,,
Navy (Patriot),2.20,,,,
Long Beach St. (Big West),2.20,,,,
Dartmouth (Ivy League),2.20,,,,
East Carolina (AAC),2.20,,,,
Ohio St. (Big Ten),2.20,,,,
Nicholls (Southland),2.19,,,,
Wright St. (Horizon),2.19,,,,
Coastal Carolina (Sun Belt),2.19,,,,
Oregon (Pac-12),2.19,,,,
UIC (MVC),2.19,,,,
Alabama (SEC),2.19,,,,
New Mexico St. (WAC),2.19,,,,
Utah (Pac-12),2.18,,,,
Central Conn. St. (NEC),2.18,,,,
UNLV (Mountain West),2.18,,,,
NJIT (America East),2.18,,,,
Army West Point (Patriot),2.17,,,,
Delaware St. (MEAC),2.17,,,,
UTRGV (WAC),2.16,,,,
Northwestern (Big Ten),2.16,,,,
Northern Colo. (Big Sky),2.16,,,,
North Ala. (ASUN),2.16,,,,
UC Davis (Big West),2.16,,,,
Duke (ACC),2.16,,,,
Chicago St. (DI Independent),2.15,,,,
Colorado St. (Mountain West),2.15,,,,
Idaho (Big Sky),2.15,,,,
SFA (WAC),2.15,,,,
Furman (SoCon),2.15,,,,
Chattanooga (SoCon),2.15,,,,
Loyola Chicago (Atlantic 10),2.15,,,,
Buffalo (MAC),2.14,,,,
California Baptist (WAC),2.14,,,,
West Virginia (Big 12),2.14,,,,
Michigan St. (Big Ten),2.14,,,,
William & Mary (CAA),2.13,,,,
Marshall (Sun Belt),2.13,,,,
LSU (SEC),2.12,,,,
New Hampshire (America East),2.12,,,,
Elon (CAA),2.11,,,,
TCU (Big 12),2.11,,,,
Missouri (SEC),2.11,,,,
Houston (AAC),2.11,,,,
LIU (NEC),2.11,,,,
Fordham (Atlantic 10),2.10,,,,
Virginia Tech (ACC),2.10,,,,
Toledo (MAC),2.09,,,,
Virginia (ACC),2.09,,,,
Houston Christian (Southland),2.09,,,,
Montana St. (Big Sky),2.09,,,,
California (Pac-12),2.09,,,,
South Dakota St. (Summit League),2.09,,,,
North Florida (ASUN),2.07,,,,
Eastern Mich. (MAC),2.07,,,,
Rutgers (Big Ten),2.07,,,,
Iona (MAAC),2.07,,,,
Syracuse (ACC),2.07,,,,
Hofstra (CAA),2.06,,,,
Notre Dame (ACC),2.06,,,,
Hawaii (Big West),2.06,,,,
Lamar University (Southland),2.06,,,,
Louisiana Tech (C-USA),2.06,,,,
FGCU (ASUN),2.06,,,,
UNI (MVC),2.05,,,,
San Francisco (WCC),2.05,,,,
Wake Forest (ACC),2.05,,,,
Bryant (America East),2.04,,,,
Kennesaw St. (ASUN),2.04,,,,
Montana (Big Sky),2.04,,,,
Colgate (Patriot),2.04,,,,
UT Martin (OVC),2.03,,,,
Tennessee Tech (OVC),2.03,,,,
Creighton (Big East),2.03,,,,
Northeastern (CAA),2.03,,,,
Indiana (Big Ten),2.03,,,,
Ga. Southern (Sun Belt),2.03,,,,
Kent St. (MAC),2.03,,,,
American (Patriot),2.03,,,,
App State (Sun Belt),2.03,,,,
Wyoming (Mountain West),2.02,,,,
Alabama St. (SWAC),2.02,,,,
Southern U. (SWAC),2.02,,,,
N.C. A&T (CAA),2.02,,,,
Oregon St. (Pac-12),2.02,,,,
Southeastern La. (Southland),2.01,,,,
Middle Tenn. (C-USA),2.00,,,,
Georgetown (Big East),2.00,,,,
Sacred Heart (NEC),1.99,,,,
Milwaukee (Horizon),1.99,,,,
Austin Peay (ASUN),1.99,,,,
Texas St. (Sun Belt),1.98,,,,
Marquette (Big East),1.98,,,,
Southern California (Pac-12),1.98,,,,
Arizona St. (Pac-12),1.98,,,,
Sam Houston (WAC),1.98,,,,
UNCW (CAA),1.97,,,,
St. Francis Brooklyn (NEC),1.96,,,,
Missouri St. (MVC),1.95,,,,
Niagara (MAAC),1.95,,,,
Princeton (Ivy League),1.95,,,,
Fla. Atlantic (C-USA),1.95,,,,
UAB (C-USA),1.95,,,,
Oral Roberts (Summit League),1.95,,,,
Eastern Wash. (Big Sky),1.95,,,,
FDU (NEC),1.94,,,,
CSU Bakersfield (Big West),1.94,,,,
SIUE (OVC),1.94,,,,
Harvard (Ivy League),1.94,,,,
Cincinnati (AAC),1.94,,,,
Portland (WCC),1.94,,,,
New Orleans (Southland),1.93,,,,
Saint Mary's (CA) (WCC),1.93,,,,
South Fla. (AAC),1.92,,,,
Bradley (MVC),1.92,,,,
Morehead St. (OVC),1.92,,,,
