team,region,aces_per_set,assists_per_set,blocks_per_set,digs_per_set,hitting_pctg,kills_per_set,match_w_l_pctg,opp_hitting_pctg,team_attacks_per_set,team_service_aces
Southern Ill.,Midwest,1.91,13.18,1.36,15.17,0.248,14.11,0.581,0.237,36.45,231
Marquette,Midwest,1.78,13.34,1.98,15.7,0.287,14.41,0.879,0.185,34.78,206
Indiana,Midwest,1.77,11.01,2.03,12.85,0.192,12.19,0.5,0.195,33.37,218
Illinois,Midwest,1.75,12.01,2.32,12.08,0.224,12.81,0.5,0.212,33.07,191
Loyola Chicago,Midwest,1.72,12.62,2.15,14.74,0.248,13.73,0.735,0.185,34.02,222
IUPUI,Midwest,1.68,10.8,1.75,14.64,0.162,11.73,0.3,0.224,35.68,191
Wisconsin,Midwest,1.67,12.32,3.08,13.66,0.267,13.25,0.875,0.146,33.48,194
Providence,Midwest,1.66,10.78,1.69,15.99,0.181,11.74,0.4,0.214,35.68,189
Wright St.,Midwest,1.65,12.59,2.19,17.33,0.224,13.41,0.875,0.159,37.04,196
Omaha,Midwest,1.64,13.02,2.34,14.72,0.232,13.91,0.645,0.203,36.9,192
Evansville,Midwest,1.64,11.95,1.72,12.3,0.23,12.79,0.457,0.243,33.3,216
UIC,Midwest,1.63,13.68,2.19,13.88,0.27,14.67,0.688,0.228,35.27,188
Youngstown St.,Midwest,1.62,11.85,1.71,14.49,0.216,12.48,0.467,0.215,34.21,191
Buffalo,Midwest,1.62,12.45,2.14,14.95,0.227,13.59,0.576,0.204,36.5,194
Missouri St.,Midwest,1.61,11.32,1.95,15.69,0.189,12.02,0.3,0.221,35.68,195
Bowling Green,Midwest,1.61,12.59,2.33,15.51,0.229,13.44,0.688,0.179,36.51,190
Denver,Midwest,1.6,12.09,2.66,14.62,0.208,13.01,0.613,0.164,34.79,187
Illinois St.,Midwest,1.59,11.94,1.81,15.25,0.189,12.71,0.414,0.219,36.39,173
Creighton,Midwest,1.58,13.37,2.03,16.57,0.266,14.39,0.844,0.173,36.32,188
