team,region,aces_per_set,assists_per_set,blocks_per_set,digs_per_set,hitting_pctg,kills_per_set,match_w_l_pctg,opp_hitting_pctg,team_attacks_per_set,team_service_aces
Delaware St.,Southeast,2.2,11.45,2.17,12.58,0.25,12.12,0.774,0.137,29.98,246
Coppin St.,Southeast,2.15,10.56,1.81,14.22,0.194,11.54,0.676,0.17,32.52,286
Samford,Southeast,1.93,12.26,1.73,15.39,0.227,13.7,0.594,0.202,37.03,226
Lipscomb,Southeast,1.91,12.91,1.85,13.21,0.238,13.63,0.552,0.23,35.55,197
Howard,Southeast,1.91,11.91,1.73,13.2,0.255,13.01,0.667,0.179,31.61,202
Alabama,Southeast,1.88,11.28,2.19,13.72,0.169,12.32,0.333,0.222,36.34,207
FGCU,Southeast,1.85,12.69,2.06,13.96,0.263,13.47,0.788,0.172,32.97,211
Mercer,Southeast,1.78,10.71,1.64,12.26,0.206,11.95,0.345,0.238,32.46,187
Georgia,Southeast,1.77,11.98,2.64,12.32,0.236,12.88,0.742,0.187,32.54,212
Kennesaw St.,Southeast,1.74,12.22,2.04,14.52,0.246,13.42,0.643,0.217,35.05,176
Florida A&M,Southeast,1.72,11.86,1.74,14.79,0.222,12.85,0.618,0.175,33.68,208
N.C. Central,Southeast,1.71,8.73,1.34,12.33,0.147,9.52,0.269,0.243,30.93,157
Norfolk St.,Southeast,1.7,9.37,1.8,12.42,0.158,10.17,0.28,0.207,31.36,156
Presbyterian,Southeast,1.69,10.59,1.47,14.6,0.164,11.51,0.321,0.229,35.39,179
Kentucky,Southeast,1.67,13.67,2.6,13.78,0.285,14.75,0.733,0.21,35.29,177
Western Caro.,Southeast,1.63,11.56,2.33,15.29,0.221,12.7,0.606,0.193,35.69,199
Florida,Southeast,1.58,12.34,2.73,12.5,0.272,13.27,0.806,0.158,30.66,179
Jacksonville,Southeast,1.57,10.88,2.45,14.55,0.206,11.59,0.393,0.208,34.47,165
Houston,Southeast,1.55,12.81,2.11,15.17,0.249,13.85,0.882,0.174,36.02,197
